state,district,year,bank_branches,loan_amount,deposit_amount,digital_transactions,financial_inclusion,credit_growth,atm_count
Andhra Pradesh,Chittoor,2019,79.9,62.9,50.61,82.59,46.36,93.53,65.31
Bihar,Supaul,2017,19.47,53.79,20.08,89.93,29.17,85.46,61.04
Tamil Nadu,Karur,2022,22.98,31.09,78.09,57.19,80.9,87.0,62.52
Sikkim,Gangtok,2019,43.45,36.45,51.94,36.9,55.89,83.06,32.3
Uttar Pradesh,Ayodhya,2015,55.2,47.72,71.92,65.9,70.47,70.54,44.93
West Bengal,Paschim Bardhaman,2015,28.72,34.4,79.41,62.0,29.61,34.63,91.72
Karnataka,Uttara Kannada,2022,57.22,33.37,98.26,32.02,42.54,78.6,21.43
Arunachal Pradesh,West Siang,2016,47.89,82.0,27.61,98.9,49.24,82.53,49.8
Bihar,Jehanabad,2023,51.22,19.76,93.68,39.08,97.49,12.64,55.12
West Bengal,Nadia,2023,33.53,63.76,97.05,62.78,90.54,88.57,97.35
Chhattisgarh,Mahasamund,2017,49.01,50.93,40.53,31.37,16.44,10.6,38.12
Uttar Pradesh,Hardoi,2015,28.44,34.02,25.06,51.61,40.02,44.51,51.04
Rajasthan,Pratapgarh,2020,58.94,74.03,94.34,32.08,94.05,50.36,17.47
Uttar Pradesh,Etah,2021,35.55,33.41,72.79,18.7,19.95,76.6,12.22
Uttar Pradesh,Varanasi,2017,99.7,85.56,12.47,29.12,43.05,33.85,17.31
Uttar Pradesh,Ghaziabad,2021,30.71,39.21,71.01,36.97,40.8,29.33,39.02
Tamil Nadu,Ariyalur,2025,38.03,55.36,39.77,66.57,59.08,71.64,27.12
Chhattisgarh,Raigarh,2021,19.8,52.46,55.96,54.41,72.96,19.01,82.62
West Bengal,South 24 Parganas,2021,41.71,19.15,76.59,29.25,97.34,66.56,53.67
Manipur,Churachandpur,2021,43.28,17.86,96.1,68.31,76.53,90.21,92.6
Haryana,Jind,2018,29.59,96.91,80.42,99.0,41.16,66.49,95.6
Bihar,Supaul,2022,82.64,32.8,60.19,81.04,24.1,47.48,71.04
Madhya Pradesh,Morena,2017,13.59,36.75,28.73,27.33,21.49,40.3,12.48
Uttar Pradesh,Hamirpur,2020,44.71,19.07,28.74,23.19,90.25,66.45,31.34
Meghalaya,West Khasi Hills,2019,13.55,75.33,78.66,50.03,16.61,97.3,28.57
Uttar Pradesh,Lakhimpur Kheri,2019,14.3,33.97,20.25,81.99,19.69,68.02,59.57
Karnataka,Mysuru,2021,94.65,87.33,36.3,99.47,79.14,96.98,38.62
Uttar Pradesh,Deoria,2016,89.87,79.91,94.29,63.65,27.5,99.14,87.83
West Bengal,Purba Bardhaman,2021,44.93,73.53,94.98,48.62,65.64,31.26,78.14
Kerala,Idukki,2024,27.47,97.56,43.81,62.96,96.05,22.82,79.32
Meghalaya,East Jaintia Hills,2023,76.95,34.19,60.74,59.97,67.03,69.03,90.17
Uttar Pradesh,Ambedkar Nagar,2021,37.75,18.6,68.41,81.6,13.16,44.25,26.64
Madhya Pradesh,Balaghat,2015,40.93,60.01,12.28,13.53,42.17,48.59,45.14
Gujarat,Vadodara,2022,55.52,80.54,79.59,52.27,37.49,37.82,77.69
Andhra Pradesh,YSR Kadapa,2015,21.52,41.64,79.7,45.89,90.5,33.33,92.08
Arunachal Pradesh,East Siang,2023,23.63,32.24,70.97,39.08,64.35,26.77,73.86
Karnataka,Bidar,2021,70.48,77.19,17.6,19.69,28.3,63.79,44.55
Jharkhand,Hazaribagh,2023,40.86,12.54,53.49,47.83,48.29,96.26,54.95
Odisha,Malkangiri,2025,39.52,53.92,27.67,50.83,32.55,36.77,78.66
Tamil Nadu,Ariyalur,2023,84.02,61.78,95.73,91.78,21.67,42.66,74.77
Chhattisgarh,Dhamtari,2019,96.88,53.41,67.5,87.63,49.28,26.1,84.25
Andhra Pradesh,NTR,2019,98.86,17.03,55.58,77.6,77.27,23.92,28.96
Maharashtra,Beed,2018,66.87,63.23,47.52,25.97,54.54,73.86,53.9
Uttar Pradesh,Sonbhadra,2025,41.63,65.7,78.73,57.47,30.31,19.55,51.68
West Bengal,North 24 Parganas,2023,61.9,77.86,38.15,13.23,44.66,53.31,19.65
Manipur,Churachandpur,2022,27.8,47.17,80.24,21.12,19.91,81.57,27.17
Odisha,Khordha,2021,37.22,71.85,91.4,44.73,62.32,39.03,82.67
Rajasthan,Dholpur,2019,12.21,85.76,60.57,77.87,52.32,33.26,46.0
Chhattisgarh,Narayanpur,2024,50.64,12.84,53.66,84.69,63.93,49.43,40.87
Arunachal Pradesh,Lepa Rada,2023,95.31,94.96,34.97,80.51,37.09,92.68,37.95
West Bengal,Jalpaiguri,2021,31.87,29.97,94.36,89.49,38.02,64.97,84.31
Manipur,Tamenglong,2021,34.54,67.51,65.91,79.26,55.17,53.62,33.05
Maharashtra,Raigad,2019,41.34,37.47,77.75,18.39,70.23,17.91,27.06
Bihar,Buxar,2025,77.36,52.8,57.25,88.69,97.9,50.59,20.05
Punjab,Jalandhar,2025,18.21,86.84,93.26,97.52,91.45,63.34,51.97
Uttar Pradesh,Shahjahanpur,2025,19.42,60.75,71.01,49.89,43.84,93.89,83.33
Rajasthan,Anupgarh,2017,99.75,24.64,88.87,53.35,88.75,51.28,63.97
Uttar Pradesh,Amroha,2021,32.93,51.77,83.12,23.82,93.87,33.78,12.78
Telangana,Kamareddy,2023,94.39,44.15,95.97,75.84,94.46,42.8,85.43
West Bengal,Purba Medinipur,2025,89.6,53.82,53.66,54.95,87.18,75.42,65.99
Bihar,Kishanganj,2025,92.41,45.58,18.77,96.55,17.86,20.36,35.29
Andhra Pradesh,East Godavari,2020,54.43,80.73,96.71,64.55,22.48,60.33,26.45
Bihar,Banka,2015,67.99,41.2,84.36,47.12,92.42,16.08,49.94
Uttar Pradesh,Maharajganj,2015,11.32,70.28,32.36,64.91,22.45,67.53,12.92
Telangana,Kamareddy,2021,45.11,28.59,10.71,61.87,62.32,90.45,37.15
Punjab,Fatehgarh Sahib,2015,34.88,82.59,86.69,75.29,12.87,53.11,89.93
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2021,97.37,24.34,80.98,94.47,49.55,93.07,66.24
Uttarakhand,Tehri Garhwal,2015,82.95,88.46,80.82,91.35,21.21,94.56,38.77
Haryana,Mahendragarh,2023,56.67,11.47,36.52,10.2,45.99,36.84,23.3
Maharashtra,Nashik,2024,81.85,26.02,57.18,35.95,54.4,13.62,27.58
West Bengal,Jalpaiguri,2021,84.39,31.9,90.78,75.09,21.51,74.0,41.85
Haryana,Fatehabad,2018,91.01,85.64,31.21,18.78,96.22,95.73,10.2
Manipur,Kamjong,2021,37.89,34.7,42.76,98.75,62.41,46.67,59.53
Jharkhand,Godda,2023,54.46,42.06,87.27,15.86,78.58,93.45,67.18
Madhya Pradesh,Katni,2024,38.89,14.91,20.87,44.77,21.59,53.1,77.25
Chhattisgarh,Gaurela-Pendra-Marwahi,2025,82.33,69.52,70.43,59.93,14.76,30.86,97.42
Rajasthan,Didwana-Kuchaman,2018,81.83,82.59,35.27,72.64,71.65,88.1,90.59
Arunachal Pradesh,Leparada,2023,91.41,15.4,56.91,64.03,97.14,63.05,22.64
Jharkhand,Garhwa,2025,95.59,94.26,65.01,36.16,22.58,23.04,10.17
Meghalaya,South West Khasi Hills,2025,80.94,80.13,89.21,29.17,75.88,99.08,42.27
Nagaland,Tuensang,2016,51.26,64.96,41.53,86.98,91.5,65.99,85.07
Uttar Pradesh,Sant Kabir Nagar,2019,49.34,55.99,61.21,47.94,43.43,89.59,82.27
Assam,Chirang,2025,58.76,51.4,30.12,71.18,63.22,90.42,86.72
Manipur,Kangpokpi,2019,83.07,47.66,51.98,40.93,24.66,10.25,82.79
Bihar,Darbhanga,2018,51.51,99.83,27.94,29.97,96.38,11.45,34.1
Bihar,Purnia,2022,44.42,62.44,89.38,60.81,62.92,37.87,34.52
Madhya Pradesh,Bhind,2022,35.8,57.95,61.72,51.6,89.77,43.37,62.77
Nagaland,Chümoukedima,2015,30.6,68.09,80.37,11.05,71.1,47.07,92.05
Telangana,Siddipet,2018,48.38,49.64,97.25,28.47,61.67,46.54,35.23
Andhra Pradesh,Nandyal,2020,72.68,32.33,20.17,59.69,65.0,24.4,61.67
Uttar Pradesh,Budaun,2021,77.28,79.54,24.31,63.39,73.75,82.08,23.65
Rajasthan,Jalore,2022,73.97,69.74,19.91,58.18,67.06,28.44,45.68
Karnataka,Kodagu,2020,48.01,12.18,58.81,84.46,96.67,77.2,75.36
West Bengal,Cooch Behar,2019,96.92,48.76,42.5,34.77,50.46,48.25,69.55
Jharkhand,Bokaro,2020,31.02,55.99,39.87,77.14,33.75,36.26,94.58
Uttar Pradesh,Gonda,2025,18.62,77.35,33.55,96.81,46.5,39.55,77.64
Karnataka,Mandya,2017,63.99,14.62,19.55,16.72,90.13,56.97,79.51
Andhra Pradesh,Chittoor,2024,70.55,28.61,74.81,33.44,53.86,43.59,76.97
Tripura,Sepahijala,2017,49.71,70.96,91.87,12.95,66.38,91.08,88.76
Bihar,Sheohar,2023,15.18,68.33,25.23,33.98,59.12,28.57,15.45
Uttar Pradesh,Farrukhabad,2017,99.38,48.28,46.06,86.43,14.29,24.5,83.6
West Bengal,Purba Medinipur,2017,18.16,35.51,92.68,35.91,17.58,66.26,30.94
Karnataka,Dharwad,2021,27.3,62.36,32.73,90.69,75.57,58.6,37.68
Assam,Goalpara,2021,39.57,37.42,21.28,23.01,43.19,77.81,59.26
Karnataka,Belagavi,2022,38.71,43.24,65.65,77.12,34.12,84.04,50.01
Gujarat,Ahmedabad,2015,37.81,50.09,74.69,79.01,27.43,76.76,61.37
Mizoram,Mamit,2020,43.62,83.82,48.09,16.85,61.38,40.02,93.75
Gujarat,Sabarkantha,2023,80.77,28.57,26.99,41.37,17.95,70.61,60.07
Madhya Pradesh,Jabalpur,2015,44.71,92.45,61.18,43.73,24.15,42.7,62.83
Rajasthan,Nagaur,2024,74.09,20.68,68.21,76.14,31.47,72.88,45.2
Assam,Hailakandi,2022,66.88,90.84,39.38,98.09,47.6,98.65,11.6
Madhya Pradesh,Khandwa,2025,47.33,55.75,71.25,46.68,41.7,82.44,19.81
Madhya Pradesh,Indore,2022,68.81,70.19,52.96,20.73,92.72,99.6,99.48
Chhattisgarh,Bemetara,2022,71.85,89.48,96.37,54.55,33.97,38.94,89.26
Assam,Udalguri,2019,16.57,86.21,97.86,14.02,97.84,13.63,48.0
Gujarat,Kheda,2025,46.26,77.44,63.76,12.22,71.68,33.61,79.06
Madhya Pradesh,Alirajpur,2018,23.63,15.43,16.1,49.79,37.12,60.52,54.8
Tamil Nadu,Nagapattinam,2024,28.91,50.92,66.83,50.06,57.79,55.24,96.54
Uttar Pradesh,Hardoi,2023,32.74,11.74,23.74,92.38,66.72,15.72,88.09
Chhattisgarh,Bemetara,2023,61.75,22.29,64.38,89.55,33.75,56.12,86.71
Haryana,Panipat,2018,81.3,61.11,75.75,15.11,35.9,68.93,12.03
Nagaland,Mokokchung,2022,93.99,58.63,63.18,45.26,47.72,51.55,17.21
Madhya Pradesh,Balaghat,2018,23.6,52.61,90.64,93.2,47.67,82.83,53.48
Gujarat,Bharuch,2022,90.23,40.09,40.01,64.88,75.15,82.65,85.3
Jharkhand,Ramgarh,2024,71.86,51.88,58.45,46.85,19.32,67.37,47.6
Gujarat,Surat,2024,75.6,23.01,27.68,93.6,60.24,64.71,18.31
Karnataka,Bengaluru Rural,2021,45.23,60.66,83.42,87.85,52.06,29.19,70.95
Haryana,Hisar,2022,53.47,56.33,83.01,68.35,69.59,78.1,36.08
Himachal Pradesh,Solan,2022,74.81,47.04,99.21,12.77,85.75,17.31,54.76
Kerala,Malappuram,2019,58.25,28.03,87.59,36.63,37.08,18.21,80.03
Rajasthan,Chittorgarh,2023,48.59,78.95,20.74,98.62,47.26,74.16,14.55
Tamil Nadu,Tiruchirappalli,2015,71.89,82.12,13.86,40.93,55.12,98.28,45.05
Telangana,Hanamkonda,2020,56.24,91.66,18.7,40.42,75.16,42.17,73.81
Tamil Nadu,Tiruchirappalli,2017,54.08,72.92,11.14,77.06,21.66,95.97,78.38
Arunachal Pradesh,Changlang,2020,67.86,41.17,82.98,27.88,24.3,18.41,95.4
Telangana,Nalgonda,2017,81.36,19.88,38.99,31.37,66.16,94.48,78.26
Rajasthan,Dausa,2024,33.83,57.43,17.96,76.65,98.11,74.35,24.01
Madhya Pradesh,Balaghat,2020,18.65,29.12,85.83,98.48,13.21,55.01,12.37
Uttar Pradesh,Maharajganj,2019,44.11,58.98,53.5,12.61,57.28,27.7,10.6
Meghalaya,South West Garo Hills,2022,93.12,13.24,29.59,89.52,64.54,18.82,24.73
Odisha,Jajpur,2020,26.81,53.28,64.75,18.13,73.48,37.72,98.2
Jharkhand,Latehar,2021,64.58,44.8,63.01,36.21,33.62,36.3,67.62
Jharkhand,Lohardaga,2022,46.12,34.67,85.95,54.52,32.71,82.51,39.62
Uttar Pradesh,Kanpur Nagar,2017,52.51,13.21,64.86,29.12,45.82,98.42,40.66
Uttar Pradesh,Kannauj,2025,39.76,99.61,51.55,98.02,34.63,57.51,50.79
Jharkhand,Lohardaga,2017,49.9,53.0,76.98,33.55,31.68,73.72,64.49
Arunachal Pradesh,Lower Subansiri,2021,78.39,36.44,30.26,79.83,15.25,47.28,12.56
Arunachal Pradesh,Lohit,2019,76.21,48.01,44.88,86.7,29.2,18.55,14.33
Manipur,Senapati,2020,96.17,77.68,68.63,24.42,56.69,14.47,38.73
Himachal Pradesh,Shimla,2018,73.75,62.85,91.14,66.26,93.75,69.93,46.84
Chhattisgarh,Korba,2025,81.08,47.85,31.05,82.32,20.77,43.49,11.78
Telangana,Komaram Bheem Asifabad,2024,42.75,39.47,47.81,12.77,31.09,19.06,12.08
Tamil Nadu,Nilgiris,2021,39.74,35.72,30.36,49.64,50.5,51.76,14.2
West Bengal,Alipurduar,2021,50.76,28.5,10.36,49.15,49.75,87.31,43.11
Arunachal Pradesh,Lower Siang,2015,41.24,38.86,19.37,86.59,37.52,65.54,32.85
Gujarat,Devbhoomi Dwarka,2022,47.45,40.57,73.02,84.55,68.1,22.54,14.57
Punjab,Tarn Taran,2020,90.19,94.08,45.52,36.79,54.96,19.46,71.36
Mizoram,Serchhip,2023,16.58,63.23,64.37,88.29,29.77,29.18,97.64
Arunachal Pradesh,East Siang,2020,19.87,39.83,11.37,79.79,96.9,79.43,87.58
Madhya Pradesh,Bhopal,2023,66.64,59.29,49.26,11.3,95.78,65.08,71.17
Uttar Pradesh,Pratapgarh,2018,22.4,14.31,97.49,31.6,77.38,63.55,35.34
Kerala,Palakkad,2019,19.02,33.52,41.51,39.4,34.65,32.94,71.86
Arunachal Pradesh,Upper Siang,2021,85.07,69.36,57.06,73.61,60.74,53.77,69.0
Karnataka,Ballari,2022,38.9,27.11,99.71,52.24,34.2,74.31,81.32
Uttar Pradesh,Lalitpur,2022,80.55,28.02,90.94,77.3,45.46,19.01,89.86
Nagaland,Mokokchung,2018,46.94,76.06,27.16,47.91,50.63,99.91,90.76
Odisha,Jharsuguda,2025,39.73,21.33,27.35,63.6,81.12,34.78,19.79
Chhattisgarh,Bastar,2025,68.8,41.1,88.46,68.27,17.64,34.63,26.62
Andhra Pradesh,Sri Sathya Sai,2021,55.7,46.89,87.39,28.24,22.38,40.72,98.07
Chhattisgarh,Kabirdham,2023,18.24,68.5,68.48,69.71,39.88,56.58,93.95
Tamil Nadu,Viluppuram,2018,55.31,49.04,96.57,37.29,13.72,55.02,79.88
Telangana,Peddapalli,2017,59.08,21.94,54.24,57.61,76.19,87.12,48.62
Tamil Nadu,Vellore,2022,42.88,30.02,50.83,88.04,17.71,59.1,46.86
Uttar Pradesh,Lucknow,2025,73.32,48.84,82.54,11.01,69.69,71.04,53.32
Kerala,Ernakulam,2022,34.72,12.93,50.24,65.47,50.38,79.46,84.38
Uttar Pradesh,Chandauli,2019,96.05,48.1,19.04,51.31,95.45,38.83,47.21
Odisha,Balasore,2023,11.08,97.75,13.5,24.92,82.75,88.7,54.61
Tamil Nadu,Pudukkottai,2015,78.23,63.45,91.01,68.1,49.78,20.62,25.68
Gujarat,Jamnagar,2022,74.54,65.7,31.51,87.02,26.29,59.35,82.61
West Bengal,Purba Bardhaman,2017,57.17,61.59,43.76,41.18,70.49,42.91,77.74
Bihar,Aurangabad,2024,68.41,88.38,77.02,48.38,10.3,80.03,41.14
Manipur,Noney,2024,55.56,63.14,80.88,78.24,81.65,79.2,31.47
Arunachal Pradesh,Kurung Kumey,2016,96.92,31.44,35.27,32.32,52.43,11.64,27.35
Odisha,Gajapati,2018,26.41,72.38,15.42,60.92,41.75,84.65,13.75
Tamil Nadu,Tenkasi,2024,82.66,79.27,17.74,19.25,22.14,69.91,94.0
Punjab,Rupnagar,2018,76.39,55.98,25.11,83.06,13.39,50.43,51.5
Tamil Nadu,Kanchipuram,2025,56.29,33.61,61.44,30.19,68.69,85.69,62.84
Chhattisgarh,Raipur,2024,75.01,78.56,35.02,65.93,50.63,58.29,74.58
Kerala,Kozhikode,2016,33.75,64.09,21.85,94.23,90.84,53.36,19.93
Rajasthan,Hanumangarh,2021,28.83,55.71,42.93,67.13,54.81,41.71,28.95
Assam,Majuli,2015,77.09,50.64,59.83,18.82,41.94,77.13,68.64
Tamil Nadu,Thoothukudi,2023,10.66,58.58,72.59,66.83,10.2,76.72,13.3
Haryana,Yamunanagar,2018,18.32,41.03,17.23,55.96,86.18,64.16,96.74
Gujarat,Chhota Udepur,2023,11.67,60.49,55.61,71.99,78.27,16.07,97.41
Odisha,Balasore,2018,65.24,27.92,18.68,21.56,45.02,79.7,86.31
Assam,Sonitpur,2016,44.72,26.51,51.14,95.06,87.43,73.09,16.05
Rajasthan,Pratapgarh,2018,58.49,81.87,47.95,52.0,50.61,94.36,28.54
Uttar Pradesh,Amethi,2019,81.95,59.79,19.73,57.73,49.23,36.68,68.33
Bihar,Purnia,2019,26.69,25.09,18.58,98.63,38.16,96.95,96.95
Arunachal Pradesh,Leparada,2016,64.35,69.86,20.56,63.53,92.47,35.93,86.89
Tamil Nadu,Tiruppur,2024,49.54,39.32,96.27,90.02,72.3,82.37,86.55
Odisha,Kendujhar (Keonjhar),2019,57.23,46.96,78.25,41.96,69.5,44.53,80.29
Kerala,Alappuzha,2020,79.2,28.73,43.59,83.5,97.17,45.13,73.15
Nagaland,Noklak,2017,10.78,38.22,38.97,17.58,15.64,14.16,56.09
Madhya Pradesh,Seoni,2015,57.84,39.73,27.37,69.63,23.37,33.0,28.66
Bihar,Siwan,2023,82.47,49.28,64.74,33.32,87.62,66.58,27.48
Gujarat,Patan,2022,95.97,38.03,12.61,39.24,58.54,84.0,36.16
Uttar Pradesh,Chandauli,2018,88.11,49.68,73.81,39.68,76.1,23.94,61.91
Rajasthan,Sanchore,2023,61.96,31.38,13.86,49.22,92.59,30.89,46.03
Jharkhand,Simdega,2020,78.56,37.09,27.88,51.6,48.38,63.56,74.27
Jharkhand,Bokaro,2021,66.52,73.67,33.43,89.27,49.55,94.19,90.63
Tamil Nadu,Erode,2015,69.31,21.34,12.26,23.79,26.31,22.9,17.9
Jharkhand,Deoghar,2017,32.24,46.06,46.23,57.82,64.06,41.97,39.96
Uttar Pradesh,Mau,2015,82.26,25.7,62.06,39.14,55.6,24.68,61.28
Jharkhand,Seraikela-Kharsawan,2022,57.67,13.02,91.71,91.68,78.22,21.05,59.28
Sikkim,Namchi,2021,12.47,67.5,94.16,63.11,90.56,85.05,74.64
West Bengal,South 24 Parganas,2020,75.87,89.76,30.24,57.13,30.63,79.94,68.86
Assam,Dibrugarh,2019,14.3,78.19,90.31,93.56,96.09,60.67,37.23
Telangana,Suryapet,2019,31.7,51.68,71.57,55.29,10.47,40.94,63.34
Punjab,Fatehgarh Sahib,2022,12.81,32.6,37.55,54.46,27.83,91.63,82.54
Nagaland,Wokha,2022,12.49,18.19,99.03,78.74,96.51,76.44,58.28
Haryana,Palwal,2019,88.89,80.27,47.84,71.64,32.61,54.39,28.35
Rajasthan,Karauli,2023,71.16,75.74,23.5,67.05,87.84,96.61,32.31
Odisha,Boudh,2022,33.98,70.11,41.13,93.58,31.97,92.38,15.42
West Bengal,Bankura,2023,56.69,53.7,73.62,81.51,85.55,68.6,68.09
Karnataka,Mysuru,2017,41.64,74.39,94.34,10.11,10.84,45.0,71.77
Jharkhand,Gumla,2022,75.41,22.03,17.82,33.07,23.54,79.36,23.24
Uttar Pradesh,Shamli,2021,65.97,68.85,33.0,36.69,93.42,59.9,47.93
Uttar Pradesh,Ghaziabad,2025,69.5,23.61,63.56,47.68,57.01,33.81,23.82
Madhya Pradesh,Niwari,2019,86.55,30.0,76.83,97.42,38.92,41.17,51.95
Jharkhand,Dumka,2022,90.85,70.62,41.41,16.63,24.84,48.66,84.69
Gujarat,Patan,2016,53.21,26.33,45.57,40.57,56.38,26.9,77.03
Mizoram,Saiha,2018,59.84,66.2,25.6,10.93,27.87,58.74,98.16
Nagaland,Mon,2017,14.36,84.6,97.49,34.18,38.27,28.76,60.32
Gujarat,Vadodara,2015,36.01,55.88,69.28,53.11,36.07,78.35,80.73
Arunachal Pradesh,Kurung Kumey,2017,31.64,50.47,31.6,35.95,81.95,19.29,32.4
Manipur,Chandel,2023,26.87,73.7,56.84,86.49,37.58,75.59,49.62
Rajasthan,Dausa,2025,83.12,48.73,70.87,52.92,23.04,89.58,96.54
Madhya Pradesh,Niwari,2017,78.32,48.33,27.92,91.61,40.8,80.52,91.4
Manipur,Chandel,2016,57.12,30.86,33.33,68.92,32.5,53.63,64.43
Kerala,Thrissur,2018,24.79,51.55,95.95,74.98,72.99,47.44,49.73
Nagaland,Tuensang,2025,30.69,22.72,67.37,63.36,49.12,62.04,29.69
Tamil Nadu,Coimbatore,2019,98.85,53.22,51.14,21.12,80.89,98.13,71.12
Uttar Pradesh,Hamirpur,2015,15.95,55.57,26.17,70.4,26.31,17.52,71.57
Uttarakhand,Pauri Garhwal,2016,21.59,33.13,17.18,60.84,57.67,82.26,21.39
Uttar Pradesh,Jalaun,2015,15.17,83.55,86.97,22.05,89.65,75.6,75.53
Odisha,Khordha,2021,33.63,38.15,62.74,63.52,37.13,47.62,22.69
Tamil Nadu,Tiruchirappalli,2017,33.44,65.41,16.69,53.74,38.68,42.76,23.21
Madhya Pradesh,Dhar,2018,92.27,78.58,19.31,35.75,67.67,72.17,36.49
Jharkhand,Palamu,2017,78.6,49.85,31.98,60.63,48.25,54.23,82.02
Karnataka,Vijayanagara,2017,38.12,47.68,96.88,20.6,22.61,67.8,25.21
Himachal Pradesh,Mandi,2019,91.56,39.01,96.37,72.88,70.69,62.86,22.79
Uttar Pradesh,Mainpuri,2024,54.61,53.73,26.66,10.64,25.31,86.47,96.67
Jharkhand,Deoghar,2021,71.36,84.7,24.38,84.39,44.6,36.82,49.22
Haryana,Faridabad,2023,34.25,65.11,95.48,44.21,90.02,90.0,33.78
Haryana,Faridabad,2019,33.68,24.35,57.49,17.77,57.04,32.86,23.96
Rajasthan,Pratapgarh,2017,70.34,80.94,35.57,37.11,29.91,71.38,42.06
Chhattisgarh,Kanker,2020,72.7,61.49,81.36,20.7,70.23,40.94,62.12
Maharashtra,Ratnagiri,2024,80.0,84.7,83.28,60.98,55.14,30.88,68.01
Madhya Pradesh,Alirajpur,2017,34.65,29.4,50.64,68.52,11.31,65.66,62.13
Manipur,Kakching,2016,64.25,50.24,88.35,80.02,15.27,26.92,51.84
Nagaland,Peren,2024,25.67,14.19,97.24,44.29,32.37,76.93,29.67
Gujarat,Gandhinagar,2025,72.91,12.47,96.76,20.19,87.91,60.37,44.31
Assam,Sonitpur,2017,50.2,14.8,39.2,43.92,36.85,28.64,98.14
Haryana,Jhajjar,2025,94.32,57.19,77.73,71.52,67.66,13.44,28.09
Rajasthan,Salumbar,2016,87.7,89.77,67.21,97.68,49.79,63.33,97.22
Odisha,Sonepur,2016,87.94,42.77,77.24,65.11,17.56,31.16,27.94
Madhya Pradesh,Umaria,2021,18.14,63.82,37.79,72.53,16.74,29.44,98.39
Andhra Pradesh,Guntur,2025,36.35,88.83,51.01,60.21,53.34,26.18,71.43
Telangana,Rajanna Sircilla,2015,80.68,58.49,43.42,16.64,35.36,81.73,89.18
Maharashtra,Chandrapur,2024,12.19,52.41,30.96,16.24,21.04,41.41,14.11
Punjab,Sahibzada Ajit Singh Nagar (Mohali),2024,13.82,12.52,87.41,51.06,58.25,16.8,44.35
Tamil Nadu,Vellore,2022,90.44,42.11,41.63,87.33,91.17,97.1,15.86
Punjab,Barnala,2020,18.7,88.54,50.03,99.49,99.97,45.79,40.17
Telangana,Nirmal,2020,20.67,98.38,90.47,53.2,22.02,71.24,33.74
Nagaland,Chümoukedima,2017,46.01,61.06,92.66,21.28,57.8,57.25,96.11
Odisha,Khordha,2015,76.87,92.49,42.16,55.17,75.95,41.27,61.45
Nagaland,Tuensang,2023,44.86,71.98,23.34,47.77,78.95,36.65,47.55
Gujarat,Surendranagar,2021,17.61,98.61,47.53,62.8,27.86,53.98,89.88
Uttar Pradesh,Bijnor,2021,52.81,55.07,60.33,54.7,78.81,38.26,35.14
West Bengal,Uttar Dinajpur,2016,64.32,39.47,13.43,16.73,91.35,95.26,80.61
Nagaland,Kohima,2018,67.72,30.91,84.86,70.21,35.84,43.85,44.77
Madhya Pradesh,Dhar,2025,17.52,67.33,54.85,69.63,17.59,18.67,41.3
Assam,Karimganj,2017,22.25,88.34,80.38,62.7,78.77,72.35,96.84
Assam,Jorhat,2023,63.07,85.96,24.46,89.22,69.34,41.45,29.81
Rajasthan,Bikaner,2017,38.22,78.85,47.74,25.74,15.06,66.65,95.41
Himachal Pradesh,Bilaspur,2018,29.43,46.33,24.11,48.33,76.03,56.13,15.36
West Bengal,Kolkata,2020,19.22,41.64,59.71,84.85,45.72,53.74,85.0
Telangana,Narayanpet,2024,37.32,70.38,47.27,82.44,23.86,93.29,50.0
Jharkhand,Gumla,2015,92.46,55.75,31.78,48.81,12.02,30.08,42.74
Arunachal Pradesh,Anjaw,2018,15.23,16.27,26.29,71.58,29.5,81.87,48.4
Telangana,Nizamabad,2018,27.54,98.36,56.38,76.91,66.05,75.52,28.51
Nagaland,Phek,2024,98.99,17.92,70.25,71.13,49.22,49.43,36.91
Chhattisgarh,Bastar,2015,74.5,89.11,54.11,29.83,45.21,38.67,75.05
Mizoram,Mamit,2018,12.58,52.49,48.66,42.84,93.49,60.45,34.57
Chhattisgarh,Dhamtari,2018,85.49,99.22,48.46,83.1,64.61,13.65,12.95
Uttar Pradesh,Bulandshahr,2020,32.11,67.54,79.54,20.64,30.88,73.79,44.92
Odisha,Nayagarh,2018,40.96,68.3,21.44,42.03,50.34,43.63,94.43
Madhya Pradesh,Shajapur,2019,62.98,79.87,69.8,51.15,33.24,18.73,55.16
Karnataka,Uttara Kannada,2024,41.9,27.92,77.66,15.12,88.33,17.54,35.83
Madhya Pradesh,Khargone,2018,20.94,99.47,31.49,47.85,53.05,99.4,86.63
Uttar Pradesh,Unnao,2022,18.8,33.88,42.17,50.21,13.18,33.53,27.11
Goa,South Goa,2017,48.24,76.18,73.97,60.34,60.02,58.77,25.87
Karnataka,Davanagere,2020,36.56,60.91,21.89,98.85,86.03,98.58,89.4
Madhya Pradesh,Guna,2024,13.37,13.9,87.55,53.16,73.09,71.97,88.71
Karnataka,Shivamogga,2020,21.63,46.16,66.95,22.25,79.64,65.37,67.24
Rajasthan,Sawai Madhopur,2021,47.79,54.53,62.46,92.52,17.58,61.12,74.64
Rajasthan,Deeg,2021,19.12,82.86,78.7,92.21,41.99,85.91,15.19
Uttar Pradesh,Gonda,2016,70.31,17.19,37.83,93.91,31.77,81.04,20.57
