state,district,year,rural_roads,village_development_index,employment_scheme,agriculture_support,rural_income,water_access,education_access
Uttar Pradesh,Mathura,2018,84.25,31.76,39.73,86.29,40.54,10.86,42.65
Rajasthan,Phalodi,2015,46.04,16.95,42.49,54.24,89.8,30.54,97.37
Uttarakhand,Rudraprayag,2020,20.18,87.98,39.86,79.49,74.45,32.84,12.65
Nagaland,Noklak,2021,88.23,29.52,35.92,96.13,27.97,75.77,41.08
Mizoram,Saiha,2022,70.12,43.76,65.0,75.1,60.83,53.18,44.04
Arunachal Pradesh,West Kameng,2016,71.76,79.04,99.09,99.04,80.86,72.6,28.33
Tripura,North Tripura,2018,32.39,62.86,81.54,94.86,11.14,97.16,88.8
Haryana,Fatehabad,2019,96.58,20.14,82.27,60.34,62.6,91.17,61.36
Chhattisgarh,Bilaspur,2022,91.05,16.26,14.95,48.23,44.93,41.86,80.34
Assam,Kokrajhar,2018,84.15,28.38,55.61,81.34,40.99,88.41,95.28
Rajasthan,Baran,2019,87.55,74.08,80.36,58.96,22.89,64.06,90.36
Rajasthan,Beawar,2023,72.49,82.81,14.0,79.41,74.6,11.25,56.77
Maharashtra,Nanded,2019,22.58,79.43,19.17,93.78,52.62,51.31,10.41
Goa,South Goa,2017,61.3,13.3,85.89,78.3,37.57,96.6,38.84
Mizoram,Saitual,2016,16.05,31.5,79.59,51.43,14.65,76.04,14.4
Meghalaya,South West Garo Hills,2024,90.01,62.31,77.23,42.4,47.64,27.46,50.67
Uttar Pradesh,Ghazipur,2019,68.05,31.61,17.12,14.94,99.04,32.49,44.42
Punjab,Fatehgarh Sahib,2020,82.88,17.0,61.03,54.09,34.91,84.71,99.78
Mizoram,Hnahthial,2021,83.61,59.79,70.59,92.5,55.15,36.13,68.13
Tamil Nadu,Chengalpattu,2023,31.11,46.19,34.85,29.89,59.04,97.64,87.38
Meghalaya,Ri Bhoi,2021,14.14,22.44,69.41,57.54,72.39,95.5,44.42
Odisha,Bargarh,2021,19.19,36.17,64.25,59.59,17.11,47.78,90.74
Madhya Pradesh,Ratlam,2021,39.18,24.21,73.72,13.73,94.28,22.04,51.33
Madhya Pradesh,Agar Malwa,2016,33.15,53.4,56.49,84.03,33.01,42.09,28.54
Meghalaya,East Khasi Hills,2024,43.91,98.27,75.66,35.73,19.83,61.29,97.31
Arunachal Pradesh,Lower Siang,2015,38.49,26.07,41.21,56.45,24.85,83.22,33.83
Telangana,Karimnagar,2022,86.96,26.96,99.56,64.59,13.01,81.82,53.96
Arunachal Pradesh,Papum Pare,2018,63.14,89.87,46.45,28.48,53.09,71.17,74.17
West Bengal,Purba Medinipur,2015,24.8,29.88,87.36,54.25,68.63,82.01,25.17
Tripura,South Tripura,2022,37.65,64.14,17.82,93.52,53.86,83.74,48.9
Haryana,Panipat,2025,56.22,95.74,53.85,89.37,50.95,44.07,19.57
Maharashtra,Gondia,2019,44.89,65.33,96.26,86.81,50.42,18.56,95.61
Gujarat,Panchmahal,2019,83.04,20.25,27.03,57.11,74.68,24.22,67.89
Tamil Nadu,Ramanathapuram,2015,94.95,44.76,64.85,94.59,60.21,34.04,52.54
Uttar Pradesh,Moradabad,2016,49.99,32.44,40.87,29.24,75.64,94.88,13.37
Karnataka,Shivamogga,2022,13.17,89.57,29.89,62.14,31.5,60.49,26.18
Chhattisgarh,Surajpur,2023,20.13,96.05,76.39,68.21,32.11,36.65,67.85
Andhra Pradesh,Anantapur,2023,85.87,80.78,75.96,37.74,41.04,35.5,75.64
Madhya Pradesh,Sehore,2015,17.4,49.84,33.44,14.91,54.75,97.68,66.48
Punjab,Mansa,2023,78.03,70.41,57.21,35.73,21.78,41.2,22.41
Uttar Pradesh,Hardoi,2019,83.36,65.97,41.59,89.37,86.38,12.2,35.59
Gujarat,Amreli,2015,94.68,31.43,58.45,88.85,79.41,48.33,17.51
Telangana,Mancherial,2016,60.69,15.47,57.04,93.75,46.49,80.04,20.84
West Bengal,Birbhum,2022,22.21,99.73,95.15,90.81,89.83,51.92,22.19
Chhattisgarh,Bilaspur,2019,39.61,91.99,42.87,53.89,93.78,17.49,14.67
Madhya Pradesh,Shajapur,2023,14.59,81.0,93.97,92.8,43.86,75.98,99.75
Uttar Pradesh,Aligarh,2015,45.93,55.77,78.05,59.34,75.07,77.23,24.98
Tamil Nadu,Thoothukudi,2016,13.22,90.93,94.09,96.57,20.44,66.54,53.84
Chhattisgarh,Jashpur,2022,63.78,54.86,65.34,14.93,61.87,52.57,85.77
Punjab,Shaheed Bhagat Singh Nagar (Nawanshahr),2022,93.13,42.25,86.02,59.04,94.42,71.87,59.0
Andhra Pradesh,Srikakulam,2018,10.14,48.2,17.08,60.59,24.87,13.99,61.17
Maharashtra,Osmanabad (Dharashiv),2020,73.72,51.82,34.9,28.59,46.54,96.29,89.65
Haryana,Kaithal,2020,45.49,59.02,53.18,56.63,60.62,93.08,75.47
Himachal Pradesh,Kangra,2017,96.51,95.84,49.67,58.61,45.78,64.59,86.52
Manipur,Tamenglong,2021,62.2,94.91,53.59,91.14,86.84,47.81,32.69
Karnataka,Dakshina Kannada,2021,59.39,41.85,39.44,89.75,53.51,30.41,57.96
Andhra Pradesh,Kakinada,2024,32.3,76.89,79.55,49.68,93.83,34.92,63.26
Telangana,Vikarabad,2018,46.42,88.5,63.49,11.99,57.73,23.18,21.81
Manipur,Tamenglong,2025,50.49,49.21,85.32,57.46,76.34,52.14,18.13
Kerala,Wayanad,2018,90.68,79.26,51.03,88.44,26.18,73.33,88.74
Odisha,Kandhamal,2015,68.67,85.44,32.91,20.91,95.56,13.68,80.66
Madhya Pradesh,Panna,2015,57.15,65.76,54.99,38.63,51.32,48.24,43.36
Punjab,Ludhiana,2020,40.74,82.46,74.66,99.44,47.3,99.29,16.07
Nagaland,Peren,2020,83.44,54.72,16.02,87.47,73.86,32.78,77.03
Goa,South Goa,2024,14.4,49.64,41.32,46.08,47.83,80.54,94.24
Odisha,Malkangiri,2022,72.85,52.94,64.18,79.16,76.94,64.26,43.28
Punjab,Fazilka,2021,51.86,94.76,71.5,95.94,36.0,99.18,33.58
Arunachal Pradesh,Lower Subansiri,2015,47.23,90.48,27.84,53.07,26.84,25.67,98.31
Karnataka,Tumakuru,2024,64.26,43.68,10.72,24.71,12.44,50.88,42.53
Chhattisgarh,Surajpur,2020,61.32,73.36,49.69,55.3,28.09,87.03,91.77
Karnataka,Udupi,2020,40.47,67.83,66.55,62.64,91.82,43.72,52.45
Jharkhand,Jamtara,2022,85.42,47.61,14.23,65.2,28.87,29.97,11.94
Sikkim,Pakyong,2018,25.45,55.44,27.66,80.27,98.46,92.28,48.91
Uttar Pradesh,Jalaun,2021,64.4,51.18,77.64,76.53,42.48,72.93,17.5
Telangana,Khammam,2023,35.9,67.99,69.41,28.51,75.67,50.14,69.25
Tripura,Dhalai,2024,58.67,79.92,97.26,77.88,47.55,82.3,99.5
Madhya Pradesh,Panna,2022,66.48,67.62,64.62,95.78,19.51,86.48,41.45
Manipur,Kangpokpi,2018,61.35,74.65,97.46,99.67,63.72,88.32,72.77
Madhya Pradesh,Katni,2016,79.21,10.41,77.32,10.31,26.36,20.79,13.56
Karnataka,Vijayapura,2023,83.12,62.45,37.96,76.51,57.32,72.28,43.69
Karnataka,Gadag,2020,85.96,74.21,24.0,22.09,61.47,40.63,48.05
Maharashtra,Ratnagiri,2018,24.55,95.2,88.6,43.14,18.26,46.42,18.34
Odisha,Koraput,2025,60.81,46.23,69.31,35.5,37.68,67.56,28.19
Himachal Pradesh,Chamba,2023,45.52,31.72,74.28,32.51,34.5,15.43,13.71
Rajasthan,Jodhpur,2025,80.0,17.5,29.54,70.69,17.86,71.36,19.33
Tamil Nadu,Ramanathapuram,2025,16.04,88.7,47.8,47.44,53.5,22.94,36.94
Tripura,Dhalai,2024,79.06,50.3,25.44,11.12,59.19,56.5,51.14
Odisha,Malkangiri,2019,61.92,50.43,88.19,66.52,86.87,57.54,14.6
Maharashtra,Akola,2016,27.54,95.66,80.19,36.0,59.46,61.32,11.81
Nagaland,Longleng,2025,16.53,49.51,17.15,96.47,72.04,25.86,58.89
Uttar Pradesh,Hapur,2015,80.95,86.64,10.71,96.45,40.86,89.31,91.99
West Bengal,Alipurduar,2024,12.4,18.91,86.31,86.87,40.1,52.22,10.52
Rajasthan,Dausa,2015,46.41,20.68,91.01,92.35,23.21,82.99,10.63
Maharashtra,Sangli,2021,47.45,12.97,75.71,23.53,68.09,35.16,48.8
Punjab,Kapurthala,2021,43.99,30.57,10.85,17.96,75.56,70.32,56.81
Uttar Pradesh,Sambhal,2016,22.32,63.01,94.48,17.51,52.31,79.43,81.09
Manipur,Pherzawl,2016,70.51,36.98,31.15,84.86,22.29,22.55,81.8
Haryana,Rewari,2017,33.63,17.41,47.82,25.33,77.91,30.5,55.87
Madhya Pradesh,Dindori,2024,22.81,71.29,23.39,78.02,64.41,25.41,73.95
Gujarat,Aravalli,2016,44.9,12.4,83.23,34.26,97.89,56.37,64.59
Karnataka,Haveri,2023,77.11,61.56,27.9,77.14,75.65,38.34,17.5
Madhya Pradesh,Damoh,2023,60.86,53.6,99.06,65.37,15.81,37.35,76.6
Chhattisgarh,Kanker,2022,41.13,78.14,99.06,45.69,43.38,11.62,98.55
Mizoram,Lawngtlai,2015,15.04,45.62,91.68,12.8,12.6,98.95,13.16
Bihar,Gaya,2016,93.64,73.57,26.01,87.83,73.7,81.29,45.59
Bihar,East Champaran,2019,31.9,82.94,76.76,41.03,98.84,100.0,12.58
Arunachal Pradesh,Lohit,2016,36.93,20.26,23.11,68.68,45.68,56.37,17.94
Maharashtra,Jalgaon,2021,88.16,88.92,45.76,38.83,58.29,16.65,24.96
Uttar Pradesh,Fatehpur,2021,51.11,17.14,69.16,49.83,34.92,50.44,84.86
West Bengal,Purba Bardhaman,2022,59.79,19.51,77.49,71.19,52.05,22.52,57.6
Gujarat,Valsad,2015,19.24,77.93,82.4,75.5,58.63,55.23,70.73
Jharkhand,Godda,2023,33.75,27.08,68.08,27.46,31.76,74.13,34.1
Assam,Dima Hasao,2015,15.53,24.09,15.19,82.51,60.31,88.71,52.52
Odisha,Dhenkanal,2019,32.51,25.7,49.49,51.93,11.52,38.55,76.98
Madhya Pradesh,Barwani,2019,39.74,14.8,26.52,31.83,68.26,33.92,16.5
Karnataka,Mandya,2025,66.4,27.85,35.15,78.13,85.68,34.59,37.55
Madhya Pradesh,Sidhi,2021,46.65,14.65,18.62,37.08,86.73,62.02,41.42
Nagaland,Kiphire,2024,25.87,78.02,97.66,97.99,92.0,46.91,22.31
Uttar Pradesh,Shravasti,2024,85.49,87.87,14.93,51.62,98.94,13.71,96.4
Mizoram,Champhai,2025,18.17,97.83,13.89,20.17,96.28,47.06,75.05
Kerala,Wayanad,2023,36.27,66.73,50.89,71.71,62.47,70.46,69.37
Madhya Pradesh,Sehore,2024,35.34,67.39,98.68,11.9,78.34,11.15,59.26
Uttarakhand,Udham Singh Nagar,2020,28.6,82.8,63.21,76.02,76.09,96.54,58.2
Rajasthan,Chittorgarh,2017,54.92,53.33,18.84,12.95,94.59,27.79,52.27
Uttar Pradesh,Maharajganj,2021,68.25,16.71,47.58,42.88,61.99,95.95,78.75
Telangana,Jogulamba Gadwal,2022,73.63,68.49,31.3,71.11,60.07,72.75,89.25
Odisha,Sambalpur,2019,60.79,57.05,40.1,23.84,28.77,10.46,67.15
Assam,Kamrup Metropolitan,2019,45.27,44.78,85.79,70.58,45.26,11.7,15.24
Sikkim,Gyalshing,2024,46.4,54.68,41.59,88.22,20.81,47.44,77.98
Haryana,Gurugram,2015,24.06,77.13,53.63,12.96,17.5,56.11,93.52
Mizoram,Aizawl,2022,97.43,90.26,83.18,65.86,76.48,52.71,36.8
Gujarat,Gandhinagar,2020,84.19,97.27,42.81,22.05,15.33,64.57,20.86
West Bengal,South 24 Parganas,2023,36.3,16.77,16.22,48.42,54.32,47.26,14.26
Madhya Pradesh,Burhanpur,2020,91.3,95.67,22.51,52.25,83.9,14.14,32.05
Telangana,Jayashankar Bhupalpally,2017,97.06,21.94,27.69,39.78,96.24,88.4,76.82
Uttar Pradesh,Meerut,2024,55.28,10.66,17.14,19.78,39.37,92.84,76.15
Rajasthan,Udaipur,2015,50.83,23.56,73.62,97.74,32.97,34.8,80.47
Tamil Nadu,Thanjavur,2015,83.74,13.36,44.8,99.95,71.42,28.33,20.66
Mizoram,Champhai,2023,43.54,25.26,76.4,87.81,77.46,35.02,35.67
Assam,Dibrugarh,2024,17.19,83.29,15.33,16.83,27.45,79.52,40.73
Andhra Pradesh,Parvathipuram Manyam,2015,88.83,31.7,22.34,38.46,49.83,57.12,99.28
Telangana,Mancherial,2024,15.94,70.25,28.02,20.84,28.39,49.29,19.92
Karnataka,Kolar,2024,39.21,21.79,71.21,37.91,23.62,37.39,93.76
Punjab,Patiala,2018,19.18,47.74,95.4,89.43,57.03,14.21,90.61
Madhya Pradesh,Mandsaur,2018,11.17,12.31,87.91,36.72,77.79,10.2,15.77
Chhattisgarh,Surguja,2024,40.24,64.23,85.4,40.93,92.63,74.13,95.9
Uttarakhand,Champawat,2021,90.81,13.97,54.3,67.28,54.49,15.45,46.69
Tamil Nadu,Kallakurichi,2019,83.21,29.0,41.7,50.02,22.52,36.31,82.22
Haryana,Panipat,2022,12.75,34.81,42.8,43.38,17.0,70.14,33.86
Telangana,Nirmal,2023,85.23,27.62,98.76,37.02,54.82,78.33,92.57
Bihar,Bhagalpur,2018,95.55,86.17,96.07,77.52,26.92,47.43,21.08
Rajasthan,Udaipur,2020,66.6,27.61,16.78,32.6,30.68,21.41,18.21
Himachal Pradesh,Hamirpur,2025,28.23,53.02,91.37,44.68,98.06,86.53,35.76
Nagaland,Kiphire,2018,43.14,73.47,71.86,92.14,40.17,42.79,36.92
Kerala,Malappuram,2019,68.43,67.83,93.32,73.8,57.73,99.93,31.39
Tripura,Unakoti,2016,99.74,72.62,59.52,38.05,61.33,88.61,61.46
Rajasthan,Dholpur,2020,80.2,23.58,73.11,19.15,19.28,88.2,91.43
Odisha,Jajpur,2015,21.91,98.79,24.22,60.15,52.8,60.49,34.91
Rajasthan,Udaipur,2024,89.48,82.77,18.03,68.44,23.46,60.75,54.54
Madhya Pradesh,Narsinghpur,2017,69.6,71.55,33.13,35.57,23.56,58.06,75.78
Himachal Pradesh,Sirmaur,2016,50.94,17.55,21.2,85.04,76.06,68.25,25.75
Punjab,Sri Muktsar Sahib,2024,15.33,11.97,38.22,77.97,91.24,92.0,19.69
Bihar,Sheohar,2016,12.6,35.83,61.88,41.3,47.13,76.01,96.59
Uttar Pradesh,Maharajganj,2021,63.88,77.07,87.97,14.51,25.21,65.75,71.89
Assam,Baksa,2015,29.06,29.74,98.63,55.26,33.05,74.0,63.02
Uttar Pradesh,Jaunpur,2020,56.24,85.66,16.75,69.98,64.31,36.94,88.82
Haryana,Yamunanagar,2022,84.43,12.9,20.9,62.54,16.47,99.22,89.31
Haryana,Jhajjar,2022,26.66,91.81,35.66,96.64,95.85,38.99,96.63
Tripura,Gomati,2024,42.72,18.59,99.89,80.06,84.65,75.13,23.25
Arunachal Pradesh,Lepa Rada,2025,29.37,37.44,27.88,73.17,34.13,57.18,31.32
Gujarat,Devbhoomi Dwarka,2018,27.65,99.55,52.52,53.43,28.96,50.29,26.32
Uttarakhand,Udham Singh Nagar,2016,35.22,82.76,41.0,16.26,49.53,23.36,75.44
Sikkim,Pakyong,2016,96.07,37.51,66.53,25.34,19.74,81.49,35.2
West Bengal,Paschim Medinipur,2023,13.61,65.26,51.23,12.2,62.67,95.28,45.82
Maharashtra,Ahmednagar,2019,18.07,35.72,51.0,41.36,78.11,41.85,15.55
Maharashtra,Raigad,2025,39.45,10.22,96.29,76.78,92.04,16.04,55.88
Telangana,Jogulamba Gadwal,2017,66.22,44.77,58.36,51.97,27.71,75.24,77.62
Arunachal Pradesh,Lohit,2017,45.17,69.85,37.6,71.27,70.33,94.86,81.09
Tamil Nadu,Kanchipuram,2017,68.23,20.7,89.48,91.01,63.97,55.63,98.97
Bihar,Vaishali,2019,16.84,45.0,97.99,65.03,83.56,15.22,34.61
Manipur,Churachandpur,2023,57.46,90.7,67.09,92.81,74.18,75.01,14.42
Rajasthan,Bharatpur,2015,32.67,31.81,25.16,58.0,63.29,58.36,32.46
Punjab,Malerkotla,2019,21.52,88.37,97.38,75.61,65.31,80.64,33.59
Haryana,Faridabad,2020,86.92,76.46,14.95,48.81,90.48,15.39,95.1
Assam,Hailakandi,2021,65.51,17.49,24.73,85.7,83.4,22.78,12.16
Tamil Nadu,Tenkasi,2023,24.83,63.51,60.29,31.5,63.95,48.9,72.84
West Bengal,Kolkata,2018,99.8,74.35,88.68,40.54,12.56,14.26,38.28
Rajasthan,Salumbar,2019,13.56,26.51,61.87,45.5,20.83,19.17,82.18
Maharashtra,Amravati,2018,99.14,96.81,38.14,28.36,10.77,74.18,40.67
Uttar Pradesh,Jalaun,2024,41.29,78.03,71.41,80.41,86.56,82.36,64.34
Arunachal Pradesh,Lepa Rada,2024,82.89,35.18,51.33,59.49,18.0,83.48,71.88
Nagaland,Mokokchung,2024,33.83,64.21,55.79,17.35,17.79,58.82,92.65
Meghalaya,South West Khasi Hills,2023,76.54,37.23,70.97,33.15,62.37,37.01,59.87
Uttar Pradesh,Amroha,2017,98.16,16.86,76.53,21.81,79.65,99.48,37.18
Madhya Pradesh,Sehore,2019,75.04,17.03,37.75,33.91,41.47,77.56,33.89
Uttar Pradesh,Hardoi,2018,60.89,40.25,46.17,59.33,87.65,31.64,11.72
Chhattisgarh,Gariaband,2022,41.45,39.51,89.46,50.47,46.75,89.85,69.99
West Bengal,Bankura,2019,55.96,95.51,56.42,50.53,91.01,37.83,18.07
Assam,Sonitpur,2018,35.99,82.21,83.28,59.53,17.2,97.96,42.19
Haryana,Jind,2019,70.12,33.03,26.53,17.61,46.67,85.35,31.79
Haryana,Panipat,2024,36.25,82.97,20.46,69.5,38.8,27.01,87.18
Gujarat,Banaskantha,2023,16.14,56.33,54.53,27.83,69.63,86.48,63.72
Uttar Pradesh,Unnao,2020,64.62,58.17,84.83,59.5,86.75,17.09,39.5
Nagaland,Mon,2020,85.16,82.01,70.26,69.31,75.06,58.44,87.69
Haryana,Yamunanagar,2018,98.1,69.11,57.09,48.97,28.9,19.98,60.41
Maharashtra,Nanded,2023,27.13,74.89,39.74,75.42,12.08,44.87,92.52
Gujarat,Amreli,2024,73.07,56.35,46.38,84.56,70.39,79.83,66.36
Bihar,Jamui,2023,61.31,71.9,19.93,89.17,19.47,96.49,83.74
Telangana,Khammam,2018,69.36,43.25,75.82,32.7,22.04,67.36,30.03
Odisha,Jajpur,2017,15.14,17.58,93.6,92.37,81.31,79.53,70.19
Arunachal Pradesh,Papum Pare,2017,92.08,31.29,73.17,95.66,53.71,23.4,56.09
Rajasthan,Pratapgarh,2022,86.86,40.4,77.5,45.42,91.25,38.55,13.42
Mizoram,Aizawl,2019,62.79,49.04,61.24,36.85,19.98,82.36,78.93
Odisha,Rayagada,2020,40.43,59.99,12.26,14.97,62.37,55.11,64.37
Jharkhand,East Singhbhum,2025,21.86,13.36,72.12,55.81,29.65,71.06,26.97
Madhya Pradesh,Shajapur,2022,62.27,47.21,81.47,48.13,82.99,43.26,70.17
Bihar,Saran,2023,45.15,21.87,42.23,43.95,87.49,13.44,56.32
Bihar,Aurangabad,2016,71.9,11.53,88.78,28.84,95.55,23.22,29.46
Uttar Pradesh,Ambedkar Nagar,2017,32.13,38.12,78.93,49.5,91.7,72.36,31.8
Haryana,Ambala,2020,77.13,40.84,19.18,51.65,17.79,10.84,71.91
Odisha,Sundargarh,2025,69.96,81.55,32.94,16.92,58.44,39.16,85.0
Madhya Pradesh,Bhind,2018,78.7,23.45,36.74,70.17,11.09,73.82,34.26
Arunachal Pradesh,Siang,2025,25.16,46.22,28.98,88.09,41.48,30.27,92.52
Gujarat,Surat,2017,87.95,53.23,49.22,14.51,23.77,18.3,44.38
Uttarakhand,Uttarkashi,2019,82.03,70.16,97.51,42.58,93.9,49.87,25.09
Chhattisgarh,Mungeli,2015,32.84,76.92,29.21,17.5,54.7,76.13,97.49
Himachal Pradesh,Kangra,2020,40.27,41.75,59.19,24.9,68.96,36.92,75.06
Manipur,Tamenglong,2023,49.78,52.68,66.93,23.5,75.79,40.55,58.44
Punjab,Hoshiarpur,2015,66.96,21.64,80.2,12.17,92.88,92.43,72.03
Meghalaya,South West Garo Hills,2018,30.79,77.21,91.22,86.88,31.37,74.51,10.81
Rajasthan,Tonk,2023,23.01,58.43,40.2,61.68,33.48,17.87,30.59
West Bengal,Dakshin Dinajpur,2020,68.26,68.36,78.21,39.02,97.0,37.51,88.73
Chhattisgarh,Mungeli,2021,27.52,81.61,35.97,20.25,24.63,15.79,16.56
Andhra Pradesh,Bapatla,2015,71.93,66.3,62.62,20.62,60.59,77.27,71.84
Chhattisgarh,Kondagaon,2020,24.7,49.11,11.09,96.07,84.52,72.63,49.78
Bihar,Banka,2017,12.89,60.38,68.48,97.72,57.24,92.62,59.68
Maharashtra,Parbhani,2021,63.44,91.24,16.41,46.88,87.68,66.4,28.48
Assam,Chirang,2020,95.16,74.09,50.99,82.16,47.84,19.31,79.38
Assam,Charaideo,2016,42.08,83.71,90.57,44.89,71.28,20.63,14.65
Nagaland,Longleng,2025,43.2,48.33,26.69,33.53,79.73,89.59,29.18
West Bengal,Purba Bardhaman,2021,97.31,44.19,51.75,52.0,38.65,24.73,81.42
Meghalaya,West Garo Hills,2015,86.95,45.97,44.24,40.4,61.26,22.8,54.47
Uttarakhand,Almora,2015,17.17,16.56,98.45,72.02,31.94,24.77,77.41
Bihar,Aurangabad,2023,29.69,37.59,50.93,65.53,73.69,73.56,69.62
Gujarat,Amreli,2021,96.0,39.5,53.98,82.45,67.24,75.67,48.61
Gujarat,Gir Somnath,2018,39.64,84.86,19.47,11.73,50.04,73.87,46.27
Himachal Pradesh,Chamba,2024,79.14,59.5,97.96,88.78,21.75,84.65,23.39
Meghalaya,Ri Bhoi,2021,88.72,73.67,69.26,57.99,58.86,22.84,20.3
Himachal Pradesh,Solan,2022,76.86,36.79,25.57,10.83,96.5,77.12,28.49
Tripura,Gomati,2024,92.4,34.53,18.64,87.38,58.25,85.41,31.25
Bihar,Siwan,2015,76.03,47.57,82.5,90.34,53.0,83.86,64.2
Rajasthan,Udaipur,2020,93.38,40.01,73.25,53.72,22.94,66.47,10.81
Tamil Nadu,Ranipet,2019,33.1,64.11,74.99,99.17,79.96,69.48,63.83
Odisha,Jharsuguda,2025,16.3,12.28,72.62,51.5,32.55,62.63,11.85
Maharashtra,Hingoli,2016,12.43,65.78,16.89,67.39,15.14,25.13,41.55
Rajasthan,Jhunjhunu,2024,97.42,82.57,85.71,67.83,80.15,81.42,25.86
Arunachal Pradesh,Changlang,2017,93.82,83.68,11.92,95.13,10.13,75.9,23.39
Uttar Pradesh,Prayagraj,2022,25.33,72.49,48.29,63.34,15.24,41.14,70.31
Uttar Pradesh,Gautam Buddha Nagar,2024,24.93,67.13,37.64,32.16,80.96,63.05,75.13
Manipur,Chandel,2018,91.44,88.21,35.18,69.64,41.49,32.58,13.6
Kerala,Kozhikode,2019,13.36,92.34,23.06,18.08,80.46,38.53,64.42
Uttar Pradesh,Rampur,2020,45.1,71.09,50.52,83.42,16.22,85.83,94.83
Nagaland,Noklak,2015,70.64,75.62,74.49,32.72,40.15,48.88,42.85
Telangana,Karimnagar,2016,87.69,71.9,80.79,69.81,45.0,68.7,36.47
Karnataka,Chitradurga,2021,12.29,57.2,20.93,34.83,21.22,41.86,11.84
Jharkhand,Lohardaga,2015,36.47,20.91,61.14,99.11,30.83,11.38,69.02
Madhya Pradesh,Singrauli,2021,98.59,95.61,45.95,56.19,60.81,64.94,53.87
Kerala,Thiruvananthapuram,2024,30.32,41.0,15.92,86.07,76.45,61.49,47.96
Tamil Nadu,Vellore,2024,75.24,57.71,26.24,21.82,49.59,70.15,50.16
Telangana,Nalgonda,2019,99.71,86.54,47.92,27.49,60.2,17.41,96.52
Uttar Pradesh,Bhadohi,2017,93.64,42.9,72.73,15.61,86.09,11.88,11.02
Gujarat,Narmada,2018,90.75,56.08,37.01,51.15,16.44,55.4,98.7
Bihar,Aurangabad,2020,61.39,39.13,15.06,44.19,11.32,40.07,24.76
Maharashtra,Latur,2017,80.14,23.64,99.26,95.5,64.87,78.15,52.4
Maharashtra,Hingoli,2020,22.51,10.43,70.56,95.37,37.38,87.45,26.45
Madhya Pradesh,Bhind,2023,69.72,80.82,72.29,39.82,15.14,58.22,30.68
Punjab,Amritsar,2025,78.63,39.24,81.27,71.28,96.86,30.89,87.8
Madhya Pradesh,Burhanpur,2017,87.91,83.03,58.59,57.63,17.52,70.61,34.26
Bihar,Samastipur,2018,74.97,55.0,27.26,63.22,65.02,74.57,32.72
Telangana,Jagtial,2019,88.81,44.68,48.15,43.0,65.27,99.09,68.55
Andhra Pradesh,Alluri Sitharama Raju,2021,80.08,45.46,67.94,24.95,65.6,68.53,34.96
Uttarakhand,Champawat,2021,54.39,11.52,77.61,60.99,16.15,43.83,10.26
Madhya Pradesh,Maihar,2017,46.73,26.85,64.44,24.09,34.64,12.3,46.51
Tamil Nadu,Kallakurichi,2015,14.83,70.41,43.61,14.46,71.1,48.82,81.29
Punjab,Jalandhar,2015,70.23,33.61,41.08,74.74,53.91,58.6,28.09
Uttar Pradesh,Kanpur Dehat,2016,59.65,12.1,57.54,31.26,43.45,12.55,93.16
Bihar,Kaimur,2017,24.32,79.86,21.8,67.2,92.7,41.47,31.26
Jharkhand,Simdega,2021,19.0,76.88,28.5,20.73,31.75,82.42,83.23
Chhattisgarh,Dantewada,2022,77.05,75.41,57.78,42.67,21.55,96.14,29.8
West Bengal,Murshidabad,2021,50.84,75.72,68.2,59.48,30.58,18.03,84.45
Uttarakhand,Uttarkashi,2025,60.39,32.56,78.54,21.32,64.42,42.5,52.81
Kerala,Kannur,2025,97.93,82.9,43.15,67.27,69.65,50.69,94.37
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2017,56.84,85.84,57.85,82.65,84.89,29.03,68.98
Tamil Nadu,Erode,2017,31.53,89.03,36.57,27.53,43.77,86.89,66.94
Uttar Pradesh,Ayodhya,2020,28.08,95.93,62.72,31.45,64.64,31.43,40.61
Assam,West Karbi Anglong,2023,55.62,34.83,86.37,99.93,88.08,14.63,72.29
Gujarat,Kheda,2017,54.67,82.14,42.81,96.53,76.96,66.19,63.76
Haryana,Panipat,2016,62.49,73.57,57.87,89.55,48.75,62.95,66.42
Rajasthan,Salumbar,2020,71.76,87.83,63.61,40.87,86.22,57.63,31.53
Uttar Pradesh,Shahjahanpur,2019,76.5,58.6,20.05,95.19,87.33,57.33,78.28
Chhattisgarh,Bilaspur,2019,41.36,17.53,58.44,25.54,32.05,33.62,98.44
Assam,Cachar,2024,75.65,56.12,73.69,14.98,42.69,76.33,21.34
Punjab,Gurdaspur,2022,73.76,54.88,60.51,31.85,76.53,96.21,92.34
Uttar Pradesh,Ballia,2017,66.25,54.95,23.04,49.38,24.37,21.97,38.35
Uttar Pradesh,Hardoi,2019,55.26,53.04,14.79,64.62,70.75,39.68,90.21
Uttar Pradesh,Jhansi,2022,93.23,86.63,24.81,41.01,61.49,64.65,10.8
Uttar Pradesh,Unnao,2024,94.03,26.85,84.08,13.4,91.55,11.58,29.02
Madhya Pradesh,Guna,2021,44.5,99.77,50.18,67.78,14.44,28.1,99.01
Madhya Pradesh,Singrauli,2017,53.75,85.1,42.76,60.65,66.06,64.44,46.48
Andhra Pradesh,Tirupati,2018,15.93,25.09,92.11,27.87,54.24,87.16,68.59
Mizoram,Mamit,2023,61.14,90.01,27.1,44.22,20.93,84.09,30.69
