state,district,year,rainfall,groundwater_level,water_supply,irrigation_area,reservoir_capacity,water_quality,drinking_water_access
Mizoram,Lunglei,2017,61.84,40.35,47.71,48.52,45.22,80.31,11.7
Madhya Pradesh,Harda,2018,13.87,92.56,28.33,46.55,63.25,82.6,50.03
Maharashtra,Chandrapur,2015,24.26,63.12,58.93,85.41,88.59,88.94,40.61
Bihar,Rohtas,2020,55.89,44.65,58.82,87.77,24.45,22.46,46.47
Maharashtra,Ahmednagar,2024,87.89,25.82,72.61,66.33,20.85,94.53,88.35
Odisha,Rayagada,2021,37.29,25.04,77.05,90.17,58.09,76.22,44.04
Uttar Pradesh,Budaun,2021,39.89,44.11,34.23,50.69,71.67,50.75,65.84
Assam,Karimganj,2019,42.74,27.86,61.11,86.46,47.54,97.67,74.11
Bihar,Purnia,2019,29.98,45.9,54.0,71.47,21.24,39.03,78.97
Bihar,Nalanda,2022,94.22,40.6,66.14,74.96,86.09,25.91,87.48
Gujarat,Vadodara,2016,34.12,99.87,77.45,88.86,80.69,20.14,48.11
Chhattisgarh,Balrampur,2021,73.46,43.35,50.59,92.65,38.03,73.58,31.16
Mizoram,Aizawl,2023,90.96,98.46,25.98,97.7,88.04,31.34,49.05
Uttar Pradesh,Balrampur,2019,99.28,38.02,83.81,70.86,54.84,33.36,56.57
Jharkhand,Hazaribagh,2019,95.48,39.2,39.51,64.3,74.84,72.01,13.96
Gujarat,Amreli,2017,25.21,80.25,64.51,20.39,73.71,92.08,54.94
Telangana,Jagtial,2015,10.3,56.77,33.56,65.9,47.0,76.08,23.93
Jharkhand,Bokaro,2017,16.34,88.32,21.33,78.98,85.78,61.21,97.15
Gujarat,Porbandar,2018,11.3,61.59,73.04,25.07,79.66,38.8,48.28
Tamil Nadu,Sivaganga,2022,68.1,35.98,71.72,71.59,96.2,30.1,96.99
Assam,Kamrup Metropolitan,2022,81.74,18.36,21.82,95.26,83.73,11.66,98.86
Assam,Dhemaji,2016,49.13,76.67,67.34,27.6,10.52,90.62,11.91
Mizoram,Aizawl,2022,63.54,84.39,81.87,58.06,39.12,48.53,18.23
Madhya Pradesh,Maihar,2021,65.53,22.8,47.35,45.19,38.8,25.36,89.49
Andhra Pradesh,Anakapalli,2024,29.83,44.43,13.43,82.68,32.95,42.69,76.73
West Bengal,Bankura,2022,74.94,48.94,46.03,95.28,20.11,79.07,82.66
Jharkhand,Giridih,2023,86.77,15.36,42.51,90.23,42.1,75.36,89.21
Karnataka,Vijayapura,2025,87.96,16.95,87.38,54.62,15.32,42.52,16.23
Andhra Pradesh,Kakinada,2025,10.22,84.5,25.67,71.94,79.79,85.3,46.91
Gujarat,Amreli,2024,69.38,94.84,89.55,43.58,61.76,65.01,39.96
Madhya Pradesh,Shivpuri,2021,97.36,54.21,92.91,60.24,52.48,57.16,16.63
Chhattisgarh,Bastar,2016,19.16,13.86,65.43,77.23,41.55,60.85,44.03
Uttar Pradesh,Sitapur,2018,79.33,57.75,63.98,73.15,22.37,21.66,31.03
Uttar Pradesh,Auraiya,2024,37.6,37.04,95.77,96.14,82.1,13.53,63.45
Rajasthan,Baran,2015,82.61,68.41,88.25,10.35,11.43,94.09,74.7
Odisha,Jagatsinghpur,2020,92.15,44.07,78.11,34.74,47.67,42.24,64.74
Arunachal Pradesh,Namsai,2020,23.37,73.63,12.85,58.96,41.37,18.55,93.23
Manipur,Kamjong,2022,28.44,38.88,51.41,25.66,88.33,79.22,99.2
Bihar,Gaya,2021,78.12,31.42,14.15,40.08,62.28,68.04,12.5
Madhya Pradesh,Mandla,2016,27.24,82.02,98.02,92.67,99.72,97.46,84.67
Assam,Dima Hasao,2022,26.84,57.72,93.43,42.35,58.85,41.59,18.96
Telangana,Kamareddy,2024,98.51,40.3,24.65,26.55,44.15,80.04,78.9
West Bengal,Cooch Behar,2023,31.37,57.77,85.32,12.11,35.49,59.58,57.57
Uttar Pradesh,Amroha,2015,48.98,82.64,71.23,82.61,29.82,93.4,48.51
Punjab,Faridkot,2018,20.44,74.4,51.63,84.67,91.24,19.75,29.16
Madhya Pradesh,Datia,2025,56.42,27.06,88.19,91.74,23.79,95.4,39.41
Mizoram,Kolasib,2018,80.76,99.24,38.69,11.5,86.6,94.19,91.37
Madhya Pradesh,Chhatarpur,2025,79.51,40.69,14.04,59.97,49.73,18.25,16.97
Chhattisgarh,Balrampur,2025,11.83,23.51,89.48,99.72,78.99,91.09,82.06
Jharkhand,Koderma,2015,91.39,69.54,87.83,83.04,36.36,13.18,80.18
Himachal Pradesh,Hamirpur,2023,12.27,18.89,86.92,81.06,79.01,82.14,49.58
Rajasthan,Sirohi,2016,13.65,75.66,63.96,68.99,51.21,59.71,19.09
Arunachal Pradesh,Lower Dibang Valley,2017,40.38,14.21,70.01,86.75,36.03,35.71,22.45
Haryana,Kurukshetra,2024,96.93,37.47,73.77,88.75,85.99,71.04,63.79
Manipur,Jiribam,2021,40.86,36.09,52.46,30.91,15.55,84.98,39.59
Maharashtra,Mumbai City,2022,89.61,54.4,73.57,21.19,66.07,35.72,77.55
Gujarat,Vadodara,2015,58.69,86.08,44.84,68.61,41.56,74.46,82.87
Bihar,Nalanda,2022,37.92,26.24,75.15,50.07,47.51,24.6,83.72
Manipur,Bishnupur,2022,39.98,39.08,52.11,48.34,16.57,59.29,49.56
Maharashtra,Dhule,2023,80.09,31.08,30.35,97.45,85.03,46.32,65.51
Gujarat,Amreli,2021,86.97,96.19,78.96,82.01,90.69,63.55,80.88
Gujarat,Banaskantha,2017,77.5,24.31,61.36,87.63,72.73,92.26,40.99
Andhra Pradesh,Kurnool,2022,59.23,36.12,72.76,75.87,57.45,86.52,20.74
Kerala,Kasaragod,2022,48.4,84.38,17.87,98.11,88.6,36.17,20.23
Karnataka,Kalaburagi,2025,40.23,96.52,24.24,98.07,99.49,80.08,32.32
Assam,Udalguri,2016,97.55,19.92,48.49,72.25,46.5,21.83,72.25
Jharkhand,Gumla,2015,43.32,89.43,33.28,29.38,26.34,58.17,27.05
Gujarat,Rajkot,2019,37.68,55.28,60.47,45.08,11.26,33.42,41.77
Manipur,Tengnoupal,2019,97.48,86.5,51.16,62.69,12.38,41.13,33.77
Rajasthan,Rajsamand,2020,12.34,28.75,56.25,63.67,82.92,46.72,14.74
Madhya Pradesh,Indore,2018,39.24,33.4,20.48,12.28,48.98,73.58,17.93
Arunachal Pradesh,Upper Subansiri,2023,13.23,22.74,65.67,37.13,72.81,45.02,21.56
Jharkhand,Bokaro,2021,50.39,41.24,69.58,21.55,48.94,29.66,13.71
Assam,Tinsukia,2025,11.2,39.84,43.28,24.16,95.89,57.38,95.58
Himachal Pradesh,Solan,2025,48.28,89.89,66.52,73.96,15.8,73.23,82.89
Uttarakhand,Rudraprayag,2023,95.63,62.31,66.96,64.86,38.8,46.58,39.32
Nagaland,Chümoukedima,2016,20.17,59.16,61.7,96.97,15.18,68.02,18.83
Bihar,Saharsa,2023,15.13,19.63,33.27,13.12,60.09,53.56,46.59
Odisha,Sambalpur,2022,42.66,48.81,67.35,46.94,25.26,79.99,56.7
Manipur,Tamenglong,2017,23.85,44.15,82.43,48.51,74.86,40.71,77.22
Telangana,Kamareddy,2025,62.35,48.2,28.43,41.65,52.92,69.34,61.38
Manipur,Kamjong,2015,23.87,13.6,32.42,53.5,49.7,30.31,83.42
Rajasthan,Balotra,2018,70.34,55.73,65.44,46.19,36.62,38.67,88.02
Jharkhand,Lohardaga,2023,13.67,29.3,73.28,52.99,64.6,31.08,77.13
Jharkhand,Seraikela-Kharsawan,2019,17.93,22.98,55.72,31.12,45.46,60.05,69.95
Assam,Majuli,2024,64.23,88.44,24.99,16.54,57.18,71.49,90.33
Punjab,Pathankot,2015,84.63,90.82,56.28,94.01,13.72,50.09,51.43
West Bengal,Nadia,2024,33.15,66.15,39.32,25.37,31.83,53.46,50.93
Maharashtra,Sindhudurg,2020,63.15,91.06,32.42,42.0,64.39,38.25,75.41
Arunachal Pradesh,Papum Pare,2025,80.69,69.32,69.69,16.03,75.11,46.28,80.57
Himachal Pradesh,Kangra,2023,50.77,59.64,72.23,82.18,25.06,84.7,26.51
Rajasthan,Dungarpur,2016,33.13,82.58,75.46,64.19,54.46,68.52,49.92
Mizoram,Aizawl,2019,65.46,68.4,94.19,26.94,62.06,65.43,48.81
Karnataka,Bidar,2022,32.16,39.81,53.39,12.63,61.04,47.49,48.8
Uttar Pradesh,Shamli,2021,37.98,24.77,62.94,91.9,46.48,20.36,45.24
Maharashtra,Ratnagiri,2021,64.05,21.17,40.58,80.29,73.11,17.43,93.22
Odisha,Angul,2024,88.97,47.93,83.95,19.71,34.48,69.89,90.23
Gujarat,Surat,2015,74.31,20.83,36.34,21.86,63.08,26.9,47.23
Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),2020,12.38,55.71,59.72,85.26,60.57,56.41,88.24
Maharashtra,Gadchiroli,2024,92.53,66.69,67.9,76.55,16.97,47.83,32.28
Assam,Goalpara,2020,27.73,83.64,15.32,67.66,16.18,80.87,67.14
Rajasthan,Karauli,2023,49.85,84.04,99.79,28.86,35.87,22.4,19.85
Rajasthan,Bhilwara,2019,47.23,26.28,73.88,15.0,97.08,31.43,30.53
Jharkhand,Ramgarh,2015,90.59,98.82,23.94,87.79,76.53,88.19,24.44
West Bengal,Hooghly,2017,56.3,53.4,69.14,88.77,53.99,38.09,41.56
Uttar Pradesh,Kanpur Dehat,2019,38.4,63.34,42.51,88.91,61.68,24.29,59.15
Gujarat,Bhavnagar,2017,60.78,82.89,91.08,50.11,35.04,29.71,46.76
Tamil Nadu,Tenkasi,2018,59.14,46.85,67.5,39.95,35.69,86.6,50.12
Telangana,Sangareddy,2022,71.9,82.29,77.95,76.61,45.81,35.09,97.39
Uttar Pradesh,Pilibhit,2017,37.34,34.79,27.01,15.16,50.54,53.37,98.39
Odisha,Puri,2015,81.39,52.99,55.27,91.39,35.91,91.31,46.65
Gujarat,Panchmahal,2019,79.13,65.5,85.46,84.69,69.47,29.0,74.97
Punjab,Bathinda,2023,69.65,13.69,67.25,31.4,14.35,79.05,52.01
West Bengal,Jhargram,2017,18.58,64.91,92.16,91.07,59.52,59.47,21.85
Uttarakhand,Udham Singh Nagar,2019,87.94,79.75,94.31,58.05,72.66,58.37,42.61
Jharkhand,West Singhbhum,2019,58.66,83.99,30.29,38.39,29.34,19.82,74.37
Mizoram,Saiha,2015,31.09,96.81,42.96,61.64,91.66,81.99,70.94
Rajasthan,Sikar,2022,59.39,29.13,75.62,16.68,13.29,19.99,16.65
Andhra Pradesh,Kakinada,2017,97.38,76.22,63.22,95.48,68.04,96.97,27.27
Telangana,Jangaon,2017,37.23,43.84,99.88,97.83,70.96,18.9,58.94
Bihar,Jamui,2016,26.62,88.15,33.33,93.06,99.69,14.79,54.63
Assam,Jorhat,2024,97.68,88.29,85.09,62.91,49.29,37.13,19.59
Punjab,Hoshiarpur,2024,99.04,97.62,79.61,98.05,80.65,18.97,44.32
Gujarat,Navsari,2015,32.28,47.34,35.15,78.09,87.88,58.43,63.34
Telangana,Vikarabad,2022,14.12,72.79,46.23,76.77,55.6,55.16,17.64
Telangana,Nirmal,2018,69.09,69.4,34.13,13.98,79.9,24.57,26.17
Nagaland,Kohima,2025,95.89,97.88,46.55,27.95,40.47,53.11,76.65
Rajasthan,Dholpur,2023,97.27,83.78,52.48,41.0,51.49,74.99,45.89
West Bengal,North 24 Parganas,2022,44.16,13.49,21.15,20.27,91.73,45.14,83.52
Bihar,Vaishali,2015,11.41,38.17,36.78,58.41,87.64,60.14,72.05
Uttar Pradesh,Ghazipur,2017,97.42,82.67,82.55,19.91,72.9,62.64,70.94
West Bengal,Paschim Medinipur,2021,54.37,59.13,84.77,49.41,34.29,47.72,70.55
Arunachal Pradesh,Lepa Rada,2016,56.94,62.38,20.48,56.84,94.12,93.03,90.03
Punjab,Hoshiarpur,2021,74.72,30.17,35.29,54.93,37.97,51.31,13.94
Madhya Pradesh,Narsinghpur,2025,57.29,33.97,72.14,24.76,99.98,86.83,39.72
Assam,Kokrajhar,2021,65.56,92.07,29.34,13.26,12.36,35.01,12.21
Nagaland,Dimapur,2016,38.6,50.82,41.31,12.34,12.53,82.17,56.44
Uttar Pradesh,Jaunpur,2025,14.5,57.44,43.32,14.18,81.85,42.55,85.86
Arunachal Pradesh,Lepa Rada,2020,42.28,84.31,38.91,55.99,37.62,71.58,79.62
Telangana,Jayashankar Bhupalpally,2024,45.77,54.19,60.93,34.81,58.83,48.68,14.88
Madhya Pradesh,Shivpuri,2015,93.75,11.66,69.29,41.68,79.59,99.91,63.9
Uttar Pradesh,Amethi,2015,34.23,38.36,36.69,52.72,25.23,25.27,11.66
Tamil Nadu,Cuddalore,2023,79.13,94.17,83.45,71.32,70.48,32.66,95.76
Odisha,Jajpur,2024,93.69,70.69,47.51,58.4,65.82,87.45,62.59
Bihar,Darbhanga,2015,98.39,85.31,49.78,47.2,71.53,62.17,64.94
Rajasthan,Sri Ganganagar,2022,10.57,93.67,82.92,20.84,43.45,66.38,39.86
Bihar,Sheohar,2016,10.77,32.33,47.32,32.58,93.66,87.48,97.42
Assam,Tinsukia,2023,14.67,19.3,17.21,85.1,72.65,97.3,75.09
Kerala,Kasaragod,2019,18.45,50.98,15.29,79.06,22.81,89.38,60.09
Madhya Pradesh,Sheopur,2017,31.72,15.31,40.79,42.26,93.58,86.32,69.06
Uttar Pradesh,Ghaziabad,2016,29.08,68.88,76.76,19.09,89.38,18.45,28.01
Uttar Pradesh,Shahjahanpur,2020,55.04,51.76,49.93,93.78,21.25,93.7,25.06
Assam,Dhubri,2022,77.42,23.68,40.57,56.4,26.33,17.78,61.67
Haryana,Ambala,2015,40.34,83.07,23.44,21.95,72.83,52.24,10.56
Jharkhand,Ranchi,2025,40.23,67.41,44.43,49.95,14.03,66.26,31.97
Meghalaya,East Jaintia Hills,2021,74.64,35.99,60.95,98.11,80.91,90.06,18.34
Bihar,West Champaran,2018,92.97,80.71,18.94,64.38,50.46,20.29,80.15
Maharashtra,Raigad,2025,58.0,95.13,12.94,88.52,23.85,49.05,18.93
Kerala,Kozhikode,2017,34.14,69.24,77.95,79.2,38.81,57.39,56.07
Uttar Pradesh,Firozabad,2016,12.4,14.57,22.83,64.55,35.35,46.28,81.83
Jharkhand,Deoghar,2021,34.57,76.82,35.56,19.55,65.54,30.65,45.83
Punjab,Amritsar,2025,30.19,28.36,46.1,54.42,22.18,88.53,67.23
Assam,Dibrugarh,2022,23.81,71.27,52.99,74.33,95.17,21.07,59.85
Gujarat,Tapi,2015,69.07,59.5,90.2,58.14,43.32,17.67,29.03
Uttar Pradesh,Shahjahanpur,2019,36.65,61.09,65.77,34.05,80.18,66.77,66.68
Tamil Nadu,Sivaganga,2021,15.87,34.35,86.33,14.48,39.48,98.27,41.8
Assam,Lakhimpur,2022,69.18,81.1,24.73,65.13,88.67,13.71,62.41
Chhattisgarh,Gaurela-Pendra-Marwahi,2021,52.88,86.99,53.01,74.08,56.62,62.24,86.79
Maharashtra,Nashik,2019,33.45,16.04,52.05,58.86,17.22,34.33,28.45
Andhra Pradesh,Vizianagaram,2018,42.98,65.25,90.85,45.79,34.43,21.39,66.16
Madhya Pradesh,Jabalpur,2019,47.51,82.85,39.79,31.57,73.02,56.71,25.16
Andhra Pradesh,Visakhapatnam,2021,93.55,81.06,80.38,24.39,77.07,40.51,56.45
Karnataka,Gadag,2022,34.81,12.44,60.21,43.45,48.15,28.32,81.37
West Bengal,Purulia,2023,27.23,97.32,86.78,12.27,76.51,96.68,91.59
Punjab,Patiala,2022,27.7,77.82,12.58,62.1,79.04,78.04,52.74
Jharkhand,West Singhbhum,2022,30.37,54.88,37.89,13.72,14.96,84.86,44.84
Gujarat,Dang,2025,42.05,61.37,99.16,81.82,90.81,49.12,59.13
Chhattisgarh,Bemetara,2025,16.22,96.67,29.47,67.52,54.48,97.09,38.35
Uttar Pradesh,Fatehpur,2021,59.5,46.02,57.2,58.5,35.82,99.74,19.89
Tamil Nadu,Viluppuram,2022,71.54,65.44,57.5,50.86,27.04,81.89,57.43
Madhya Pradesh,Rajgarh,2022,76.56,41.79,41.76,80.27,69.22,12.78,97.13
Punjab,Hoshiarpur,2024,28.83,46.45,14.12,27.83,51.94,43.14,25.33
Kerala,Malappuram,2022,70.14,48.44,64.4,34.65,34.9,94.02,68.15
Madhya Pradesh,Satna,2020,47.09,57.47,59.85,38.54,82.52,32.92,28.72
Tamil Nadu,Kanchipuram,2018,98.7,83.82,29.93,61.43,37.52,28.31,41.5
Karnataka,Chikkamagaluru,2017,48.79,58.76,51.02,53.24,22.81,76.63,85.0
Rajasthan,Bundi,2024,62.92,60.97,36.05,47.12,40.96,47.39,82.4
Tripura,Dhalai,2022,88.12,41.89,78.13,17.19,20.83,44.99,20.76
Mizoram,Kolasib,2016,32.59,40.33,80.28,33.7,45.51,74.14,18.78
Odisha,Koraput,2016,99.35,97.3,93.99,85.67,72.29,36.94,80.09
Assam,Nagaon,2019,50.28,20.98,50.03,89.95,33.07,50.78,55.9
Uttar Pradesh,Kushinagar,2021,73.4,92.38,68.54,48.99,77.62,86.53,54.26
Haryana,Nuh,2017,67.77,28.61,91.75,88.63,90.37,79.78,39.56
Telangana,Jayashankar Bhupalpally,2020,92.56,56.53,91.07,70.8,84.42,56.02,51.34
Punjab,Ferozepur,2021,28.52,70.91,59.93,24.28,54.32,42.65,27.42
Andhra Pradesh,YSR Kadapa,2024,52.88,82.86,88.65,57.91,98.56,35.05,86.49
Nagaland,Mon,2021,57.58,35.76,63.59,77.15,59.21,63.78,68.19
Chhattisgarh,Korea,2018,62.17,79.81,85.54,53.43,55.89,20.99,19.37
West Bengal,Jhargram,2016,98.34,23.66,85.53,28.08,73.76,35.59,56.7
Jharkhand,Jamtara,2025,16.14,23.46,53.85,79.03,92.51,53.77,80.78
Assam,Biswanath,2017,59.1,27.33,62.23,66.82,60.24,85.05,23.34
Assam,Jorhat,2024,99.99,83.32,46.47,93.74,53.24,68.06,95.21
Andhra Pradesh,NTR,2023,87.48,17.37,11.21,13.94,29.42,71.18,28.33
Chhattisgarh,Rajnandgaon,2025,27.84,73.0,11.88,78.94,18.05,28.95,67.71
Haryana,Rewari,2018,80.07,61.62,67.48,88.85,53.94,93.56,25.19
Rajasthan,Bikaner,2024,92.34,86.7,17.38,59.01,32.07,10.82,72.14
Nagaland,Kiphire,2018,76.94,48.04,66.53,56.59,50.59,72.1,50.06
Telangana,Mahabubnagar,2019,45.49,74.31,22.97,88.14,26.73,11.74,91.02
Rajasthan,Dungarpur,2024,12.2,14.34,79.06,27.82,82.79,60.63,77.29
Mizoram,Champhai,2025,18.69,58.76,62.78,31.17,26.0,59.71,95.63
Rajasthan,Bharatpur,2017,58.5,50.72,85.5,66.28,41.38,48.4,79.75
Arunachal Pradesh,Namsai,2016,66.01,95.91,77.23,13.34,93.34,74.68,97.55
Uttar Pradesh,Kanpur Nagar,2023,51.51,47.01,24.67,58.24,26.71,36.3,45.56
Uttar Pradesh,Shravasti,2025,95.98,46.93,70.78,17.58,32.88,51.35,34.33
Tamil Nadu,Tiruchirappalli,2019,75.02,61.31,57.18,71.23,88.17,55.98,92.41
Kerala,Kottayam,2015,63.38,66.49,13.61,75.77,64.3,40.68,48.06
Chhattisgarh,Raigarh,2019,38.08,87.23,65.36,98.25,61.64,66.41,48.53
Telangana,Adilabad,2023,83.98,85.5,71.88,41.21,22.13,72.88,57.63
Bihar,Patna,2022,32.56,32.78,70.86,55.28,17.56,11.56,71.17
Kerala,Idukki,2018,99.68,93.77,30.69,93.17,16.35,87.46,28.71
Madhya Pradesh,Bhind,2023,15.02,84.0,27.22,44.25,75.21,27.43,58.21
Kerala,Pathanamthitta,2021,11.8,84.35,42.39,83.06,46.13,43.86,49.67
Assam,Hojai,2021,98.87,19.4,96.88,78.82,86.1,86.65,21.18
Himachal Pradesh,Kullu,2025,27.5,83.62,66.92,29.49,49.49,59.1,30.86
Jharkhand,Latehar,2023,66.39,25.09,70.1,13.89,53.79,89.24,16.27
Haryana,Panchkula,2022,97.57,95.15,79.09,66.77,51.58,45.75,52.08
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2025,40.77,61.99,90.01,80.07,83.59,50.06,35.27
Telangana,Rajanna Sircilla,2017,30.69,95.58,24.49,68.0,43.3,92.37,54.4
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,34.45,23.61,52.76,74.34,61.15,47.01,30.54
Rajasthan,Banswara,2020,25.95,22.15,38.99,50.45,47.76,33.19,47.99
Uttar Pradesh,Saharanpur,2016,24.47,75.77,87.84,38.62,39.21,94.6,42.93
Rajasthan,Bikaner,2015,51.35,14.98,63.73,19.47,72.27,71.26,29.57
Rajasthan,Sri Ganganagar,2021,33.6,14.57,90.62,32.46,20.1,58.24,72.39
Arunachal Pradesh,Lower Dibang Valley,2018,35.7,34.22,36.45,21.47,74.12,72.85,74.29
Manipur,Kakching,2016,11.48,42.52,75.3,96.98,73.09,27.81,22.2
Bihar,Lakhisarai,2025,11.36,83.4,27.83,19.92,38.95,54.22,81.32
Punjab,Pathankot,2022,11.55,61.09,78.11,58.13,51.12,83.32,94.9
Gujarat,Mahisagar,2020,92.18,38.38,32.42,78.2,19.6,47.28,25.11
Madhya Pradesh,Balaghat,2017,26.91,26.71,16.05,26.47,30.91,84.63,83.68
Kerala,Kottayam,2018,33.03,23.56,15.12,80.55,87.24,30.76,86.67
Meghalaya,East Khasi Hills,2022,68.78,88.0,25.53,95.3,95.58,60.9,68.04
Tripura,Unakoti,2017,48.06,23.27,59.88,16.36,16.2,93.55,30.18
Gujarat,Tapi,2017,59.39,50.52,19.25,39.18,57.61,27.51,88.06
Assam,Karimganj,2023,35.42,21.33,95.88,51.09,34.1,77.76,28.29
Gujarat,Junagadh,2016,62.1,27.45,23.41,66.51,37.43,28.57,47.75
Assam,Nagaon,2020,53.91,36.96,99.38,13.76,49.07,62.78,61.05
Uttar Pradesh,Budaun,2020,56.63,66.72,17.99,55.3,28.79,92.21,73.5
Nagaland,Wokha,2018,45.62,91.06,58.78,93.56,80.23,18.04,20.77
Andhra Pradesh,Alluri Sitharama Raju,2021,51.55,94.44,19.94,26.1,87.28,63.7,94.42
Bihar,Vaishali,2015,95.09,43.43,43.87,23.9,48.02,21.6,69.03
Meghalaya,East Jaintia Hills,2018,73.83,23.52,82.85,59.4,98.23,78.09,91.58
Haryana,Sonipat,2020,51.3,97.93,30.74,49.66,26.17,24.42,58.08
Karnataka,Uttara Kannada,2024,96.91,51.07,41.71,49.09,35.71,19.62,81.28
Manipur,Bishnupur,2015,63.73,35.06,53.93,53.28,65.97,81.28,90.55
Bihar,Siwan,2021,91.77,57.67,16.35,97.15,57.62,50.76,57.54
West Bengal,Malda,2018,83.79,29.14,49.64,78.2,11.82,13.36,70.61
Uttar Pradesh,Kanpur Dehat,2025,84.31,83.45,88.04,29.38,67.37,86.63,12.41
Odisha,Cuttack,2016,20.46,86.07,12.87,72.35,87.23,46.03,86.81
Karnataka,Yadgir,2017,96.8,35.1,15.87,10.56,67.46,50.96,85.88
Uttar Pradesh,Sitapur,2022,19.22,61.97,32.27,71.42,85.84,22.1,53.28
Uttar Pradesh,Barabanki,2016,82.57,12.15,13.14,81.33,43.76,17.52,69.24
Madhya Pradesh,Chhindwara,2024,80.57,90.79,78.01,27.66,38.27,42.16,34.8
Punjab,Hoshiarpur,2020,19.99,43.2,21.23,94.13,36.8,89.8,60.68
West Bengal,North 24 Parganas,2023,71.79,29.68,78.85,19.21,15.83,24.57,66.7
Odisha,Malkangiri,2017,92.11,21.98,82.4,69.19,45.05,65.74,46.72
Bihar,Sheikhpura,2025,33.64,91.26,39.48,19.32,49.73,97.94,34.39
West Bengal,Purba Bardhaman,2025,97.74,13.15,71.61,67.24,26.3,26.83,26.68
Kerala,Kozhikode,2025,64.48,38.76,23.34,39.58,75.6,73.79,64.42
Punjab,Mansa,2020,11.43,40.35,54.71,45.0,15.95,18.03,40.78
Kerala,Kasaragod,2023,93.93,10.61,95.98,24.91,84.5,16.81,49.86
Chhattisgarh,Dhamtari,2016,57.21,73.82,54.66,48.88,25.82,68.13,99.41
Nagaland,Phek,2016,46.49,12.84,44.64,28.85,65.31,90.78,97.46
Odisha,Balangir,2016,43.17,17.72,31.77,22.68,98.25,27.61,97.33
Madhya Pradesh,Raisen,2017,87.71,92.89,61.27,45.3,68.48,20.53,43.7
Gujarat,Junagadh,2018,35.73,18.91,84.36,90.41,20.94,41.15,58.21
Madhya Pradesh,Ratlam,2024,70.17,30.92,89.98,35.76,30.79,52.94,34.65
Rajasthan,Jalore,2020,23.36,11.73,21.59,33.23,87.17,39.71,14.41
Karnataka,Yadgir,2017,71.06,25.23,44.36,79.08,49.23,37.32,11.39
Chhattisgarh,Bemetara,2017,45.43,61.43,77.97,19.61,18.97,13.1,38.89
Punjab,Hoshiarpur,2024,91.4,91.83,21.41,86.47,86.16,17.22,33.96
Uttar Pradesh,Bhadohi,2015,81.65,48.36,50.97,81.67,97.75,15.62,40.66
Maharashtra,Palghar,2024,38.95,38.25,18.13,44.41,69.71,73.5,14.54
Bihar,Kishanganj,2024,77.84,90.39,10.47,33.65,64.62,24.2,73.01
Gujarat,Gir Somnath,2022,54.61,81.81,59.8,74.75,87.14,67.55,49.94
Maharashtra,Satara,2015,54.32,40.88,96.06,20.64,52.61,98.59,54.16
Bihar,Bhagalpur,2025,12.17,92.07,70.79,99.83,50.93,24.98,81.21
West Bengal,Dakshin Dinajpur,2015,36.8,38.53,24.94,37.48,26.57,51.01,81.11
Tamil Nadu,Thiruvallur,2022,44.06,20.38,29.75,49.61,60.54,51.38,22.77
Punjab,Fatehgarh Sahib,2021,51.32,71.05,49.35,62.96,44.8,52.19,44.33
Gujarat,Devbhoomi Dwarka,2019,40.07,76.82,39.27,16.17,56.39,38.67,59.69
Jharkhand,Sahebganj,2023,83.79,96.96,70.97,43.38,53.77,98.2,51.85
Manipur,Jiribam,2017,20.25,24.11,82.34,51.05,82.47,95.95,39.2
Madhya Pradesh,Alirajpur,2020,34.93,14.97,14.76,23.0,48.26,15.05,13.57
Gujarat,Valsad,2021,77.7,19.4,55.24,36.12,50.89,70.19,12.08
Assam,Kamrup,2016,36.82,36.33,78.66,38.14,50.22,28.71,79.79
Madhya Pradesh,Seoni,2017,10.53,89.27,90.32,30.77,52.94,60.81,87.0
Karnataka,Haveri,2021,20.41,20.78,73.96,82.62,10.3,39.53,64.89
Bihar,Madhepura,2022,40.48,87.15,14.96,24.85,22.33,76.53,41.25
Tamil Nadu,Mayiladuthurai,2023,81.75,63.55,55.84,90.9,19.08,24.39,82.96
Tamil Nadu,Nilgiris,2025,31.11,98.92,92.97,18.68,57.59,82.88,29.6
Gujarat,Mahisagar,2021,89.32,81.75,28.01,46.6,64.3,52.43,72.71
Manipur,Kangpokpi,2024,34.13,70.44,75.99,71.42,44.16,23.47,66.36
Tripura,North Tripura,2025,37.57,49.45,86.64,46.91,71.77,99.6,43.86
Telangana,Mahabubnagar,2019,67.89,55.06,11.64,58.82,84.03,29.46,82.48
Telangana,Wanaparthy,2025,32.2,15.81,16.81,93.7,97.04,27.38,93.58
Tamil Nadu,Ranipet,2021,83.42,41.68,31.24,81.79,53.2,12.37,36.6
Haryana,Nuh,2016,55.35,93.4,72.73,26.19,27.65,84.73,80.9
Chhattisgarh,Gariaband,2023,42.64,72.21,23.55,66.65,86.41,99.4,49.43
Telangana,Mahabubabad,2020,51.27,62.13,80.69,30.91,93.99,76.79,64.78
Uttar Pradesh,Kanpur Dehat,2023,46.88,40.31,23.71,94.39,82.33,51.4,71.82
Punjab,Tarn Taran,2025,34.95,49.24,82.37,54.47,67.46,60.77,30.57
