state,district,year,malnutrition_rate,undernourishment,child_stunting,child_wasting,vitamin_deficiency,obesity_rate,nutrition_programs
Andhra Pradesh,Palnadu,2025,79.21,90.92,76.97,52.98,17.51,12.0,31.91
Uttarakhand,Tehri Garhwal,2016,62.88,96.3,72.72,96.57,42.39,68.27,44.15
Uttar Pradesh,Pilibhit,2021,35.49,34.92,38.14,78.63,10.17,36.56,65.68
Uttar Pradesh,Budaun,2020,29.65,26.91,62.04,53.17,38.46,88.81,27.65
Maharashtra,Sangli,2015,17.85,63.52,62.26,80.46,27.84,64.11,39.12
Punjab,Kapurthala,2018,82.13,44.09,13.52,86.74,50.68,49.81,81.75
Rajasthan,Tonk,2023,26.0,70.3,72.7,35.55,69.09,94.96,15.49
Maharashtra,Sangli,2023,56.15,10.99,48.57,37.01,42.23,99.79,99.75
Odisha,Ganjam,2023,68.42,36.55,31.44,87.15,78.69,19.4,67.27
Karnataka,Kodagu,2024,13.34,36.51,55.77,56.72,34.57,36.4,87.36
Chhattisgarh,Jashpur,2018,63.62,11.26,56.18,71.26,47.48,88.52,28.67
Bihar,Jehanabad,2021,95.7,82.99,87.78,42.28,67.69,77.88,80.26
Uttar Pradesh,Unnao,2022,53.59,48.97,64.2,38.02,42.52,27.12,61.81
Madhya Pradesh,Tikamgarh,2018,47.08,20.15,40.21,79.85,19.37,36.28,34.46
Madhya Pradesh,Shahdol,2016,60.96,10.21,35.36,89.67,32.65,58.81,43.21
Maharashtra,Buldhana,2017,97.41,25.96,36.14,69.51,89.96,50.84,13.21
Andhra Pradesh,Prakasam,2018,78.64,99.13,13.15,68.75,84.96,75.78,84.74
Karnataka,Kodagu,2022,93.8,68.12,59.2,45.24,97.45,31.62,66.79
Gujarat,Gir Somnath,2016,20.35,72.44,41.97,67.9,94.67,34.27,78.28
Uttar Pradesh,Mahoba,2023,84.85,22.65,14.64,15.25,71.78,74.46,82.38
Gujarat,Amreli,2019,56.45,11.09,60.87,28.46,31.03,58.43,10.87
Maharashtra,Ratnagiri,2024,51.88,57.29,97.51,31.75,67.77,14.69,19.8
Nagaland,Kiphire,2020,16.28,39.96,31.84,34.12,59.95,66.44,68.22
Uttar Pradesh,Jhansi,2025,23.67,71.96,89.12,85.73,48.8,75.54,19.12
Uttar Pradesh,Prayagraj,2024,10.15,44.68,34.98,15.1,42.41,53.45,83.67
Uttarakhand,Haridwar,2023,47.34,86.26,32.75,50.7,14.53,20.09,49.36
Mizoram,Lunglei,2022,63.65,43.8,54.37,17.74,63.48,71.35,97.98
Madhya Pradesh,Bhind,2020,44.34,78.36,96.79,37.3,79.41,37.93,26.82
Karnataka,Bidar,2019,46.49,59.06,25.34,40.5,44.92,81.07,64.73
Gujarat,Dahod,2018,75.17,41.77,23.79,24.85,26.57,42.17,30.58
Bihar,Bhagalpur,2025,21.28,86.68,37.48,42.86,62.74,21.17,32.08
Jharkhand,Seraikela-Kharsawan,2022,42.28,94.57,14.76,93.83,68.91,56.3,27.22
Telangana,Rajanna Sircilla,2021,93.83,47.22,29.19,90.34,21.95,81.01,41.79
Telangana,Nirmal,2016,43.36,82.97,76.9,89.4,93.09,92.19,11.41
Uttar Pradesh,Saharanpur,2017,24.73,90.83,86.85,83.23,25.22,82.98,73.51
Uttar Pradesh,Balrampur,2022,94.94,47.15,60.71,49.21,64.72,15.49,78.45
Rajasthan,Neem Ka Thana,2022,65.61,87.02,31.19,82.56,12.26,93.74,53.27
Odisha,Mayurbhanj,2020,73.63,56.72,28.74,20.99,32.83,79.55,72.73
Nagaland,Shamator,2024,54.2,62.05,24.43,45.17,43.77,68.9,32.75
Chhattisgarh,Mahasamund,2024,85.74,40.98,63.2,98.32,60.15,73.0,50.71
Chhattisgarh,Sakti,2016,99.76,71.44,55.8,78.36,63.79,54.99,89.3
Kerala,Kannur,2015,14.28,94.31,59.64,71.37,57.75,72.81,57.6
Telangana,Mancherial,2024,24.45,53.36,27.41,29.79,59.6,61.03,10.24
Rajasthan,Jhunjhunu,2016,81.29,51.87,61.14,62.33,55.31,20.42,48.61
Gujarat,Gir Somnath,2019,70.19,97.12,92.75,58.42,66.62,91.16,75.53
Gujarat,Gandhinagar,2025,13.54,91.39,86.68,40.82,25.48,67.61,61.56
Assam,Kamrup Metropolitan,2025,44.88,27.8,67.72,69.71,43.33,35.28,32.09
Tamil Nadu,Theni,2020,58.06,44.31,16.88,11.62,42.06,58.18,74.24
Arunachal Pradesh,Lohit,2025,20.45,90.86,28.61,91.17,74.43,19.2,21.57
Gujarat,Aravalli,2017,58.68,83.17,19.41,35.98,60.34,33.26,82.57
Maharashtra,Ratnagiri,2020,14.56,55.26,75.61,66.41,43.57,31.37,74.94
Rajasthan,Bharatpur,2025,72.28,98.31,60.46,96.56,77.78,31.32,56.87
Uttar Pradesh,Lucknow,2015,90.57,71.89,16.8,50.97,74.19,62.21,27.72
Assam,Sonitpur,2023,74.02,81.57,64.75,19.89,79.85,78.62,92.46
Chhattisgarh,Surguja,2024,64.26,56.25,66.79,34.79,86.74,92.54,25.29
Andhra Pradesh,Visakhapatnam,2025,23.88,96.87,68.35,52.47,14.81,52.01,47.76
Himachal Pradesh,Bilaspur,2019,61.33,67.63,65.94,85.89,27.52,50.4,86.48
Punjab,Malerkotla,2023,26.44,49.98,23.82,85.39,47.33,76.23,30.72
Gujarat,Mehsana,2025,38.23,22.69,11.36,82.77,67.77,16.41,89.19
Bihar,Saharsa,2023,19.27,87.06,72.35,72.1,53.12,14.55,94.39
Assam,Darrang,2019,54.45,37.19,88.26,59.32,36.12,43.71,98.07
West Bengal,Howrah,2019,81.27,74.9,23.89,56.92,43.21,75.88,21.85
Odisha,Dhenkanal,2015,57.34,99.48,91.78,51.97,94.38,23.13,98.13
Uttarakhand,Haridwar,2021,91.84,54.98,32.37,49.16,50.28,72.95,48.45
Tamil Nadu,Tiruvannamalai,2018,12.72,51.51,42.71,64.08,84.22,87.65,34.81
Bihar,Sheohar,2017,49.92,38.28,37.57,79.58,12.69,62.8,56.93
Meghalaya,South West Garo Hills,2022,12.44,36.26,70.83,86.8,99.14,18.18,36.46
Karnataka,Kolar,2023,61.66,83.69,28.95,21.67,43.76,21.53,32.01
Gujarat,Mahisagar,2017,39.95,12.3,39.5,50.74,29.7,40.85,29.32
Uttarakhand,Haridwar,2024,97.49,82.1,46.83,88.03,72.46,97.71,10.29
Madhya Pradesh,Bhind,2018,63.24,29.62,83.51,43.73,71.97,28.86,38.28
Bihar,Jamui,2015,30.98,73.44,68.83,60.19,91.7,47.51,63.24
Chhattisgarh,Mahasamund,2021,86.81,92.0,49.04,61.2,36.5,29.23,22.97
Uttar Pradesh,Lucknow,2015,41.98,78.88,52.11,80.81,95.22,13.43,13.71
Tripura,North Tripura,2025,79.44,44.38,55.92,50.37,69.87,75.32,77.89
Odisha,Koraput,2018,64.31,11.32,37.11,63.45,49.12,28.09,61.11
Telangana,Yadadri Bhuvanagiri,2024,72.56,45.11,16.09,76.73,42.79,17.87,48.67
Jharkhand,Simdega,2018,27.25,80.2,36.28,87.46,35.21,50.27,53.73
Karnataka,Hassan,2025,89.3,35.1,78.82,33.92,24.16,24.53,56.2
Haryana,Sonipat,2025,87.9,35.17,53.0,18.18,19.14,15.78,30.99
Telangana,Adilabad,2020,94.95,89.5,64.93,29.7,59.54,61.95,63.2
Mizoram,Mamit,2018,90.3,26.8,54.33,84.32,80.71,97.63,52.5
Tamil Nadu,Chengalpattu,2016,98.55,87.29,68.76,99.0,82.64,77.22,85.61
Punjab,Malerkotla,2016,19.91,42.06,40.78,65.76,77.51,89.65,24.27
Odisha,Deogarh,2015,80.13,75.76,29.86,57.39,27.68,85.39,19.7
Tamil Nadu,Namakkal,2025,94.65,15.04,59.91,93.12,43.51,31.9,84.36
Uttar Pradesh,Hardoi,2024,22.06,50.84,10.52,92.25,10.74,74.67,91.45
Maharashtra,Amravati,2019,36.6,12.59,48.16,74.73,27.32,74.44,48.9
Uttarakhand,Pauri Garhwal,2022,91.43,12.43,10.45,64.49,85.92,59.73,63.58
Karnataka,Gadag,2022,29.99,91.91,68.11,97.3,87.54,52.18,81.06
Gujarat,Valsad,2015,92.46,99.23,51.37,64.73,93.65,82.16,14.58
Jharkhand,Simdega,2019,61.14,35.52,38.61,94.58,70.44,56.28,11.31
Kerala,Kollam,2016,26.46,89.55,37.74,67.26,86.07,36.11,74.5
Arunachal Pradesh,Changlang,2018,29.04,81.34,72.53,76.44,18.87,98.84,71.12
Andhra Pradesh,Guntur,2021,96.17,65.02,49.22,71.27,83.87,42.53,71.31
Rajasthan,Jaisalmer,2023,33.67,55.86,18.74,88.72,23.42,14.26,39.13
Andhra Pradesh,Visakhapatnam,2021,38.39,31.87,87.74,40.39,68.41,65.9,49.47
Chhattisgarh,Durg,2025,90.84,14.4,47.65,33.56,39.77,36.53,84.66
Rajasthan,Bhilwara,2022,83.69,65.44,68.44,31.3,21.41,10.02,59.45
Manipur,Tengnoupal,2015,71.43,11.5,69.32,68.02,26.17,87.09,96.23
Jharkhand,Latehar,2020,22.82,12.49,17.38,14.55,27.26,32.39,72.39
Andhra Pradesh,Palnadu,2020,50.67,56.37,92.22,91.59,46.08,66.85,22.69
Maharashtra,Akola,2021,72.36,57.0,48.46,54.38,38.43,64.07,71.75
Tamil Nadu,Mayiladuthurai,2023,83.72,41.78,66.57,70.69,98.53,45.96,62.4
West Bengal,Malda,2016,94.03,98.13,11.61,88.31,91.31,34.25,24.49
Goa,South Goa,2022,91.09,94.88,66.11,74.56,84.05,76.38,57.6
Karnataka,Hassan,2020,30.03,12.17,37.78,13.53,89.64,23.46,70.6
Rajasthan,Kota,2024,74.84,45.65,57.22,95.38,69.62,66.94,36.7
Madhya Pradesh,Balaghat,2020,30.01,69.67,57.03,14.88,13.74,84.47,70.0
Telangana,Khammam,2016,96.57,72.29,57.46,64.08,75.75,67.5,89.32
Nagaland,Kohima,2022,82.36,46.07,74.68,92.32,64.72,25.68,11.02
Mizoram,Aizawl,2017,94.75,76.71,60.17,43.21,21.04,57.53,22.07
Tamil Nadu,Karur,2019,73.09,56.14,27.72,92.7,25.91,74.6,55.88
West Bengal,Paschim Bardhaman,2018,28.02,86.55,22.52,82.98,71.67,28.75,23.74
Odisha,Bhadrak,2015,64.64,96.47,47.02,30.45,31.32,23.93,45.69
Nagaland,Noklak,2017,33.34,38.68,88.58,87.68,12.64,71.14,20.09
Uttar Pradesh,Kanpur Nagar,2016,75.83,98.5,30.84,44.67,61.44,63.78,96.35
Telangana,Ranga Reddy,2021,41.46,17.48,41.96,60.04,92.03,51.74,57.72
Uttar Pradesh,Unnao,2023,45.37,66.24,24.11,74.05,52.37,57.57,96.24
Uttar Pradesh,Kanpur Nagar,2015,64.06,24.82,22.1,42.89,93.91,90.55,15.23
Chhattisgarh,Bemetara,2019,18.5,19.23,60.03,80.48,56.17,10.47,20.92
Punjab,Bathinda,2021,48.63,81.15,88.47,41.36,60.62,61.51,98.67
West Bengal,Purba Medinipur,2024,44.87,94.94,67.6,36.22,68.55,54.13,31.48
Karnataka,Vijayanagara,2022,65.12,51.19,50.86,14.76,19.25,62.45,39.15
Rajasthan,Sikar,2023,30.3,84.37,34.19,54.68,38.96,72.3,24.59
Manipur,Senapati,2021,71.36,62.07,79.77,20.42,92.38,98.18,24.36
Rajasthan,Bikaner,2017,81.78,56.25,33.11,99.84,49.72,51.39,83.55
Bihar,Khagaria,2023,68.0,17.23,25.18,30.92,35.95,95.79,73.79
Bihar,Bhagalpur,2024,31.73,89.0,93.96,82.09,61.42,78.05,99.74
Uttar Pradesh,Kanpur Nagar,2024,20.09,48.0,20.15,45.67,83.31,55.81,31.68
Uttar Pradesh,Basti,2015,12.08,87.03,90.48,34.42,72.06,18.75,40.55
Chhattisgarh,Surajpur,2025,30.3,35.4,23.63,70.66,53.44,26.73,58.35
Manipur,Chandel,2021,41.77,39.18,33.78,57.01,30.28,86.12,92.65
Uttar Pradesh,Ambedkar Nagar,2021,32.4,79.32,15.73,69.69,56.35,94.53,56.62
West Bengal,Kalimpong,2018,71.29,70.43,82.55,72.4,84.05,73.38,26.9
Gujarat,Rajkot,2021,61.28,18.27,29.54,26.7,86.49,28.83,79.22
Arunachal Pradesh,Siang,2016,79.91,27.56,80.46,71.19,44.76,84.7,41.37
Himachal Pradesh,Kinnaur,2018,94.21,93.36,36.44,37.67,71.06,83.06,46.88
Madhya Pradesh,Khargone,2018,79.84,46.22,11.88,63.38,59.72,72.84,63.94
Gujarat,Devbhoomi Dwarka,2022,92.86,99.31,88.93,56.48,46.9,71.01,88.44
Chhattisgarh,Surguja,2023,43.68,89.18,46.51,26.73,87.67,90.5,82.39
Rajasthan,Dausa,2017,87.9,60.5,68.4,75.23,41.95,44.38,61.16
Karnataka,Davanagere,2016,87.44,92.78,80.2,13.97,18.83,80.47,61.88
Tamil Nadu,Tirupathur,2017,58.3,86.1,48.45,55.97,15.52,23.51,87.37
Punjab,Rupnagar,2020,48.01,81.55,62.19,85.27,92.92,81.11,16.06
Uttar Pradesh,Ballia,2023,25.43,48.19,51.7,70.58,69.26,51.23,16.55
Bihar,Khagaria,2020,92.74,28.51,11.86,38.66,39.66,55.33,12.88
Karnataka,Ballari,2023,66.88,74.75,74.83,69.58,71.73,94.48,25.4
Andhra Pradesh,Visakhapatnam,2017,39.43,81.1,16.83,56.06,86.32,21.88,68.53
Uttar Pradesh,Kanpur Nagar,2020,90.37,82.92,34.2,19.82,89.23,90.14,44.5
Punjab,Bathinda,2024,13.21,80.09,61.51,88.23,59.51,60.14,24.43
Rajasthan,Sanchore,2022,67.0,17.29,46.32,62.24,74.64,61.47,63.07
Rajasthan,Jhalawar,2019,15.84,55.1,21.98,19.79,67.02,30.5,32.95
Assam,Jorhat,2024,83.15,48.9,37.19,82.48,15.72,79.33,56.69
Rajasthan,Deeg,2021,33.2,11.79,12.95,83.84,43.67,93.45,87.28
Chhattisgarh,Korba,2020,29.4,25.3,74.91,97.82,66.76,12.69,78.43
Uttar Pradesh,Rae Bareli,2020,31.51,44.64,13.43,34.15,50.75,93.2,53.62
Uttarakhand,Tehri Garhwal,2022,59.42,30.74,40.54,56.17,50.23,47.42,78.17
Uttar Pradesh,Sitapur,2023,50.13,91.43,91.84,12.31,89.16,83.67,16.34
Madhya Pradesh,Agar Malwa,2024,71.67,27.18,98.51,71.66,87.43,54.14,65.67
Chhattisgarh,Dantewada,2019,63.7,75.06,38.62,43.51,96.29,54.58,17.94
Chhattisgarh,Surguja,2017,64.24,63.34,54.73,35.26,13.05,14.09,15.0
Madhya Pradesh,Sagar,2023,21.97,12.95,86.77,31.39,20.22,66.0,53.07
Goa,South Goa,2024,21.37,57.38,37.49,54.6,56.46,54.5,90.2
Arunachal Pradesh,Upper Subansiri,2019,24.83,75.08,37.68,48.31,63.39,42.34,94.48
Rajasthan,Sikar,2021,70.59,82.36,26.4,73.03,81.11,54.28,60.01
Assam,Hojai,2023,29.92,67.43,11.73,44.45,90.7,63.4,30.37
Chhattisgarh,Bijapur,2015,37.62,29.63,68.69,81.98,40.71,14.3,96.58
Manipur,Jiribam,2019,52.01,13.91,41.59,44.3,47.08,58.81,10.63
Nagaland,Zunheboto,2020,43.7,28.01,11.23,90.2,77.52,94.34,34.2
Manipur,Ukhrul,2017,17.12,76.15,56.75,94.75,61.68,61.27,39.59
West Bengal,Dakshin Dinajpur,2016,30.02,38.5,64.08,10.4,27.04,27.83,23.72
Gujarat,Patan,2018,33.84,50.24,63.33,99.1,75.63,63.26,34.53
West Bengal,Malda,2024,57.92,21.68,96.99,76.84,82.83,99.81,58.98
Karnataka,Dharwad,2016,82.39,58.2,78.45,65.82,52.96,82.17,43.8
Punjab,Gurdaspur,2020,78.56,43.19,71.58,91.25,29.47,73.74,77.22
Manipur,Kangpokpi,2025,59.49,74.81,51.42,85.99,39.21,26.74,97.59
Bihar,Madhepura,2016,95.86,55.96,72.91,63.83,55.93,39.71,48.33
Karnataka,Yadgir,2025,72.35,21.99,69.94,25.4,67.02,24.84,15.21
Mizoram,Hnahthial,2022,17.12,32.1,65.52,88.89,50.31,83.41,75.8
Gujarat,Botad,2017,45.11,14.39,14.78,26.01,91.34,35.0,19.61
West Bengal,Kolkata,2016,98.63,92.57,61.06,14.37,76.14,30.87,89.07
Gujarat,Junagadh,2015,39.43,20.19,36.91,61.68,87.86,87.88,57.67
Odisha,Dhenkanal,2017,99.17,25.08,74.67,69.16,42.1,14.9,82.97
Assam,Bongaigaon,2022,52.0,79.83,35.76,38.59,12.08,98.17,55.13
Bihar,Gaya,2021,59.41,82.2,16.01,34.53,67.7,74.04,29.62
Uttar Pradesh,Gautam Buddha Nagar,2017,67.3,33.67,57.58,61.61,28.1,51.59,45.39
Rajasthan,Dungarpur,2017,59.54,94.9,64.13,54.81,17.41,82.93,93.86
Andhra Pradesh,Annamayya,2017,54.15,76.0,45.47,92.93,60.34,39.63,33.17
Nagaland,Wokha,2017,14.76,99.15,88.35,39.32,60.52,66.75,46.87
Odisha,Koraput,2015,19.76,20.09,63.61,43.89,10.39,22.54,21.49
Rajasthan,Jodhpur,2016,98.82,92.42,13.39,30.07,73.95,98.9,51.75
Karnataka,Bengaluru Rural,2016,98.21,92.22,12.89,82.15,35.03,37.26,57.42
Punjab,Sri Muktsar Sahib,2024,74.08,66.58,12.06,97.62,74.35,75.02,52.42
Himachal Pradesh,Lahaul & Spiti,2019,22.44,81.55,97.42,64.15,19.43,41.9,39.42
Mizoram,Hnahthial,2022,32.69,13.27,88.38,93.59,54.9,60.99,90.13
Bihar,Darbhanga,2024,29.31,64.36,44.06,27.15,58.44,14.4,87.67
Madhya Pradesh,Shahdol,2024,24.51,62.81,37.3,87.24,80.34,28.16,59.45
Andhra Pradesh,Vizianagaram,2017,80.65,16.13,86.63,17.8,94.85,97.33,17.4
Uttar Pradesh,Sonbhadra,2018,67.41,55.32,86.3,86.32,79.71,52.01,48.95
Madhya Pradesh,Dewas,2024,11.01,66.69,68.15,87.9,94.58,82.11,68.6
Kerala,Ernakulam,2023,47.67,86.53,70.42,43.29,57.49,69.98,50.72
Karnataka,Davanagere,2021,46.85,27.08,10.71,26.91,76.27,55.38,17.09
Andhra Pradesh,East Godavari,2018,62.99,60.23,18.5,74.0,86.19,95.29,82.67
Chhattisgarh,Rajnandgaon,2021,64.2,98.16,24.1,76.08,48.45,85.45,75.4
Uttar Pradesh,Chitrakoot,2019,82.17,87.06,33.31,37.85,11.53,42.0,33.63
West Bengal,Purba Medinipur,2022,95.12,24.86,45.07,42.18,36.05,18.64,42.71
Andhra Pradesh,Srikakulam,2024,12.91,37.27,70.33,90.65,38.5,68.54,45.48
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2019,15.95,56.01,58.77,85.8,27.17,58.9,70.82
Assam,Dibrugarh,2020,90.85,19.18,83.88,62.8,53.05,90.13,51.35
Gujarat,Amreli,2022,52.7,18.59,27.6,28.26,29.5,14.88,48.27
Andhra Pradesh,Annamayya,2020,36.59,84.11,78.41,37.46,19.55,37.47,34.75
West Bengal,Alipurduar,2018,90.23,88.14,48.39,86.47,74.96,99.37,27.8
Jharkhand,Palamu,2025,22.45,28.12,57.58,60.11,58.18,64.6,41.17
Himachal Pradesh,Lahaul & Spiti,2025,91.81,74.6,95.85,93.13,47.64,60.56,94.53
Manipur,Kangpokpi,2017,70.48,65.56,24.46,71.2,72.92,82.05,13.66
Jharkhand,Palamu,2022,43.54,40.25,15.2,41.05,19.05,82.78,45.29
Mizoram,Saitual,2019,19.8,19.97,31.52,78.41,25.43,52.16,69.82
Karnataka,Kalaburagi,2018,98.82,25.79,26.22,47.29,14.81,88.88,61.1
Uttar Pradesh,Fatehpur,2016,58.53,16.88,68.8,17.52,95.25,71.47,69.87
Uttarakhand,Pauri Garhwal,2019,78.0,21.6,64.26,53.4,65.9,43.74,60.35
Jharkhand,East Singhbhum,2017,59.49,90.75,70.57,70.73,44.94,29.41,73.35
Manipur,Senapati,2017,87.62,25.52,83.3,69.35,88.56,56.78,38.95
Rajasthan,Beawar,2023,69.53,28.08,93.5,99.9,49.9,38.14,17.92
Telangana,Nizamabad,2015,93.06,78.63,77.0,27.61,87.52,55.96,41.78
Uttarakhand,Uttarkashi,2019,94.73,87.2,97.85,19.17,18.02,24.38,56.67
Arunachal Pradesh,Longding,2021,82.54,81.65,48.65,56.98,89.94,78.43,40.84
Andhra Pradesh,Sri Sathya Sai,2020,25.37,50.44,77.09,96.72,58.34,15.44,62.61
Maharashtra,Nanded,2021,13.19,77.52,35.34,45.44,28.63,38.87,22.71
Bihar,Muzaffarpur,2022,18.75,52.53,17.28,29.71,55.48,72.29,29.39
Meghalaya,South West Garo Hills,2020,12.58,93.31,10.29,46.49,63.97,36.57,89.39
Chhattisgarh,Sarangarh-Bilaigarh,2025,22.46,54.6,86.41,56.34,97.56,57.62,98.36
Arunachal Pradesh,Tirap,2019,65.83,17.74,50.09,95.74,85.27,86.72,57.99
Manipur,Pherzawl,2018,51.25,14.57,57.73,92.81,48.15,68.28,87.23
Telangana,Ranga Reddy,2022,97.58,16.02,79.69,20.15,17.91,10.05,24.33
Uttar Pradesh,Sonbhadra,2023,21.0,89.37,60.47,45.18,61.09,49.48,52.54
Haryana,Fatehabad,2019,68.14,33.15,65.12,68.73,30.97,53.36,11.21
Uttar Pradesh,Kaushambi,2021,26.45,29.37,95.27,94.6,90.0,28.44,99.53
Uttar Pradesh,Mau,2023,69.38,80.21,36.17,15.95,57.71,10.83,45.42
Chhattisgarh,Bastar,2016,77.89,88.92,76.31,23.13,50.28,12.97,63.79
Karnataka,Kolar,2022,71.72,70.47,24.58,73.19,78.87,36.54,42.43
Rajasthan,Khairthal-Tijara,2020,67.74,23.91,82.58,29.23,85.36,87.77,61.01
Andhra Pradesh,Palnadu,2019,70.1,74.24,63.02,91.57,83.75,77.74,71.19
Chhattisgarh,Gaurela-Pendra-Marwahi,2024,59.29,50.66,97.15,66.07,84.21,23.4,64.36
Andhra Pradesh,Palnadu,2018,44.43,70.07,23.77,43.11,15.78,56.68,23.95
Maharashtra,Satara,2017,12.08,11.61,15.45,87.43,75.36,90.81,99.87
Goa,North Goa,2021,21.99,56.14,23.94,19.79,76.0,91.18,62.5
Gujarat,Valsad,2016,25.1,44.39,52.06,35.1,68.69,20.23,33.67
Odisha,Cuttack,2015,84.83,79.15,26.64,34.74,47.47,35.01,61.94
Uttar Pradesh,Meerut,2015,37.89,68.72,11.96,37.01,79.42,51.75,53.13
Bihar,Lakhisarai,2024,43.51,87.4,85.1,47.65,71.88,27.52,95.88
Haryana,Kaithal,2021,76.21,37.04,61.42,90.74,11.38,20.94,27.44
Mizoram,Hnahthial,2022,23.89,39.45,71.44,77.53,57.97,18.53,46.75
Odisha,Cuttack,2022,42.33,24.85,12.67,27.17,95.86,61.53,52.26
Odisha,Ganjam,2025,82.06,45.89,98.91,59.01,72.45,74.04,63.21
West Bengal,Murshidabad,2016,15.37,37.93,34.67,72.72,72.1,66.7,41.57
Manipur,Churachandpur,2022,78.57,85.19,34.86,80.77,49.29,90.42,56.62
Uttar Pradesh,Varanasi,2019,92.33,94.58,27.22,47.68,63.94,98.24,55.45
Karnataka,Mandya,2022,89.44,19.93,92.63,87.38,52.62,25.86,66.36
Maharashtra,Akola,2022,68.62,89.82,18.61,20.68,61.25,47.73,58.94
Karnataka,Haveri,2018,50.73,39.22,34.51,40.3,67.75,22.44,14.64
Andhra Pradesh,Krishna,2018,30.0,86.74,42.88,19.68,52.4,35.65,40.68
Gujarat,Anand,2017,20.28,89.89,12.37,59.9,55.8,49.27,45.08
Andhra Pradesh,East Godavari,2018,78.51,82.3,21.92,48.46,80.17,11.46,16.97
Maharashtra,Parbhani,2017,23.63,77.75,86.53,22.13,77.51,39.62,63.95
Telangana,Medchal-Malkajgiri,2025,61.51,54.06,42.23,59.85,66.26,81.18,29.45
Tamil Nadu,Pudukkottai,2021,16.82,50.34,49.97,92.86,13.23,41.3,71.53
Nagaland,Kohima,2025,65.8,17.92,92.34,46.49,30.55,58.24,80.36
Haryana,Panipat,2018,17.64,83.84,63.31,81.02,79.05,32.78,69.35
Gujarat,Devbhoomi Dwarka,2023,87.56,58.48,31.13,49.03,98.5,25.87,43.18
Tamil Nadu,Nagapattinam,2021,98.57,63.68,29.49,35.12,84.93,29.37,29.9
Meghalaya,East Garo Hills,2021,58.93,97.92,46.12,64.09,47.59,22.29,13.41
Punjab,Malerkotla,2016,57.54,70.26,24.26,47.91,60.84,55.37,59.07
Tamil Nadu,Pudukkottai,2019,27.45,56.99,60.7,64.24,84.18,18.05,79.88
Bihar,Madhubani,2021,35.87,87.16,23.34,42.31,35.18,85.27,59.31
Uttar Pradesh,Ambedkar Nagar,2024,62.51,81.0,67.82,71.74,85.45,67.28,42.8
West Bengal,Birbhum,2020,32.06,59.98,85.47,85.46,39.97,56.8,77.54
Tripura,Unakoti,2019,91.24,11.47,48.39,99.12,35.32,94.39,48.47
Uttar Pradesh,Siddharthnagar,2018,69.35,44.88,55.39,46.13,76.1,92.07,25.64
Kerala,Thrissur,2024,93.43,15.37,42.01,29.14,55.19,19.7,66.02
Arunachal Pradesh,Namsai,2016,32.58,67.37,82.71,52.43,93.09,64.17,60.17
Tamil Nadu,Nilgiris,2017,53.73,36.53,83.34,31.66,26.14,52.68,21.02
Telangana,Mahabubabad,2015,77.17,22.2,45.35,78.93,72.72,41.46,67.99
Uttar Pradesh,Ghaziabad,2019,70.12,33.76,43.06,71.9,64.97,97.58,35.75
Uttar Pradesh,Fatehpur,2015,61.51,64.85,30.88,62.81,17.58,74.46,28.42
Kerala,Malappuram,2025,46.68,84.8,84.98,51.46,84.48,11.12,83.71
Assam,Sonitpur,2024,47.64,48.15,21.22,61.91,83.39,80.5,61.06
Rajasthan,Bikaner,2016,31.76,68.11,66.72,19.77,79.23,17.65,51.68
Assam,Goalpara,2015,11.52,78.64,75.75,38.35,66.41,70.7,54.65
Chhattisgarh,Baloda Bazar,2019,98.14,10.56,41.73,79.98,80.38,26.44,44.86
Jharkhand,Koderma,2020,11.27,87.1,48.6,83.23,24.46,71.5,81.38
Jharkhand,Jamtara,2016,94.47,95.1,78.58,60.74,98.85,69.89,63.91
Uttar Pradesh,Pratapgarh,2017,78.85,21.53,98.47,57.06,95.8,98.72,32.5
Uttar Pradesh,Budaun,2023,18.39,90.94,65.17,99.71,54.01,72.18,39.82
Nagaland,Tseminyu,2024,22.95,58.55,95.88,48.44,63.27,13.22,15.16
Gujarat,Chhota Udepur,2023,56.9,75.91,22.64,41.2,49.13,98.19,99.8
Uttar Pradesh,Mathura,2019,72.86,96.86,93.69,80.48,71.95,78.78,69.37
Bihar,East Champaran,2015,25.26,57.53,90.96,89.45,78.76,38.98,10.69
Karnataka,Vijayanagara,2019,39.92,83.27,38.32,45.08,12.09,76.9,84.57
Uttar Pradesh,Amroha,2016,57.21,43.46,50.16,55.98,92.81,96.82,83.92
Kerala,Thiruvananthapuram,2023,28.19,97.38,81.76,70.31,45.57,26.38,86.49
Maharashtra,Dhule,2021,46.12,16.05,71.93,95.36,33.78,88.1,74.64
Chhattisgarh,Durg,2016,46.47,32.12,35.07,37.61,35.75,37.16,63.5
Gujarat,Morbi,2021,96.45,14.22,43.23,63.17,30.21,34.87,48.51
Odisha,Sundargarh,2015,41.95,30.3,61.33,63.86,10.21,85.61,88.76
Andhra Pradesh,Kurnool,2015,90.11,46.35,97.86,34.84,41.52,67.2,32.77
Uttar Pradesh,Etawah,2022,34.07,15.32,12.05,68.69,26.31,42.16,85.41
Gujarat,Dang,2019,51.91,18.68,76.76,66.18,96.28,11.0,28.98
Andhra Pradesh,Bapatla,2022,31.69,53.19,40.03,94.07,15.24,29.0,25.3
