state,district,year,metro_length,urban_projects,smart_city_score,traffic_index,public_transport_score,road_development,urban_population
Manipur,Kangpokpi,2019,66.33,85.07,18.46,30.99,30.81,63.71,76.35
Manipur,Kamjong,2022,14.78,83.99,41.74,69.96,44.57,84.01,38.75
Chhattisgarh,Janjgir-Champa,2019,57.13,96.29,25.96,37.46,21.92,48.69,55.69
Tripura,Khowai,2015,13.55,18.93,14.81,50.52,91.97,93.68,75.86
Uttar Pradesh,Bahraich,2015,74.55,83.2,63.87,33.78,13.23,80.92,19.26
Nagaland,Mon,2015,71.82,45.85,26.96,68.94,37.71,85.47,55.71
Andhra Pradesh,Krishna,2022,34.05,96.35,22.73,89.21,33.45,26.52,83.01
Maharashtra,Hingoli,2020,65.43,15.42,28.5,75.9,28.7,58.64,57.04
Chhattisgarh,Kondagaon,2022,10.74,63.03,73.42,48.03,57.9,58.44,49.83
Kerala,Malappuram,2025,12.91,20.05,71.21,50.29,22.06,45.63,71.06
Uttar Pradesh,Chitrakoot,2017,91.5,64.11,68.73,47.25,24.91,53.59,88.27
Assam,Kamrup,2015,91.34,72.17,68.5,54.14,93.45,10.27,97.59
Uttar Pradesh,Kannauj,2025,53.93,86.62,53.38,10.97,41.29,33.5,81.02
Madhya Pradesh,Panna,2017,33.92,92.27,11.5,41.57,42.08,34.67,53.89
Telangana,Yadadri Bhuvanagiri,2016,36.15,43.81,11.76,22.73,98.17,94.06,63.67
Arunachal Pradesh,Lepa Rada,2020,45.26,86.79,60.33,68.39,10.64,36.6,49.27
Nagaland,Kiphire,2015,84.41,42.19,41.42,24.2,99.41,95.45,65.83
Rajasthan,Bundi,2022,54.11,19.14,82.3,31.05,61.68,92.63,82.6
Uttar Pradesh,Pilibhit,2020,24.34,76.5,91.74,87.9,30.77,63.14,32.11
Punjab,Tarn Taran,2016,88.49,94.29,17.76,10.97,10.19,53.0,32.87
Rajasthan,Baran,2021,99.87,30.17,63.48,44.49,17.51,49.26,40.98
Rajasthan,Didwana-Kuchaman,2018,43.96,61.49,27.01,31.16,47.98,14.55,54.72
Nagaland,Longleng,2018,49.56,87.47,35.22,69.77,39.79,71.66,33.72
Chhattisgarh,Mungeli,2021,16.07,22.72,25.39,46.21,20.73,74.42,20.46
Tripura,Unakoti,2016,88.05,36.67,48.9,96.26,35.63,45.04,25.89
Rajasthan,Sanchore,2023,15.91,51.33,59.33,25.33,33.49,36.61,48.43
Odisha,Dhenkanal,2017,11.73,15.64,52.63,47.96,60.13,20.03,67.46
Telangana,Peddapalli,2020,88.61,55.53,51.5,23.16,39.71,92.06,44.2
Odisha,Malkangiri,2022,28.3,53.75,13.0,23.51,72.36,42.56,88.31
Karnataka,Mysuru,2024,15.18,54.79,71.97,35.83,55.36,33.13,85.92
Tamil Nadu,Viluppuram,2016,73.86,97.28,48.47,51.16,86.0,60.97,72.68
Karnataka,Tumakuru,2016,39.04,36.32,92.4,27.86,96.09,82.5,65.17
Uttar Pradesh,Amethi,2023,11.76,88.43,70.62,72.25,98.49,90.99,81.42
Odisha,Kendujhar (Keonjhar),2025,96.66,11.05,18.22,32.19,51.04,24.97,29.71
Arunachal Pradesh,Kurung Kumey,2018,87.98,83.92,86.79,71.11,60.57,54.99,28.58
Jharkhand,Khunti,2023,67.72,21.21,38.99,67.42,30.28,40.27,12.04
Andhra Pradesh,NTR,2020,64.79,49.99,68.64,65.89,79.33,64.57,32.36
Karnataka,Yadgir,2023,73.23,11.67,50.01,31.6,66.58,47.39,43.44
Kerala,Palakkad,2018,87.65,82.17,87.3,37.58,87.88,75.43,33.38
Assam,Golaghat,2023,98.06,83.22,46.27,96.34,22.99,84.99,98.8
Uttar Pradesh,Rae Bareli,2020,37.65,26.31,70.15,69.07,77.9,68.51,94.38
Rajasthan,Pratapgarh,2017,29.4,95.92,91.56,48.33,51.69,56.17,66.27
Punjab,Fazilka,2024,55.5,85.35,57.73,79.97,32.66,81.41,92.85
Maharashtra,Ratnagiri,2016,43.68,70.4,86.09,29.87,70.61,13.83,16.41
Rajasthan,Kekri,2023,90.97,77.44,83.32,37.31,58.47,96.39,73.68
Mizoram,Mamit,2025,81.19,52.9,96.16,28.55,53.91,21.95,68.01
Maharashtra,Mumbai Suburban,2023,14.6,50.04,61.81,44.46,23.63,21.91,45.08
Haryana,Bhiwani,2018,39.44,57.34,89.52,39.71,99.3,23.86,37.98
Manipur,Kakching,2025,17.31,62.11,57.08,31.56,68.75,69.4,69.53
Arunachal Pradesh,Lower Subansiri,2025,97.86,55.62,25.9,32.37,93.15,65.14,30.09
Rajasthan,Bharatpur,2015,36.71,23.43,32.13,33.29,49.51,22.75,17.91
Uttar Pradesh,Hardoi,2023,19.22,74.29,36.58,11.85,84.52,68.56,13.47
West Bengal,Purulia,2025,36.64,78.81,44.01,89.95,20.98,17.62,43.29
Sikkim,Namchi,2015,49.03,15.04,26.79,61.3,69.46,42.83,14.13
Rajasthan,Pali,2015,25.49,10.55,77.84,43.09,73.18,85.39,31.26
Tamil Nadu,Tirupathur,2018,61.9,49.85,79.99,38.65,71.83,43.24,67.3
Chhattisgarh,Surguja,2025,80.85,72.22,66.67,86.86,85.97,28.1,22.89
Odisha,Ganjam,2019,56.79,28.79,85.31,49.04,18.29,90.14,66.12
Uttar Pradesh,Jhansi,2023,42.44,80.08,73.88,42.75,26.5,91.81,89.52
Telangana,Wanaparthy,2021,78.17,46.16,15.22,47.55,63.54,85.32,46.72
Rajasthan,Salumbar,2020,60.06,25.15,26.94,67.35,39.8,83.46,93.07
Rajasthan,Balotra,2016,79.18,58.42,77.46,71.45,74.66,17.25,47.08
Andhra Pradesh,Vizianagaram,2017,74.04,65.84,61.62,84.97,60.19,14.71,92.34
Uttar Pradesh,Shravasti,2018,88.18,51.31,53.41,25.56,65.82,27.6,74.53
Maharashtra,Dhule,2016,80.04,45.68,37.18,34.51,74.63,61.77,59.51
Arunachal Pradesh,Kra Daadi,2017,11.19,72.01,61.69,18.7,10.27,22.02,89.17
Tamil Nadu,Nilgiris,2019,66.58,60.07,71.76,85.01,86.15,48.16,68.33
Maharashtra,Hingoli,2024,75.25,29.7,13.64,17.9,89.18,91.66,52.64
Andhra Pradesh,Sri Potti Sriramulu Nellore,2016,91.91,78.37,52.22,33.97,65.11,75.42,42.69
Odisha,Angul,2015,77.22,76.21,64.87,29.03,38.28,59.5,52.07
Karnataka,Uttara Kannada,2021,60.22,21.16,24.47,81.93,29.09,18.13,48.54
Madhya Pradesh,Sidhi,2023,48.48,80.8,15.3,20.65,30.48,75.69,42.46
Arunachal Pradesh,Anjaw,2022,28.56,56.44,77.76,66.39,46.15,20.95,69.76
Telangana,Bhadradri Kothagudem,2025,57.99,51.02,74.25,42.94,45.7,42.54,33.07
Odisha,Kalahandi,2024,35.33,15.12,66.95,68.42,13.06,52.23,86.77
Assam,West Karbi Anglong,2019,52.55,18.56,69.83,50.73,54.14,18.79,12.82
Uttar Pradesh,Lucknow,2017,16.74,54.91,11.39,20.0,62.9,16.83,86.91
Maharashtra,Gadchiroli,2025,76.29,59.66,24.58,86.17,90.4,75.01,62.4
Tripura,Gomati,2021,20.74,96.79,79.33,31.11,99.63,23.82,18.12
Gujarat,Anand,2022,97.36,62.96,28.95,66.84,57.96,82.7,57.67
Gujarat,Patan,2018,75.23,48.05,63.46,72.67,75.37,40.98,98.65
Punjab,Ludhiana,2019,21.51,55.24,50.56,97.75,97.32,19.2,22.36
Bihar,Darbhanga,2015,81.56,42.11,43.51,14.5,59.16,20.76,44.0
Arunachal Pradesh,Leparada,2015,70.87,82.35,58.56,54.83,48.95,78.75,66.75
Uttarakhand,Nainital,2020,83.83,28.48,83.99,93.78,32.03,84.88,81.29
Telangana,Hanamkonda,2020,35.57,96.61,16.79,70.37,79.1,89.59,99.72
Bihar,Saran,2022,82.83,70.09,88.08,96.37,52.22,72.81,82.97
Chhattisgarh,Gariaband,2016,51.49,12.48,50.92,95.72,40.74,97.41,15.57
Haryana,Ambala,2023,13.54,23.78,56.18,17.36,83.62,11.96,52.24
Telangana,Sangareddy,2022,42.27,67.36,19.16,45.79,41.18,33.12,71.03
Rajasthan,Salumbar,2021,11.5,70.97,33.18,73.59,21.19,74.87,90.8
Kerala,Thiruvananthapuram,2024,37.12,93.86,69.52,10.68,88.46,22.41,15.39
Meghalaya,East Garo Hills,2021,82.39,85.38,52.24,98.34,47.77,93.61,55.61
Assam,Udalguri,2016,34.46,66.16,31.44,10.85,88.27,12.74,85.73
Rajasthan,Sanchore,2015,88.83,17.26,60.29,89.13,78.31,82.43,65.52
Telangana,Peddapalli,2020,78.19,71.33,74.99,39.07,64.08,71.44,82.57
Bihar,Gopalganj,2019,62.33,63.36,50.27,98.86,95.21,45.76,22.43
Karnataka,Bengaluru Rural,2018,73.39,90.83,96.13,64.28,34.59,60.94,30.64
Telangana,Kamareddy,2021,19.22,56.86,65.15,81.74,86.79,78.07,59.55
Andhra Pradesh,East Godavari,2015,80.36,61.19,40.2,36.66,75.73,20.74,67.74
Rajasthan,Gangapur City,2022,68.8,13.29,98.94,28.39,68.37,18.58,33.87
Uttar Pradesh,Mirzapur,2023,78.57,76.52,11.47,72.83,14.11,76.38,72.41
Gujarat,Porbandar,2019,87.21,62.66,16.56,72.02,45.91,10.23,93.02
Assam,Karimganj,2017,50.82,17.73,12.9,94.27,83.23,34.69,40.58
Tamil Nadu,Ranipet,2023,36.0,59.74,50.08,95.02,46.12,13.93,90.97
Bihar,Jamui,2017,13.88,96.27,96.61,13.7,62.9,81.15,49.05
Madhya Pradesh,Balaghat,2017,52.05,11.05,18.96,37.12,29.41,52.27,63.15
Uttarakhand,Champawat,2024,25.51,98.38,80.61,20.87,31.14,39.27,83.2
Madhya Pradesh,Vidisha,2017,17.86,33.26,53.81,42.3,55.33,80.74,84.79
Mizoram,Serchhip,2015,69.85,78.83,28.35,41.3,84.89,42.26,74.99
Bihar,Araria,2015,82.55,17.97,87.58,24.42,86.92,84.93,59.39
Chhattisgarh,Korea,2025,56.44,81.73,33.2,10.16,48.16,20.33,58.62
Rajasthan,Sikar,2021,34.75,52.54,88.86,96.32,24.82,46.04,77.97
Rajasthan,Rajsamand,2020,93.58,96.29,14.4,37.83,90.66,80.5,80.63
Gujarat,Patan,2018,70.03,95.6,77.86,43.36,11.4,71.89,64.66
Uttar Pradesh,Shravasti,2020,92.03,64.17,16.42,86.63,38.63,54.23,92.23
Karnataka,Mysuru,2021,39.8,34.56,82.73,16.73,27.88,31.04,75.86
Maharashtra,Parbhani,2016,95.52,60.36,99.06,30.75,68.21,51.01,50.37
Arunachal Pradesh,Namsai,2023,10.4,34.09,49.3,69.77,62.47,93.57,20.2
Bihar,Begusarai,2018,33.09,60.4,61.96,40.24,80.36,61.99,69.5
Tamil Nadu,Cuddalore,2024,77.16,36.44,33.11,69.46,54.53,97.16,89.36
Assam,Morigaon,2022,72.84,34.78,31.62,11.73,70.36,29.2,95.37
Tripura,South Tripura,2020,77.36,46.86,13.48,10.68,52.85,81.62,12.4
Madhya Pradesh,Barwani,2022,88.95,61.81,14.0,23.34,20.73,54.1,15.96
Karnataka,Koppal,2016,31.96,84.08,89.67,19.23,62.92,96.96,25.18
Odisha,Boudh,2016,85.5,91.31,61.44,57.58,68.61,80.9,31.29
Manipur,Senapati,2015,51.77,75.4,72.16,32.81,57.43,39.23,41.44
Karnataka,Kodagu,2021,25.21,48.5,17.75,30.14,84.55,97.28,49.99
Uttar Pradesh,Fatehpur,2021,16.55,58.07,91.0,41.95,56.64,80.36,94.37
Madhya Pradesh,Vidisha,2016,59.93,71.49,95.14,74.74,12.7,37.22,69.04
Telangana,Jagtial,2020,97.65,13.0,68.36,47.79,40.47,38.94,87.1
Madhya Pradesh,Mandsaur,2021,55.46,83.3,83.7,23.43,18.07,65.81,38.24
Bihar,Araria,2019,21.44,60.69,22.95,75.77,25.65,43.19,67.41
Punjab,Amritsar,2020,94.18,33.96,70.03,79.22,99.95,17.58,85.84
Haryana,Karnal,2015,67.3,91.28,75.75,96.83,22.72,12.8,57.98
West Bengal,South 24 Parganas,2025,56.24,46.66,28.85,54.43,17.51,27.38,60.8
Madhya Pradesh,Morena,2023,35.57,94.77,66.12,19.88,19.57,86.48,27.95
Tamil Nadu,Kallakurichi,2020,39.77,90.76,88.15,11.1,37.99,56.21,97.31
Chhattisgarh,Baloda Bazar,2015,10.45,20.99,50.95,31.18,96.48,58.23,48.22
Haryana,Ambala,2017,14.39,84.68,62.62,48.5,46.83,20.82,19.34
Chhattisgarh,Durg,2025,36.19,76.93,48.12,76.36,92.07,62.75,55.2
Tamil Nadu,Tiruppur,2023,87.36,90.58,66.83,96.41,70.89,41.88,67.71
Uttar Pradesh,Hardoi,2021,63.69,31.73,29.95,42.25,64.77,72.22,42.57
Manipur,Chandel,2020,20.08,63.64,22.54,55.7,32.94,38.66,12.84
West Bengal,Nadia,2018,31.43,87.22,65.85,32.7,85.87,19.55,79.71
Tamil Nadu,Tiruppur,2016,79.95,31.56,80.63,32.2,38.03,18.41,74.79
Telangana,Medak,2021,48.84,55.79,16.53,20.01,49.93,96.26,14.38
Uttar Pradesh,Budaun,2020,93.06,39.55,19.79,41.91,98.82,55.16,35.3
Maharashtra,Nashik,2018,12.39,64.18,61.34,74.54,45.96,65.17,16.35
Rajasthan,Sikar,2023,53.44,70.96,78.16,46.15,82.94,39.65,39.67
Odisha,Cuttack,2016,39.72,31.08,67.96,66.46,24.4,89.92,94.88
Himachal Pradesh,Chamba,2021,79.52,72.89,26.35,46.01,63.6,50.57,49.72
West Bengal,Malda,2024,49.38,25.03,81.81,26.99,17.45,93.73,92.53
Karnataka,Udupi,2023,70.33,50.96,32.59,27.32,84.99,47.29,16.37
Bihar,Araria,2022,46.29,14.4,32.05,86.43,98.01,30.01,83.14
Rajasthan,Sikar,2018,82.11,85.23,93.28,55.4,57.05,46.62,90.23
Bihar,Bhojpur,2023,87.63,45.21,42.63,36.98,79.28,77.85,26.78
Telangana,Bhadradri Kothagudem,2015,62.57,25.63,29.51,97.15,66.38,20.6,23.75
Mizoram,Champhai,2019,12.14,47.34,18.4,26.21,41.38,24.08,57.05
Maharashtra,Palghar,2019,44.1,22.89,66.79,82.94,24.16,24.81,32.37
Arunachal Pradesh,East Kameng,2017,73.37,70.74,39.26,99.81,34.52,63.06,73.02
Karnataka,Kodagu,2021,76.2,87.19,49.32,23.23,39.97,20.36,23.95
Madhya Pradesh,Sehore,2024,40.94,49.12,29.09,43.56,54.18,67.51,55.21
Telangana,Karimnagar,2024,56.33,67.28,63.84,35.25,95.42,23.19,47.31
Karnataka,Ballari,2017,77.47,52.69,41.49,43.13,42.37,95.32,81.13
Maharashtra,Jalgaon,2019,92.44,86.82,68.26,34.96,69.46,86.69,74.45
Andhra Pradesh,Kakinada,2018,42.57,64.45,61.59,26.12,13.47,84.2,42.54
Rajasthan,Baran,2024,41.49,85.86,55.93,86.8,78.26,18.55,74.82
Arunachal Pradesh,Tawang,2016,58.47,37.61,86.12,73.3,21.91,14.81,30.45
Tamil Nadu,Thiruvarur,2019,41.08,41.7,92.4,44.28,11.79,98.43,42.62
Jharkhand,Dhanbad,2022,54.06,20.83,57.58,75.48,31.66,15.85,90.17
Madhya Pradesh,Khargone,2019,41.09,85.56,98.52,35.68,16.51,82.59,95.0
Uttar Pradesh,Rae Bareli,2018,56.21,95.06,58.85,73.44,74.46,19.71,91.86
Maharashtra,Sindhudurg,2016,81.68,73.12,87.75,41.5,21.96,75.5,98.85
Haryana,Karnal,2020,31.9,77.3,80.07,72.35,73.7,93.96,85.02
Uttar Pradesh,Maharajganj,2020,33.6,91.36,32.94,40.0,98.64,80.88,68.65
Karnataka,Uttara Kannada,2019,30.05,92.17,48.3,61.39,72.68,47.74,18.02
Karnataka,Mandya,2018,47.74,68.16,54.96,31.97,72.12,72.54,50.17
Meghalaya,East Khasi Hills,2022,85.69,28.97,48.67,85.15,85.1,85.62,28.96
Maharashtra,Hingoli,2022,13.33,95.96,72.37,80.64,64.09,73.62,59.02
Uttar Pradesh,Etawah,2016,70.65,59.23,71.18,10.67,26.32,29.12,58.21
Andhra Pradesh,Bapatla,2025,49.57,70.35,98.39,48.79,61.89,25.43,76.4
Odisha,Dhenkanal,2020,68.48,96.8,35.05,79.71,49.91,92.77,63.79
Madhya Pradesh,Indore,2015,16.9,51.99,42.18,34.74,94.33,71.92,46.54
Haryana,Jhajjar,2022,64.82,15.76,36.29,95.44,60.3,98.92,14.18
Tamil Nadu,Thoothukudi,2017,21.36,13.94,71.51,72.43,60.03,85.02,48.26
Madhya Pradesh,Maihar,2020,18.74,45.4,13.18,52.36,67.92,21.04,55.2
Nagaland,Phek,2023,25.14,68.2,89.44,95.82,45.06,66.63,88.52
Mizoram,Hnahthial,2022,78.52,42.61,30.65,60.0,90.66,53.71,79.77
Assam,Charaideo,2023,97.28,72.09,84.01,64.37,67.98,90.44,76.32
West Bengal,Howrah,2017,98.82,39.5,62.35,99.47,40.91,96.47,32.67
Telangana,Mulugu,2018,17.39,19.92,21.02,18.08,78.75,87.84,48.54
Uttar Pradesh,Amroha,2019,39.84,71.46,34.63,14.44,72.34,95.08,24.21
Karnataka,Dakshina Kannada,2017,20.36,70.74,40.18,87.79,83.03,45.08,99.82
Bihar,Saharsa,2016,64.51,39.49,76.4,73.48,44.06,14.21,96.97
Uttar Pradesh,Farrukhabad,2018,61.53,90.34,19.99,13.51,12.71,75.5,80.42
Jharkhand,Ramgarh,2015,78.56,79.47,46.66,69.24,53.32,73.25,40.38
Arunachal Pradesh,Papum Pare,2022,55.06,25.6,56.24,75.19,63.43,45.02,71.83
Karnataka,Tumakuru,2018,38.97,16.66,51.74,84.04,92.58,31.89,44.67
Bihar,Arwal,2021,56.18,68.19,50.08,23.17,25.94,36.55,17.27
Rajasthan,Bhilwara,2019,38.67,63.68,44.15,18.0,72.78,14.74,80.97
West Bengal,Jhargram,2023,48.9,77.48,14.31,48.29,16.09,84.32,58.22
Gujarat,Dang,2019,98.57,37.7,80.56,36.29,18.2,37.74,85.09
Karnataka,Chamarajanagar,2021,38.71,37.81,16.32,88.99,60.7,34.5,47.56
Uttarakhand,Rudraprayag,2018,31.28,35.68,82.98,63.71,63.18,65.98,79.02
Jharkhand,Jamtara,2017,84.8,88.58,61.05,93.11,93.4,84.6,93.84
Rajasthan,Neem Ka Thana,2025,81.97,11.17,69.78,34.75,28.1,88.38,55.25
Arunachal Pradesh,Pakke-Kessang,2023,37.32,21.81,81.73,67.7,87.86,64.35,66.22
Uttar Pradesh,Ghazipur,2021,96.86,34.01,26.95,63.47,49.93,25.29,94.41
Bihar,Patna,2020,80.94,64.39,84.82,24.31,58.52,49.17,89.55
Uttar Pradesh,Prayagraj,2019,76.95,36.54,30.34,25.89,27.5,90.31,95.6
Telangana,Warangal,2018,30.25,84.75,30.74,77.23,94.77,76.28,22.07
Telangana,Nagarkurnool,2024,68.06,93.71,38.79,10.05,25.32,53.41,53.83
Tamil Nadu,Nilgiris,2022,78.07,77.84,26.63,67.49,10.01,41.8,19.08
Bihar,Munger,2019,61.02,83.49,59.3,68.69,82.98,82.92,95.85
Gujarat,Porbandar,2016,46.03,91.8,78.93,46.79,97.44,38.51,83.18
Arunachal Pradesh,West Siang,2021,92.13,40.39,36.01,69.97,19.92,38.49,47.53
Manipur,Tamenglong,2023,30.26,90.62,54.33,53.15,71.16,99.63,72.77
Manipur,Imphal West,2015,53.01,61.99,55.05,73.65,87.67,37.63,56.22
Telangana,Sangareddy,2024,61.29,37.01,52.55,53.72,96.31,43.17,94.37
Madhya Pradesh,Chhatarpur,2024,37.21,14.45,85.73,88.24,93.36,66.22,83.81
Manipur,Imphal East,2018,48.67,34.15,87.84,14.46,28.04,84.31,43.43
Tamil Nadu,Cuddalore,2017,76.25,56.82,95.98,26.12,97.69,96.53,48.6
Uttar Pradesh,Moradabad,2021,30.52,89.23,50.74,55.19,99.72,48.56,42.99
Maharashtra,Hingoli,2024,39.6,38.08,80.41,96.49,75.95,92.09,86.7
Nagaland,Kiphire,2023,14.49,72.17,92.07,81.67,23.97,45.16,18.84
Uttar Pradesh,Ballia,2016,27.5,95.01,78.29,64.27,30.37,60.75,34.47
Bihar,Nawada,2022,66.98,69.43,71.7,69.3,95.58,93.97,41.53
Himachal Pradesh,Una,2017,29.6,47.43,89.58,90.28,70.46,75.64,80.85
Telangana,Mahabubnagar,2017,16.81,74.87,20.45,26.92,49.63,27.28,71.14
Assam,Cachar,2023,99.78,27.33,95.94,76.08,15.28,10.1,15.6
Punjab,Jalandhar,2018,83.77,91.74,64.36,22.5,85.27,31.55,73.5
Nagaland,Tuensang,2015,33.57,68.87,81.07,41.83,12.38,83.18,59.32
Rajasthan,Baran,2025,58.89,46.41,49.64,91.89,23.82,59.29,87.75
Uttar Pradesh,Kanpur Nagar,2024,98.44,28.24,45.82,48.86,11.75,24.18,38.38
Uttar Pradesh,Jhansi,2023,90.83,18.42,22.03,34.29,97.04,74.77,77.05
Arunachal Pradesh,Tawang,2018,99.96,29.71,31.5,86.16,40.76,76.21,64.76
Himachal Pradesh,Chamba,2018,26.2,47.77,41.91,30.52,94.99,28.02,48.4
Madhya Pradesh,Shahdol,2016,66.43,80.2,57.67,70.48,32.41,99.25,74.57
Kerala,Alappuzha,2020,22.39,73.87,91.98,73.25,29.08,42.2,84.27
Gujarat,Navsari,2018,67.85,63.45,55.68,88.41,91.06,64.34,52.05
Assam,Lakhimpur,2025,77.0,98.4,68.0,43.71,36.66,56.31,44.78
Punjab,Tarn Taran,2018,28.44,64.35,19.7,65.23,99.41,13.42,94.25
Maharashtra,Solapur,2017,78.65,28.81,40.81,32.5,79.68,34.36,92.31
Jharkhand,Latehar,2023,87.53,97.47,27.35,12.7,51.68,98.79,14.29
Uttar Pradesh,Ayodhya,2025,54.71,24.94,70.53,83.82,75.72,17.37,38.18
Gujarat,Botad,2015,79.65,17.8,63.64,16.93,79.06,85.97,56.65
Assam,Morigaon,2021,88.66,52.43,14.54,32.21,47.78,76.59,91.46
Haryana,Hisar,2016,65.4,92.85,42.86,52.38,19.06,86.79,91.95
Tripura,Gomati,2021,23.09,21.78,43.69,96.5,90.77,79.63,76.17
Gujarat,Porbandar,2017,42.69,76.04,29.54,48.15,33.48,71.0,75.46
Rajasthan,Gangapur City,2016,92.07,46.15,56.8,93.78,44.34,57.8,81.22
Rajasthan,Kekri,2020,42.28,43.66,48.36,18.43,77.77,33.83,34.68
Chhattisgarh,Durg,2018,13.43,99.48,36.5,61.59,26.14,48.57,94.1
Uttarakhand,Champawat,2024,27.64,11.42,37.07,97.63,92.08,96.62,59.5
Tamil Nadu,Namakkal,2018,24.1,20.88,75.39,35.41,30.15,16.09,49.6
Maharashtra,Bhandara,2019,90.34,81.33,84.48,51.96,61.99,64.46,64.26
Assam,Sivasagar,2016,84.46,46.92,94.34,89.39,27.35,63.52,62.47
Karnataka,Vijayanagara,2024,17.23,41.78,96.7,96.76,86.47,61.07,30.17
Bihar,Patna,2022,93.64,59.19,10.24,51.61,60.7,52.64,49.72
Odisha,Jharsuguda,2023,96.44,23.32,23.26,63.87,93.3,79.74,74.52
Maharashtra,Osmanabad (Dharashiv),2025,89.27,86.55,30.58,82.23,72.0,78.77,87.84
Uttar Pradesh,Jalaun,2023,60.01,97.57,47.0,23.77,23.19,64.35,86.88
Gujarat,Devbhoomi Dwarka,2021,10.67,85.11,53.5,21.76,84.98,14.82,69.85
Rajasthan,Salumbar,2019,61.95,20.59,27.44,15.34,15.91,73.11,12.7
Maharashtra,Jalgaon,2018,61.06,79.01,21.91,26.87,28.09,23.36,30.9
Andhra Pradesh,East Godavari,2024,21.83,55.48,17.41,51.84,98.07,92.25,72.46
Maharashtra,Washim,2022,13.16,89.9,38.49,71.01,43.01,62.27,73.9
Telangana,Bhadradri Kothagudem,2015,57.75,24.01,54.73,78.94,96.83,15.46,96.39
Uttar Pradesh,Siddharthnagar,2025,99.13,18.66,36.44,31.16,61.91,31.32,59.38
Odisha,Angul,2015,88.06,78.03,47.49,15.61,92.13,31.25,31.52
Tripura,Unakoti,2024,47.36,76.24,20.41,33.97,90.75,21.79,41.45
Sikkim,Soreng,2024,70.72,55.86,37.28,99.57,56.09,40.0,97.97
Rajasthan,Bundi,2015,96.27,65.67,65.31,77.18,38.03,23.37,84.8
Karnataka,Udupi,2023,80.39,77.86,87.1,31.16,76.21,96.36,31.13
Tamil Nadu,Dindigul,2016,88.88,55.61,61.08,21.22,68.65,98.69,14.33
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2015,77.31,73.29,84.64,95.73,37.12,55.51,46.56
Uttar Pradesh,Azamgarh,2023,54.18,81.7,97.05,73.26,58.18,78.37,99.12
West Bengal,South 24 Parganas,2020,23.81,45.77,90.23,13.39,49.3,58.09,82.65
Madhya Pradesh,Tikamgarh,2016,59.1,79.34,59.01,52.78,87.31,81.12,56.08
Punjab,Ludhiana,2015,28.36,69.14,48.72,27.81,41.6,27.97,60.78
Rajasthan,Ajmer,2024,67.28,31.01,93.11,61.9,36.08,37.43,81.38
Odisha,Sambalpur,2020,91.69,20.39,95.85,19.55,67.15,59.77,61.54
Maharashtra,Pune,2015,92.84,65.26,10.71,75.82,70.9,80.65,28.44
Chhattisgarh,Kabirdham,2025,89.02,10.52,93.7,24.11,38.03,44.56,21.9
Chhattisgarh,Balrampur,2021,14.61,18.09,32.2,66.01,82.72,25.2,13.46
Manipur,Bishnupur,2020,13.75,72.13,53.7,72.33,83.53,88.57,36.5
Jharkhand,Dhanbad,2020,95.34,15.61,54.72,84.04,40.24,49.87,96.24
Uttar Pradesh,Kushinagar,2024,88.05,57.13,19.67,48.83,24.44,36.95,61.96
Maharashtra,Yavatmal,2015,28.25,68.9,74.76,48.14,51.89,74.33,99.78
Arunachal Pradesh,Longding,2016,10.33,29.54,57.22,15.42,78.75,81.77,83.02
Gujarat,Bhavnagar,2022,37.97,48.56,92.02,21.11,10.19,96.03,41.61
Karnataka,Chikkamagaluru,2018,73.2,66.89,63.11,50.3,64.54,75.0,34.7
Tamil Nadu,Theni,2018,70.4,82.89,53.3,32.59,21.11,33.99,46.29
Telangana,Ranga Reddy,2025,63.22,48.43,63.35,46.87,43.18,31.22,25.75
Uttar Pradesh,Mathura,2025,26.29,26.26,38.04,52.96,97.88,86.14,25.09
Haryana,Bhiwani,2022,98.21,17.03,74.39,19.36,45.73,38.4,65.39
Nagaland,Mokokchung,2022,81.52,16.76,90.87,28.31,54.16,57.5,79.93
West Bengal,Howrah,2019,95.11,13.9,21.41,29.06,16.38,69.42,80.79
Tamil Nadu,Tirunelveli,2022,84.31,28.53,12.19,59.94,99.03,89.17,67.2
Chhattisgarh,Sakti,2018,37.29,65.87,86.94,60.46,31.84,92.5,19.12
Bihar,West Champaran,2023,84.33,20.2,82.11,90.69,53.18,43.22,91.45
Manipur,Jiribam,2023,60.2,81.06,94.03,14.18,80.19,30.36,57.92
Punjab,Ludhiana,2022,31.53,58.59,78.14,13.95,76.86,68.49,20.54
Odisha,Sambalpur,2021,49.46,46.2,55.45,87.5,60.13,47.71,12.27
Uttar Pradesh,Bareilly,2015,31.49,24.53,97.73,76.33,12.28,20.48,52.82
Bihar,Khagaria,2018,26.13,30.75,84.65,66.04,50.71,32.4,30.85
Manipur,Tengnoupal,2017,28.92,52.31,46.6,90.27,85.09,52.63,44.02
Madhya Pradesh,Ratlam,2016,35.86,12.4,85.14,13.69,73.94,10.33,91.6
Jharkhand,Simdega,2020,29.42,91.13,17.85,98.19,54.04,62.53,32.02
Haryana,Charkhi Dadri,2017,62.03,55.29,64.11,90.35,54.72,49.38,85.17
Uttar Pradesh,Shamli,2016,62.02,30.84,62.72,53.26,12.2,46.01,35.39
