state,district,year,exports,imports,trade_balance,foreign_investment,tariff_rate,trade_partners,export_growth
Gujarat,Dahod,2020,94.18,76.59,82.87,49.15,98.59,32.7,65.77
Telangana,Mancherial,2017,34.69,20.96,89.62,57.28,47.18,25.51,91.26
Maharashtra,Gadchiroli,2022,53.36,58.81,72.62,93.33,41.38,31.78,96.72
Telangana,Nalgonda,2019,89.35,52.4,52.19,68.94,32.67,92.7,89.69
Madhya Pradesh,Shahdol,2025,91.71,19.28,26.35,14.25,43.8,89.17,86.27
Arunachal Pradesh,East Kameng,2016,44.49,13.14,56.84,29.39,87.54,64.3,99.69
Maharashtra,Nashik,2021,26.27,97.33,33.07,73.77,95.59,95.3,89.14
Andhra Pradesh,Anantapur,2025,86.95,88.02,95.92,30.62,26.32,59.1,88.84
Chhattisgarh,Surajpur,2018,44.74,63.63,43.92,28.25,80.28,83.53,90.69
Bihar,Begusarai,2020,96.0,15.25,45.16,85.62,43.78,23.14,49.39
Chhattisgarh,Kanker,2025,85.85,58.94,25.73,73.79,72.5,68.18,42.95
Tamil Nadu,Virudhunagar,2018,59.47,13.22,59.5,66.72,63.95,43.93,36.56
Madhya Pradesh,Raisen,2021,39.94,84.75,11.85,11.92,54.78,79.22,42.79
Telangana,Suryapet,2021,44.62,27.67,18.34,47.0,27.21,75.93,86.53
Manipur,Kangpokpi,2017,82.64,92.38,27.92,19.81,50.86,55.49,75.0
Karnataka,Chikkamagaluru,2023,71.16,36.5,41.53,97.38,23.4,13.41,41.41
Andhra Pradesh,NTR,2025,83.24,62.81,76.27,64.34,48.55,81.14,80.48
Maharashtra,Thane,2017,68.81,83.73,80.73,14.57,86.95,46.45,88.72
Jharkhand,Hazaribagh,2017,99.05,90.22,68.98,61.9,82.35,46.6,66.38
Gujarat,Amreli,2021,95.2,50.52,78.69,94.95,25.0,77.44,82.25
Jharkhand,Sahebganj,2020,81.75,64.59,26.01,61.04,24.2,26.0,59.38
Jharkhand,Koderma,2023,82.93,37.39,74.32,55.17,58.9,75.47,43.1
Uttar Pradesh,Gonda,2023,67.48,56.47,67.85,94.94,15.6,39.04,29.61
Manipur,Kangpokpi,2022,33.49,76.29,48.95,42.12,50.04,23.09,81.56
West Bengal,Darjeeling,2023,76.26,95.11,90.09,65.21,63.52,11.04,47.52
Telangana,Khammam,2019,38.45,27.48,29.24,76.43,65.29,44.52,55.56
Gujarat,Porbandar,2019,90.06,15.43,53.56,94.47,31.03,91.76,87.93
Arunachal Pradesh,Papum Pare,2021,25.33,87.16,65.48,69.72,20.86,67.33,42.27
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2019,41.79,66.46,19.76,42.64,21.57,94.26,39.27
Gujarat,Surat,2015,28.72,77.13,69.98,61.9,56.13,88.99,25.61
Uttarakhand,Pithoragarh,2017,96.99,23.29,50.67,99.44,73.24,70.55,48.59
Kerala,Palakkad,2017,57.87,31.09,50.85,97.19,10.64,24.65,66.67
Manipur,Noney,2024,38.66,49.06,49.65,53.04,11.1,74.06,81.04
Tamil Nadu,Sivaganga,2020,14.06,34.28,44.35,86.38,28.26,50.18,82.8
Rajasthan,Tonk,2016,77.29,55.7,56.69,93.25,55.94,81.95,18.49
Karnataka,Chikkaballapur,2021,27.84,46.07,21.11,21.18,52.53,14.72,32.44
Andhra Pradesh,NTR,2025,72.5,27.57,31.26,27.99,45.57,45.12,78.26
Assam,Nalbari,2016,69.86,67.94,86.64,95.86,97.05,48.25,37.6
Uttar Pradesh,Jalaun,2020,30.65,47.33,87.54,70.27,16.13,81.19,79.07
Assam,Tinsukia,2021,72.17,24.36,26.11,95.5,81.52,15.27,18.66
Chhattisgarh,Dhamtari,2020,50.46,78.04,60.92,23.22,29.5,91.31,13.33
Punjab,Patiala,2015,35.07,64.5,87.1,41.97,60.03,32.71,74.22
Uttar Pradesh,Basti,2023,80.66,53.55,91.19,69.41,57.48,48.48,18.6
Punjab,Sangrur,2024,21.02,34.54,40.55,99.37,11.65,63.69,34.27
Uttar Pradesh,Sultanpur,2022,15.41,38.79,54.69,42.35,53.47,12.74,27.4
Karnataka,Shivamogga,2017,24.52,75.78,55.25,55.66,50.5,52.94,82.75
Tripura,Gomati,2024,75.51,12.78,49.77,87.4,52.96,82.45,37.71
Jharkhand,Gumla,2016,78.76,50.35,15.6,86.12,51.7,35.64,87.94
Uttar Pradesh,Kannauj,2025,38.47,48.68,78.13,77.81,67.33,38.38,66.09
Rajasthan,Rajsamand,2021,10.29,10.98,48.78,60.2,95.96,88.13,18.77
Gujarat,Bhavnagar,2019,44.68,79.18,95.66,96.65,68.57,40.58,19.17
Haryana,Rohtak,2016,25.59,43.15,62.4,95.74,20.93,14.84,32.53
Telangana,Suryapet,2015,28.74,62.34,69.54,97.33,73.18,35.94,72.48
Haryana,Faridabad,2018,73.48,48.01,39.16,72.03,55.93,62.23,24.73
Assam,Lakhimpur,2018,49.25,47.79,79.99,93.76,48.49,90.85,74.31
Maharashtra,Beed,2023,80.98,63.86,28.51,74.46,52.23,88.97,20.13
Andhra Pradesh,Srikakulam,2021,13.09,57.73,44.3,47.93,10.62,30.82,91.83
Haryana,Fatehabad,2020,32.12,62.24,14.16,59.51,24.25,96.79,44.78
Arunachal Pradesh,East Siang,2015,39.97,41.71,22.33,94.15,95.99,38.23,20.0
Bihar,Darbhanga,2020,81.29,87.42,14.79,70.83,29.43,83.62,55.02
Tamil Nadu,Tenkasi,2022,70.92,93.55,96.77,78.27,46.91,54.5,95.02
Maharashtra,Sangli,2015,23.33,90.11,79.54,81.21,91.46,57.79,89.74
Manipur,Imphal East,2024,64.53,99.33,82.03,60.52,18.21,48.98,45.87
Chhattisgarh,Dhamtari,2019,77.1,63.08,44.06,35.1,58.67,23.68,46.89
Tamil Nadu,Ariyalur,2018,42.19,67.36,68.31,67.72,34.41,76.51,46.2
Sikkim,Gyalshing,2025,34.39,12.15,17.44,67.51,15.76,46.47,92.08
Uttar Pradesh,Varanasi,2016,44.0,79.7,79.72,19.42,68.68,74.92,97.98
Jharkhand,Garhwa,2020,20.86,55.79,85.31,59.32,73.12,58.0,86.96
Himachal Pradesh,Hamirpur,2019,88.08,41.65,44.08,78.61,60.8,40.9,81.02
Odisha,Kendujhar (Keonjhar),2022,81.29,37.35,32.83,82.26,93.45,26.61,40.33
Punjab,Fazilka,2025,10.95,54.79,25.93,18.69,58.39,47.15,34.31
Gujarat,Narmada,2022,49.81,11.61,35.01,49.42,75.15,13.49,95.57
Uttar Pradesh,Baghpat,2015,11.3,25.55,74.22,32.72,37.18,12.75,26.32
Chhattisgarh,Janjgir-Champa,2021,95.28,96.25,90.39,85.92,64.65,14.68,21.35
Kerala,Pathanamthitta,2022,62.92,45.7,29.12,45.81,47.39,86.57,10.03
Chhattisgarh,Gaurela-Pendra-Marwahi,2019,99.16,97.66,74.09,53.98,67.29,84.35,81.29
Punjab,Kapurthala,2021,13.58,57.12,34.86,57.66,17.19,29.41,28.52
Arunachal Pradesh,East Siang,2015,78.44,27.06,51.1,86.75,86.3,53.63,92.68
Manipur,Bishnupur,2024,16.26,18.92,91.06,16.11,53.76,18.93,29.81
Bihar,Gaya,2021,22.0,55.05,88.23,20.37,34.81,83.04,88.11
Uttarakhand,Nainital,2021,33.99,71.1,10.49,60.94,48.94,53.98,59.09
Rajasthan,Pali,2018,44.09,52.86,12.29,28.31,35.8,94.77,65.34
Haryana,Kurukshetra,2018,63.54,25.1,15.27,45.05,71.33,62.28,86.1
Uttar Pradesh,Mathura,2025,97.11,36.29,43.16,61.93,60.15,54.03,98.53
Uttar Pradesh,Lakhimpur Kheri,2021,55.59,87.73,17.95,55.82,44.48,60.6,82.28
Tamil Nadu,Tiruvannamalai,2024,78.99,49.97,55.21,91.0,73.83,30.85,29.46
Karnataka,Chikkamagaluru,2022,10.22,53.49,21.37,68.99,79.13,85.51,69.49
Himachal Pradesh,Hamirpur,2021,68.0,93.28,70.72,19.57,72.21,56.56,93.29
Arunachal Pradesh,Upper Subansiri,2025,15.52,60.14,95.95,66.69,35.67,48.12,95.45
Madhya Pradesh,Panna,2018,82.74,30.88,30.56,79.26,29.19,71.46,84.36
Telangana,Nagarkurnool,2021,74.99,44.42,58.17,48.58,19.0,44.26,32.95
Himachal Pradesh,Kullu,2017,35.05,20.95,46.1,43.88,69.42,55.91,57.22
Madhya Pradesh,Burhanpur,2021,44.26,16.33,78.47,23.63,27.48,90.56,48.75
Arunachal Pradesh,Leparada,2022,77.11,82.76,19.06,21.42,47.28,83.94,26.35
Bihar,West Champaran,2015,85.29,15.39,84.26,64.1,54.23,55.62,81.43
Telangana,Nizamabad,2022,45.24,45.14,62.72,92.51,17.76,50.25,23.13
Bihar,Gopalganj,2021,37.08,12.94,17.71,63.38,89.2,56.86,27.25
Uttarakhand,Udham Singh Nagar,2016,18.41,70.25,67.06,43.01,95.31,16.03,26.59
Chhattisgarh,Baloda Bazar,2019,79.83,60.92,73.52,92.14,44.84,45.13,51.97
Karnataka,Bengaluru Urban,2017,54.22,60.93,88.74,49.78,35.33,91.78,20.32
Rajasthan,Alwar,2025,45.62,37.25,57.57,29.9,18.93,19.83,31.82
Odisha,Balangir,2023,94.36,34.96,96.39,99.57,16.39,79.74,52.44
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2019,65.67,38.06,58.92,89.28,97.85,95.89,68.87
Uttar Pradesh,Jhansi,2023,38.08,50.86,72.22,43.38,78.91,30.28,81.36
Rajasthan,Pali,2025,33.88,90.14,23.08,98.49,11.68,49.91,91.1
Maharashtra,Wardha,2025,52.09,57.64,27.79,70.04,79.05,60.29,52.44
Odisha,Koraput,2019,78.92,66.91,96.81,43.33,25.52,53.76,47.74
Uttar Pradesh,Rae Bareli,2021,27.11,40.92,44.82,41.89,44.17,56.48,74.12
Gujarat,Surendranagar,2023,50.98,32.42,25.46,37.16,10.57,74.43,87.58
Telangana,Bhadradri Kothagudem,2021,82.05,31.41,81.69,54.35,69.53,62.71,52.89
Karnataka,Raichur,2017,28.27,96.02,47.03,38.37,47.65,20.69,60.04
Tamil Nadu,Viluppuram,2023,60.39,63.86,72.37,64.07,78.84,51.98,16.91
Maharashtra,Hingoli,2024,84.28,11.57,93.52,96.23,71.12,83.34,84.33
Madhya Pradesh,Umaria,2018,26.49,61.1,24.45,34.4,60.75,99.45,18.81
Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),2020,82.89,79.57,42.48,20.64,73.06,33.23,69.88
Telangana,Khammam,2021,87.53,53.95,76.29,12.11,29.98,19.13,92.63
Uttar Pradesh,Bulandshahr,2022,64.91,47.42,73.51,63.43,80.6,69.3,53.22
Andhra Pradesh,YSR Kadapa,2021,94.51,94.58,91.22,18.99,11.96,53.72,65.48
Arunachal Pradesh,Kra Daadi,2023,61.62,52.65,46.95,76.2,57.25,33.68,99.92
Uttar Pradesh,Ayodhya,2015,78.4,71.68,93.88,96.38,24.48,89.37,43.21
Jharkhand,Ranchi,2016,90.61,55.24,32.95,27.46,45.86,27.42,52.54
Mizoram,Aizawl,2022,67.75,79.07,48.35,58.14,78.83,45.12,27.24
West Bengal,Murshidabad,2018,93.62,18.13,67.64,97.49,17.29,15.64,26.94
Uttar Pradesh,Budaun,2021,77.42,12.83,35.08,90.75,71.04,43.11,30.34
Assam,Dhubri,2015,43.22,52.57,58.51,44.6,33.89,67.41,48.94
Telangana,Mancherial,2022,16.99,85.71,79.26,21.82,93.33,73.94,25.01
Rajasthan,Jaipur,2015,72.73,54.94,88.97,51.58,95.81,28.38,43.24
Haryana,Charkhi Dadri,2016,57.76,60.66,22.48,49.6,37.86,36.16,68.39
Gujarat,Jamnagar,2015,73.48,53.03,76.95,77.92,83.1,79.91,39.11
Madhya Pradesh,Chhindwara,2024,42.84,91.26,10.26,12.27,24.21,31.73,40.19
Punjab,Barnala,2024,10.88,94.52,24.66,86.6,60.04,95.35,48.67
Tripura,Unakoti,2021,28.0,84.33,56.96,16.83,27.09,59.6,35.35
Uttar Pradesh,Bijnor,2017,38.59,70.3,62.71,85.55,26.59,19.61,35.75
Rajasthan,Shahpura,2021,62.81,26.91,88.41,64.12,62.11,67.67,73.88
Assam,Sivasagar,2021,55.65,46.63,71.27,62.49,91.83,67.41,63.49
Punjab,Patiala,2024,46.26,34.6,74.04,22.72,63.5,41.76,57.41
Punjab,Shaheed Bhagat Singh Nagar (Nawanshahr),2022,85.82,81.16,80.74,21.41,91.11,27.18,79.08
Arunachal Pradesh,East Kameng,2020,82.58,11.33,33.0,97.27,76.58,65.83,59.71
Madhya Pradesh,Narsinghpur,2025,74.41,20.63,74.74,88.45,88.05,10.69,40.17
Punjab,Kapurthala,2019,56.75,54.23,66.94,77.57,53.26,38.22,34.02
Chhattisgarh,Dantewada,2020,55.89,96.72,81.18,59.93,51.43,19.97,85.87
Manipur,Tamenglong,2019,16.86,95.81,29.59,89.13,60.17,85.97,37.92
Odisha,Jagatsinghpur,2021,89.49,22.71,75.92,69.69,61.15,54.54,85.74
Haryana,Mahendragarh,2019,13.27,87.35,52.89,39.58,36.86,31.61,78.36
Jharkhand,Gumla,2025,93.16,41.44,23.11,20.37,44.4,79.97,51.07
Jharkhand,Latehar,2024,54.94,66.73,85.87,60.91,37.68,91.98,66.76
Andhra Pradesh,Alluri Sitharama Raju,2021,92.65,46.73,89.16,18.43,95.0,61.75,88.68
Chhattisgarh,Gaurela-Pendra-Marwahi,2021,23.13,63.78,71.15,60.95,80.44,74.4,14.1
Maharashtra,Yavatmal,2024,16.97,51.27,26.51,91.47,24.38,37.84,55.97
Madhya Pradesh,Dhar,2025,54.0,77.07,65.62,37.45,64.05,89.5,15.19
Uttar Pradesh,Ayodhya,2025,79.46,77.76,75.73,92.34,71.0,48.43,35.42
Karnataka,Chamarajanagar,2020,45.98,28.86,86.64,17.51,37.57,14.87,84.67
Odisha,Nabarangpur,2020,58.96,71.51,58.74,17.0,90.14,31.85,35.52
Uttar Pradesh,Sitapur,2020,99.36,88.25,71.72,82.63,36.36,58.45,17.94
Jharkhand,Deoghar,2020,57.3,54.45,83.78,68.84,88.15,77.87,33.3
Tamil Nadu,Ranipet,2022,20.64,38.71,62.26,87.75,90.53,53.27,45.33
Rajasthan,Bhilwara,2024,48.84,77.36,20.22,18.51,38.13,77.14,89.54
Uttar Pradesh,Ayodhya,2025,46.18,23.66,80.86,53.08,42.81,35.91,98.05
West Bengal,Paschim Bardhaman,2018,68.01,65.02,97.47,61.85,90.38,66.09,60.71
Maharashtra,Akola,2025,12.0,35.84,57.87,63.09,45.69,21.25,19.03
Odisha,Kandhamal,2021,99.47,68.19,55.59,49.88,48.58,31.88,30.85
Rajasthan,Jodhpur,2016,83.39,88.84,71.29,54.97,69.14,14.7,69.73
Tamil Nadu,Tirunelveli,2025,74.89,50.66,93.32,85.41,65.44,29.55,42.77
Bihar,West Champaran,2022,89.01,24.56,11.03,20.29,84.91,38.84,88.69
Kerala,Kasaragod,2024,75.79,67.49,22.39,26.36,62.07,78.24,71.55
Andhra Pradesh,Alluri Sitharama Raju,2022,18.2,12.58,27.11,87.99,99.34,50.25,13.64
Uttar Pradesh,Bhadohi,2020,31.23,95.77,87.74,97.36,17.37,98.45,60.72
Chhattisgarh,Jashpur,2023,68.08,20.74,35.34,10.16,55.79,32.36,40.47
Andhra Pradesh,Parvathipuram Manyam,2022,55.2,66.33,42.99,76.68,29.31,76.37,60.26
Chhattisgarh,Raigarh,2015,86.22,72.17,49.83,43.18,40.96,80.52,76.45
Uttarakhand,Haridwar,2019,15.93,76.13,62.6,36.72,81.26,37.64,51.34
Gujarat,Bharuch,2019,37.66,25.1,20.38,77.08,82.19,67.8,60.26
Uttar Pradesh,Sambhal,2020,42.23,49.71,65.9,14.92,55.66,69.45,74.2
Uttarakhand,Uttarkashi,2024,81.28,63.93,42.33,45.65,90.26,11.26,78.25
Himachal Pradesh,Chamba,2023,81.39,88.66,47.03,50.26,12.84,49.31,97.78
Uttar Pradesh,Agra,2022,61.91,93.08,57.92,32.81,51.13,93.65,82.88
Maharashtra,Nanded,2025,47.92,91.42,57.58,63.22,72.58,97.92,65.47
Uttar Pradesh,Etah,2020,88.92,53.33,67.1,81.98,22.47,58.88,85.86
Assam,Kamrup,2025,87.46,95.54,63.09,20.29,68.05,63.97,18.54
Arunachal Pradesh,Leparada,2025,57.4,50.65,33.15,19.35,85.25,69.55,68.44
Uttar Pradesh,Banda,2019,81.81,96.9,81.75,49.63,76.14,44.21,64.67
Madhya Pradesh,Dewas,2023,41.83,99.66,14.26,47.88,20.56,97.44,88.4
Bihar,Khagaria,2020,83.53,83.29,67.29,68.4,44.97,89.02,29.28
Karnataka,Chikkamagaluru,2016,89.92,53.75,34.68,46.69,22.95,38.42,65.85
Haryana,Karnal,2024,40.33,99.93,70.64,49.68,24.89,14.81,84.31
Uttar Pradesh,Pratapgarh,2025,44.38,19.44,55.24,39.06,56.09,21.89,76.88
Chhattisgarh,Bijapur,2017,26.23,48.7,42.95,22.91,59.27,81.71,48.92
Rajasthan,Hanumangarh,2021,15.74,93.27,71.39,40.84,99.7,83.59,47.78
Karnataka,Hassan,2017,39.5,11.26,76.63,12.47,85.96,21.68,65.57
Assam,Karbi Anglong,2018,50.08,12.54,37.42,86.97,35.7,29.1,16.4
Gujarat,Aravalli,2023,18.04,48.25,96.86,98.76,37.88,65.6,19.67
Gujarat,Porbandar,2016,30.2,29.66,67.07,14.21,19.06,17.42,45.36
Uttar Pradesh,Jalaun,2020,14.59,76.35,58.45,49.03,65.89,65.29,87.3
Manipur,Chandel,2025,30.13,63.3,66.24,13.84,45.34,66.46,10.46
Bihar,Nalanda,2018,92.37,75.01,54.71,46.84,53.41,90.85,25.72
Tamil Nadu,Cuddalore,2024,81.0,51.57,16.97,26.02,88.57,57.73,73.59
Bihar,Saran,2019,83.8,85.65,22.1,10.55,35.89,30.16,87.45
Maharashtra,Beed,2021,34.28,68.22,56.32,87.22,49.78,59.59,29.04
Haryana,Bhiwani,2021,43.57,74.66,82.72,38.14,66.22,15.62,95.17
Assam,Biswanath,2025,23.08,59.61,36.63,42.18,41.82,23.31,26.64
Madhya Pradesh,Hoshangabad (Narmadapuram),2019,68.23,48.46,84.86,39.73,47.03,17.8,92.22
Uttarakhand,Haridwar,2019,42.96,56.83,47.91,67.75,80.65,89.98,40.1
Himachal Pradesh,Chamba,2024,61.78,80.96,33.41,69.45,57.98,47.64,63.54
Chhattisgarh,Bilaspur,2020,51.89,96.52,64.47,76.28,95.32,16.55,42.35
Uttar Pradesh,Farrukhabad,2016,12.27,40.76,72.42,32.49,41.56,66.5,75.19
Telangana,Jangaon,2025,41.25,24.24,87.44,61.34,14.33,19.82,17.54
Andhra Pradesh,Srikakulam,2024,45.98,52.6,97.84,92.25,29.33,64.39,29.15
Rajasthan,Jhunjhunu,2019,38.57,37.59,66.86,17.94,62.33,78.73,29.29
Rajasthan,Bundi,2025,86.15,58.22,83.07,65.11,76.35,30.51,27.72
West Bengal,Bankura,2016,51.6,36.6,12.17,15.04,51.9,85.18,95.94
Jharkhand,Palamu,2018,20.95,69.95,25.56,15.17,88.41,70.03,33.04
Tamil Nadu,Tirunelveli,2025,82.66,85.22,38.3,21.81,41.57,22.36,95.1
Bihar,Patna,2017,71.16,69.47,90.07,33.39,14.04,16.76,20.14
Haryana,Mahendragarh,2020,44.79,74.57,75.59,47.08,28.34,50.06,54.71
Andhra Pradesh,Chittoor,2015,79.53,69.63,77.57,70.96,22.38,44.1,31.67
Tamil Nadu,Theni,2021,85.81,75.35,42.77,38.18,42.79,22.34,62.85
Uttarakhand,Udham Singh Nagar,2024,48.42,44.39,37.46,12.68,63.51,94.55,78.81
Nagaland,Mokokchung,2023,50.39,70.73,42.84,62.95,92.74,72.19,84.78
Odisha,Kendujhar (Keonjhar),2021,25.51,94.68,78.32,24.73,79.5,10.02,28.03
Uttar Pradesh,Mau,2017,15.54,47.47,65.41,56.79,46.22,36.95,76.36
Arunachal Pradesh,Tirap,2022,15.08,47.89,87.13,69.15,45.28,76.82,83.59
Gujarat,Tapi,2016,33.05,44.92,55.23,24.85,37.88,22.2,76.46
Rajasthan,Jhunjhunu,2025,44.35,29.22,49.25,93.37,92.26,87.66,56.86
Maharashtra,Amravati,2021,39.05,71.98,54.02,23.47,38.44,31.4,26.86
Uttar Pradesh,Lalitpur,2023,14.37,63.55,53.94,48.08,42.65,39.35,49.76
Assam,Majuli,2025,44.51,76.21,41.51,11.79,37.31,56.24,81.7
Kerala,Kottayam,2016,20.36,13.16,79.9,60.95,97.46,44.55,69.45
Manipur,Tamenglong,2017,73.37,81.28,24.73,34.33,36.61,63.81,95.97
Bihar,Araria,2022,83.31,62.91,52.91,77.73,80.85,84.86,69.77
Uttarakhand,Tehri Garhwal,2025,67.8,99.93,12.85,31.8,16.88,93.24,23.36
Madhya Pradesh,Bhind,2019,38.37,83.82,38.73,75.16,39.43,65.11,54.88
Rajasthan,Sanchore,2023,59.04,79.31,34.84,71.54,26.48,54.08,64.71
Telangana,Nirmal,2024,31.71,32.99,23.28,29.86,97.7,12.67,98.35
Assam,Chirang,2022,74.35,64.79,21.98,67.23,87.11,10.48,64.55
Assam,Karbi Anglong,2020,18.38,37.35,67.4,31.66,10.53,79.19,36.28
Assam,Morigaon,2025,43.16,37.36,89.52,15.76,19.1,72.64,77.59
Kerala,Thrissur,2020,13.54,40.22,25.27,26.52,55.6,94.96,55.41
Tripura,North Tripura,2024,95.72,66.9,43.03,33.0,48.58,85.67,74.8
Arunachal Pradesh,Anjaw,2015,43.7,77.8,88.67,27.74,30.01,18.08,33.77
West Bengal,Paschim Bardhaman,2016,48.33,97.37,74.81,29.7,32.08,78.75,49.62
Karnataka,Kodagu,2019,79.78,16.37,65.93,16.0,91.28,68.19,99.91
Arunachal Pradesh,West Siang,2024,77.11,96.34,13.16,81.51,75.15,22.22,17.16
Madhya Pradesh,Agar Malwa,2015,50.47,57.59,32.72,64.08,73.97,58.75,23.85
Uttar Pradesh,Kanpur Nagar,2020,75.38,17.45,97.88,56.32,28.19,69.44,21.22
Rajasthan,Ajmer,2017,84.14,55.46,46.52,74.95,95.8,81.96,26.43
Uttar Pradesh,Pilibhit,2018,47.91,77.9,53.53,40.38,98.7,29.4,89.76
Rajasthan,Jodhpur,2017,55.71,87.59,17.66,10.48,97.09,28.65,96.63
Himachal Pradesh,Shimla,2015,35.18,23.17,97.75,38.67,85.87,12.51,91.81
Andhra Pradesh,Anakapalli,2023,83.04,60.11,48.79,75.17,44.32,80.91,77.35
Uttar Pradesh,Mirzapur,2018,53.35,19.27,35.12,38.91,88.67,87.73,48.35
Assam,Lakhimpur,2016,18.34,98.16,92.59,20.66,42.19,59.73,52.87
Kerala,Pathanamthitta,2018,78.25,13.79,19.43,68.9,83.59,69.7,82.33
Nagaland,Noklak,2021,14.02,50.39,75.95,67.13,95.18,48.38,24.81
Tripura,South Tripura,2015,80.39,54.92,15.25,50.44,45.77,83.3,94.28
Maharashtra,Kolhapur,2025,81.22,82.31,51.79,38.57,63.29,95.7,68.16
Uttar Pradesh,Sitapur,2025,39.29,81.11,93.15,60.0,64.15,47.73,67.82
Arunachal Pradesh,Siang,2022,89.19,60.66,38.78,14.37,36.07,82.37,45.99
Uttarakhand,Uttarkashi,2016,47.5,27.29,31.45,45.96,51.11,99.99,90.82
Karnataka,Mandya,2023,91.06,38.72,18.13,94.58,39.03,23.61,75.83
Rajasthan,Barmer,2025,92.69,47.93,27.68,31.4,52.92,61.57,81.21
Manipur,Chandel,2020,24.64,70.05,56.27,28.58,52.63,58.45,79.84
Madhya Pradesh,Niwari,2025,50.02,48.98,46.74,82.73,75.67,11.99,25.08
Maharashtra,Akola,2017,50.73,92.48,79.24,75.98,72.46,18.63,77.05
Madhya Pradesh,Ujjain,2016,79.58,76.31,69.06,40.48,46.35,60.88,61.9
Uttar Pradesh,Azamgarh,2023,18.93,65.61,88.46,82.98,51.53,85.4,54.99
Uttar Pradesh,Rae Bareli,2021,48.39,40.15,72.09,43.43,30.02,45.38,68.2
Tamil Nadu,Tirupathur,2019,36.12,67.05,64.37,53.08,38.03,47.26,24.72
Uttar Pradesh,Bulandshahr,2024,14.96,45.0,29.16,94.68,92.35,33.77,70.74
Odisha,Koraput,2025,54.62,61.52,99.54,29.64,67.72,39.36,13.81
Jharkhand,Giridih,2024,24.92,33.11,76.38,37.48,80.53,17.87,65.72
Odisha,Ganjam,2016,75.39,39.93,64.55,27.77,45.55,17.81,46.72
Kerala,Ernakulam,2022,46.28,56.18,28.43,49.83,10.1,48.6,84.89
Bihar,Sheohar,2022,22.59,42.84,22.29,87.99,16.57,53.73,58.39
Madhya Pradesh,Narsinghpur,2025,98.61,44.94,28.48,86.29,92.11,20.97,11.97
Nagaland,Tuensang,2020,33.44,39.1,41.86,61.71,69.62,32.44,42.52
Uttar Pradesh,Jhansi,2017,55.39,97.01,43.15,29.58,83.05,88.31,69.39
Gujarat,Kheda,2017,42.64,85.87,50.43,99.73,42.88,98.75,53.79
Assam,Kokrajhar,2015,80.43,13.69,46.39,92.3,34.34,33.1,43.36
Himachal Pradesh,Chamba,2015,19.87,91.8,39.81,85.0,55.52,16.48,55.52
Haryana,Charkhi Dadri,2023,16.25,71.17,79.8,11.62,83.2,89.91,71.27
Tamil Nadu,Nilgiris,2023,25.2,77.41,22.0,52.63,39.08,39.85,68.45
Tamil Nadu,Ramanathapuram,2017,51.63,72.51,80.06,18.49,28.77,64.01,29.12
Jharkhand,Latehar,2021,94.79,39.51,77.98,55.17,56.61,91.89,47.0
Chhattisgarh,Bastar,2016,90.67,57.12,69.07,75.96,47.55,53.73,74.47
Rajasthan,Didwana-Kuchaman,2025,18.78,55.04,83.64,67.7,27.45,39.18,80.24
West Bengal,Purba Bardhaman,2019,96.5,59.56,49.18,13.61,76.3,44.64,30.21
Nagaland,Wokha,2017,16.1,20.76,33.48,96.27,34.99,25.53,43.89
Uttar Pradesh,Siddharthnagar,2016,91.3,12.36,93.94,90.75,98.79,39.97,58.53
Uttar Pradesh,Bahraich,2023,44.02,68.19,40.01,50.58,27.62,43.53,94.28
Assam,Hailakandi,2020,38.11,30.34,52.31,73.03,78.2,21.47,86.45
Telangana,Mulugu,2022,19.5,49.86,84.6,55.01,35.72,12.84,68.71
Chhattisgarh,Jashpur,2017,66.66,20.58,93.05,71.92,57.11,48.6,34.9
Tripura,Dhalai,2019,20.76,85.4,96.77,24.67,19.76,76.32,95.95
Chhattisgarh,Janjgir-Champa,2021,75.53,42.19,12.58,62.79,91.53,38.52,47.99
Kerala,Malappuram,2016,79.62,92.24,51.66,61.86,84.17,60.59,42.5
Manipur,Thoubal,2015,81.25,85.51,57.7,26.14,78.87,63.99,89.61
Gujarat,Gir Somnath,2016,20.39,44.77,97.62,78.86,98.81,38.6,45.93
Assam,Jorhat,2015,57.03,48.87,26.89,44.49,73.79,46.41,19.78
Punjab,Jalandhar,2022,85.76,63.03,56.19,26.13,83.0,85.28,70.38
Tripura,Sepahijala,2019,13.4,56.58,27.54,97.15,61.37,82.26,85.11
Uttar Pradesh,Barabanki,2019,87.84,17.28,71.71,50.91,19.04,88.7,44.88
Punjab,Faridkot,2023,81.97,15.45,69.74,84.95,95.28,84.41,99.07
Bihar,Sheohar,2024,34.06,84.9,64.23,55.38,85.21,39.23,31.93
Haryana,Karnal,2016,34.32,52.76,94.25,61.32,61.06,52.66,97.25
Uttar Pradesh,Mau,2023,68.95,18.19,31.66,19.12,87.35,90.86,62.52
Himachal Pradesh,Sirmaur,2021,41.82,22.43,61.11,71.45,28.64,94.75,14.53
Jharkhand,Dumka,2025,13.88,53.95,26.53,44.03,12.74,19.43,43.95
Uttar Pradesh,Kushinagar,2020,21.22,40.72,38.17,14.13,79.94,58.06,83.09
