state,district,year,houses_built,construction_cost,urban_housing_index,rural_housing_index,housing_demand,housing_supply,construction_growth
Uttar Pradesh,Amroha,2019,55.81,28.28,34.2,78.92,43.52,21.58,89.38
Rajasthan,Sikar,2024,39.64,74.25,79.11,10.63,28.8,73.54,27.15
Rajasthan,Bhilwara,2018,98.97,46.74,31.7,50.89,25.29,88.41,18.84
Haryana,Bhiwani,2021,17.57,37.66,99.85,86.6,40.04,76.08,97.84
Uttar Pradesh,Rampur,2019,14.52,32.27,56.71,86.36,47.19,62.15,81.4
Kerala,Kozhikode,2017,64.65,62.6,76.89,75.87,81.19,42.71,77.67
Arunachal Pradesh,Dibang Valley,2021,39.22,93.54,13.73,92.67,20.1,79.84,37.95
Maharashtra,Mumbai Suburban,2019,92.07,80.06,42.41,72.86,94.9,65.19,79.3
Uttar Pradesh,Amethi,2021,13.34,82.74,11.09,87.9,55.61,98.24,20.76
Nagaland,Shamator,2021,13.89,35.78,20.29,30.03,23.66,47.75,91.79
Meghalaya,East Jaintia Hills,2021,50.64,71.98,77.08,66.57,44.72,98.83,84.06
Punjab,Shaheed Bhagat Singh Nagar (Nawanshahr),2019,30.82,81.95,40.93,57.32,75.12,40.44,73.63
Chhattisgarh,Kondagaon,2018,15.85,79.14,67.61,22.68,54.58,81.7,17.97
Gujarat,Bharuch,2023,63.78,61.25,87.13,14.74,35.66,38.16,14.17
Andhra Pradesh,Chittoor,2020,23.16,67.74,72.65,93.28,28.05,45.45,87.74
Telangana,Peddapalli,2016,19.37,11.89,96.49,68.3,45.96,14.53,10.75
Uttar Pradesh,Lalitpur,2016,65.58,18.8,35.98,27.77,28.91,86.08,51.1
Rajasthan,Churu,2019,11.06,76.36,34.39,15.25,19.87,17.91,48.49
Maharashtra,Palghar,2020,58.22,16.91,79.02,36.1,81.5,31.29,82.39
Maharashtra,Chandrapur,2018,26.15,68.58,39.62,30.72,61.32,62.83,43.27
Arunachal Pradesh,West Kameng,2023,61.88,25.0,27.06,86.92,53.07,34.09,49.35
Madhya Pradesh,Dhar,2023,96.7,28.69,18.36,39.34,20.2,94.9,63.05
Uttarakhand,Dehradun,2017,14.27,71.5,34.27,84.05,60.46,35.22,74.17
Maharashtra,Yavatmal,2016,87.96,61.48,40.66,75.2,87.87,76.04,70.72
Chhattisgarh,Raigarh,2022,66.69,69.46,16.95,98.87,40.15,85.1,63.45
Bihar,Bhojpur,2023,20.33,36.42,60.73,36.33,76.39,81.44,37.27
Maharashtra,Sangli,2016,95.9,45.84,20.05,59.2,37.26,51.21,54.76
Assam,Lakhimpur,2018,38.3,57.89,11.07,29.16,44.33,46.64,15.19
Madhya Pradesh,Barwani,2018,23.87,64.22,96.19,62.8,68.9,22.74,80.16
Odisha,Puri,2023,21.46,20.15,78.34,86.84,68.31,26.74,71.97
Rajasthan,Bundi,2018,44.83,98.92,49.66,79.37,15.42,89.48,42.14
Sikkim,Namchi,2016,14.33,65.01,33.09,84.46,84.93,78.37,57.76
Gujarat,Bharuch,2016,43.85,70.87,73.2,48.22,48.16,44.38,61.65
Arunachal Pradesh,East Kameng,2016,33.13,30.19,31.93,64.87,68.74,72.03,56.87
Tamil Nadu,Thoothukudi,2020,51.46,90.18,51.86,90.67,97.08,48.25,64.96
Bihar,Nawada,2020,84.15,46.73,37.96,59.96,42.56,66.06,33.87
Tamil Nadu,Chennai,2021,73.09,73.84,30.34,26.97,68.05,37.8,88.84
Andhra Pradesh,Bapatla,2017,82.71,95.33,11.92,76.94,58.02,76.56,61.41
Gujarat,Ahmedabad,2019,51.79,30.09,63.71,59.6,23.69,14.63,68.44
West Bengal,Jalpaiguri,2025,19.08,24.51,30.91,81.23,89.71,19.97,19.88
Madhya Pradesh,Raisen,2025,12.7,13.91,37.2,82.92,32.42,39.37,98.27
Tamil Nadu,Kanchipuram,2025,63.25,63.99,14.72,83.98,40.11,31.2,54.78
Tripura,North Tripura,2022,41.77,29.85,21.78,35.42,28.37,83.1,10.26
Gujarat,Valsad,2017,27.27,39.91,25.67,48.3,93.75,54.72,34.83
Karnataka,Mysuru,2023,92.82,97.95,93.5,32.65,98.98,98.04,21.61
Odisha,Nabarangpur,2015,80.47,56.46,66.32,48.48,51.41,45.11,96.09
Madhya Pradesh,Hoshangabad (Narmadapuram),2015,90.02,67.73,39.4,92.18,85.6,24.49,77.0
Uttar Pradesh,Etah,2023,97.5,80.52,62.38,63.88,42.36,51.35,18.69
West Bengal,Uttar Dinajpur,2017,22.13,69.33,96.3,83.62,10.29,71.72,15.48
Maharashtra,Latur,2016,32.81,51.96,70.32,61.84,84.29,10.78,33.24
Bihar,Gaya,2017,39.89,53.66,44.25,71.02,48.72,91.08,47.6
Telangana,Medchal-Malkajgiri,2022,99.07,87.06,87.66,81.4,63.23,61.41,84.18
Maharashtra,Wardha,2016,55.4,31.82,63.99,36.63,79.65,62.42,45.56
Assam,Golaghat,2016,41.54,94.95,75.48,85.8,31.68,95.97,96.47
Odisha,Jajpur,2018,70.98,52.51,51.06,28.28,97.27,60.85,43.49
Haryana,Kurukshetra,2017,21.03,21.82,26.4,83.33,73.41,11.7,96.66
Madhya Pradesh,Anuppur,2023,67.04,36.84,51.99,69.12,89.23,61.52,84.41
Maharashtra,Sindhudurg,2015,41.78,99.67,58.77,86.9,97.5,55.43,39.03
Jharkhand,Dumka,2017,53.82,32.56,13.92,21.99,77.01,67.17,26.18
Telangana,Medchal-Malkajgiri,2020,74.95,93.52,35.95,71.27,47.63,89.2,78.49
Punjab,Rupnagar,2015,67.66,40.46,64.81,46.07,48.93,43.6,57.87
Tripura,South Tripura,2015,88.21,68.43,75.06,99.36,42.62,90.14,15.55
Bihar,Buxar,2022,89.65,92.16,36.81,11.4,99.1,14.23,30.21
Madhya Pradesh,Shajapur,2020,87.89,17.76,91.74,30.87,85.25,84.08,12.29
Gujarat,Aravalli,2017,41.59,69.92,13.2,95.1,11.74,45.58,91.43
Meghalaya,West Garo Hills,2018,15.13,16.22,78.72,94.67,47.21,78.03,71.63
Bihar,Bhagalpur,2025,16.44,14.34,70.58,31.28,98.26,22.5,68.22
Tripura,Gomati,2019,86.83,65.04,90.39,87.08,13.9,92.23,70.44
Punjab,Kapurthala,2019,41.74,60.58,67.52,57.2,72.67,12.87,88.48
Tamil Nadu,Ranipet,2019,41.78,38.11,55.4,84.35,44.98,48.14,65.55
Haryana,Bhiwani,2015,87.39,95.65,40.89,12.56,31.13,60.95,31.5
Bihar,Vaishali,2024,34.69,15.04,96.03,99.96,65.69,26.5,60.47
West Bengal,Howrah,2024,10.02,85.49,48.42,20.05,28.38,92.21,52.74
Uttar Pradesh,Muzaffarnagar,2015,78.39,99.62,69.96,59.11,65.56,20.8,35.29
Telangana,Adilabad,2022,81.08,28.63,14.03,90.96,56.17,23.23,97.77
Kerala,Kannur,2018,92.59,61.56,17.82,79.52,71.24,97.57,78.99
Andhra Pradesh,Chittoor,2024,56.22,85.58,46.59,91.72,87.9,84.88,48.51
Uttar Pradesh,Jaunpur,2021,75.41,96.39,37.79,82.56,71.75,24.72,89.67
Haryana,Yamunanagar,2021,71.95,45.63,20.55,42.61,21.62,93.82,97.25
Arunachal Pradesh,Pakke-Kessang,2019,32.84,14.71,56.74,28.69,21.54,82.26,20.64
Madhya Pradesh,Datia,2023,43.99,19.27,21.45,26.36,73.1,22.24,36.32
Uttar Pradesh,Gonda,2019,94.31,20.54,49.59,69.02,30.57,22.75,89.19
Odisha,Sundargarh,2016,62.53,61.53,59.78,42.56,60.45,10.5,95.25
Telangana,Rajanna Sircilla,2024,26.89,91.41,91.64,46.97,96.54,67.88,20.75
Rajasthan,Churu,2024,48.34,49.55,74.78,61.87,17.32,39.8,72.31
Karnataka,Shivamogga,2022,49.62,40.21,95.44,32.98,55.56,49.49,43.7
Madhya Pradesh,Agar Malwa,2024,89.44,18.4,55.22,74.78,94.57,14.79,91.1
Haryana,Faridabad,2023,14.61,20.39,99.67,37.26,45.61,92.41,83.86
Karnataka,Raichur,2015,29.76,79.84,26.83,19.35,95.86,26.93,13.82
Madhya Pradesh,Katni,2025,75.46,24.42,58.65,39.32,38.3,46.14,57.03
Maharashtra,Kolhapur,2023,70.27,79.06,14.02,42.95,95.19,71.35,63.04
Nagaland,Dimapur,2019,44.89,87.73,66.6,48.57,48.43,14.34,72.19
Bihar,Begusarai,2019,46.27,44.93,53.62,63.04,60.84,67.12,47.79
Jharkhand,Godda,2024,36.3,23.53,37.42,41.73,85.69,12.5,37.08
Chhattisgarh,Mungeli,2024,20.82,57.35,56.28,43.69,69.75,32.51,78.78
Odisha,Angul,2017,43.61,49.93,30.35,92.83,51.85,34.09,94.93
Bihar,Gaya,2015,20.03,95.69,10.28,20.3,46.46,78.2,35.83
Tamil Nadu,Kallakurichi,2022,22.18,59.32,68.16,44.43,89.04,77.59,22.18
Uttar Pradesh,Mainpuri,2018,41.53,45.19,74.43,81.33,42.85,98.01,70.87
Punjab,Amritsar,2025,53.1,90.44,40.84,40.25,40.48,21.38,97.56
Kerala,Idukki,2020,21.14,93.11,16.71,11.16,62.33,71.55,93.85
Telangana,Warangal,2022,64.42,77.35,48.43,28.93,56.14,44.12,46.67
Rajasthan,Hanumangarh,2016,77.58,12.47,89.53,29.0,89.33,52.85,86.72
Andhra Pradesh,Tirupati,2021,57.38,33.52,89.05,50.03,73.36,20.06,71.26
Telangana,Nagarkurnool,2019,18.67,20.04,65.79,97.85,13.49,64.37,60.05
Chhattisgarh,Durg,2019,94.86,66.76,28.86,12.87,59.48,64.43,99.41
Uttarakhand,Dehradun,2019,91.84,23.95,67.86,24.55,18.87,44.23,90.8
Madhya Pradesh,Shajapur,2020,79.34,70.59,78.27,40.79,78.83,80.13,17.6
Assam,Dhubri,2015,84.83,76.4,18.93,72.21,44.72,88.28,31.29
Assam,Kamrup Metropolitan,2015,38.63,95.15,91.12,94.47,17.26,33.6,74.97
Assam,Nagaon,2021,25.81,20.11,85.96,78.53,51.55,55.02,89.16
Tamil Nadu,Nagapattinam,2023,44.46,36.65,64.22,63.22,53.61,55.12,34.37
Telangana,Nirmal,2023,75.51,65.43,84.32,11.64,21.39,86.33,91.54
Mizoram,Kolasib,2021,83.89,32.6,96.55,55.81,76.33,65.95,88.54
Bihar,Nalanda,2015,36.72,65.71,75.55,47.29,52.01,98.67,63.87
Telangana,Nirmal,2017,63.34,76.78,67.79,52.32,67.75,16.13,81.69
Madhya Pradesh,Indore,2024,17.49,45.84,79.87,10.82,23.29,57.43,81.19
Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),2018,35.34,38.11,70.8,69.33,83.8,32.65,62.57
Madhya Pradesh,Balaghat,2018,91.35,60.34,50.08,95.29,96.68,75.07,13.21
Haryana,Gurugram,2015,21.83,94.98,70.8,24.55,42.83,96.75,91.94
Haryana,Panipat,2023,19.29,85.0,10.04,72.53,21.52,41.66,44.63
Arunachal Pradesh,Anjaw,2022,21.88,57.84,46.48,18.96,64.65,61.8,74.57
Madhya Pradesh,Shivpuri,2020,68.48,44.37,30.01,83.67,19.26,80.98,72.3
Nagaland,Kohima,2019,70.44,38.12,64.36,67.35,51.54,80.01,14.6
Uttar Pradesh,Siddharthnagar,2016,33.71,97.44,27.53,55.19,23.3,98.4,81.59
Maharashtra,Dhule,2020,56.89,69.49,76.49,38.71,16.33,37.65,47.04
Chhattisgarh,Surajpur,2015,16.32,37.19,20.14,84.59,76.36,21.24,30.92
Uttar Pradesh,Kannauj,2017,91.5,79.2,74.93,85.84,62.2,36.07,64.31
Punjab,Kapurthala,2025,36.77,73.44,24.54,66.99,46.51,36.94,51.88
Madhya Pradesh,Dhar,2015,75.24,49.73,74.77,28.84,99.83,52.37,13.16
Bihar,Aurangabad,2015,99.79,40.08,10.59,38.02,22.85,64.01,77.06
West Bengal,Alipurduar,2023,84.57,48.57,90.42,17.2,53.94,32.62,64.21
Chhattisgarh,Kabirdham,2025,28.6,13.72,70.28,70.92,66.52,89.27,21.26
Rajasthan,Karauli,2015,95.11,92.34,11.34,31.37,10.93,74.47,87.45
Karnataka,Dharwad,2021,30.77,10.58,70.73,37.97,78.78,12.5,29.71
Manipur,Churachandpur,2020,47.77,91.71,89.22,34.02,25.87,30.69,78.01
Tamil Nadu,Cuddalore,2021,73.2,62.83,48.04,60.34,13.56,44.37,42.88
Punjab,Sri Muktsar Sahib,2019,22.75,92.29,72.21,80.48,80.55,31.33,37.4
Karnataka,Kalaburagi,2022,79.09,54.88,42.15,89.49,57.74,71.96,76.56
Chhattisgarh,Mahasamund,2016,61.82,41.9,83.27,70.27,81.68,31.05,96.2
Rajasthan,Deeg,2019,65.35,97.39,40.92,34.46,50.28,30.23,46.34
Uttar Pradesh,Hamirpur,2023,27.12,92.2,64.88,48.73,82.86,36.0,55.96
Andhra Pradesh,Kakinada,2018,86.59,32.62,30.41,73.03,10.23,90.29,21.21
Andhra Pradesh,Vizianagaram,2018,94.77,75.98,14.29,44.97,33.91,89.21,71.88
Gujarat,Junagadh,2025,34.87,10.8,13.3,91.07,93.35,76.88,24.49
Karnataka,Udupi,2018,81.21,25.54,80.1,55.5,55.31,18.34,84.98
Tamil Nadu,Tiruppur,2024,10.88,73.92,42.92,14.04,36.82,17.55,22.15
Uttar Pradesh,Azamgarh,2015,94.22,79.17,33.13,16.48,85.74,63.7,55.81
Arunachal Pradesh,Pakke-Kessang,2019,74.92,23.29,82.0,82.58,37.46,67.21,88.99
Odisha,Kandhamal,2021,13.21,35.09,50.87,13.91,58.65,98.85,97.7
Chhattisgarh,Korba,2018,87.94,45.28,28.39,21.24,60.77,73.56,79.32
Assam,Hailakandi,2025,97.37,73.89,91.38,79.36,23.35,87.2,68.77
Bihar,Khagaria,2017,55.83,51.82,52.53,37.84,43.18,18.8,37.18
Kerala,Pathanamthitta,2019,65.12,17.1,11.33,79.77,62.36,19.87,24.5
Kerala,Kannur,2015,16.09,11.73,98.12,16.45,20.11,15.52,90.47
Punjab,Rupnagar,2023,89.5,99.67,14.85,33.06,91.83,23.25,88.98
Maharashtra,Ahmednagar,2022,90.04,25.9,99.97,40.61,22.15,38.5,99.04
Maharashtra,Dhule,2015,90.22,43.9,94.41,12.2,58.65,22.77,85.66
Odisha,Kalahandi,2024,27.14,92.41,86.54,74.35,69.07,67.89,86.46
Maharashtra,Beed,2023,85.98,62.54,83.86,80.85,42.49,23.28,47.28
Odisha,Dhenkanal,2021,51.49,91.55,67.15,42.49,66.74,36.03,83.49
Punjab,Bathinda,2023,18.61,29.17,77.28,64.19,85.13,38.19,26.61
Tamil Nadu,Thiruvallur,2018,79.48,79.49,79.49,98.93,23.35,83.4,94.52
Assam,Cachar,2022,85.5,98.13,75.13,25.09,38.0,39.51,40.24
Uttar Pradesh,Shahjahanpur,2015,11.66,70.33,76.62,72.99,91.79,56.12,31.89
Uttar Pradesh,Ballia,2016,82.34,34.54,90.17,95.16,18.53,51.64,54.63
Tripura,South Tripura,2025,71.89,23.43,25.74,33.56,59.5,10.61,21.79
Arunachal Pradesh,Leparada,2025,64.71,84.03,25.83,20.59,91.17,22.58,43.29
Tripura,Dhalai,2017,34.05,82.62,29.3,85.78,86.28,13.19,77.5
Assam,Dima Hasao,2025,78.64,67.85,51.63,22.74,47.79,59.1,45.81
Uttarakhand,Champawat,2022,69.1,75.16,29.23,80.48,57.84,35.18,92.5
Haryana,Yamunanagar,2021,69.87,26.04,10.44,88.73,70.39,25.48,14.42
Andhra Pradesh,Kakinada,2015,12.91,66.32,19.12,56.41,16.08,87.12,73.78
Odisha,Jajpur,2021,23.79,28.69,60.95,59.32,67.83,84.19,46.89
Uttar Pradesh,Chitrakoot,2022,63.1,79.32,37.19,71.1,85.49,30.43,59.51
Odisha,Nuapada,2024,96.88,10.27,38.79,94.87,17.23,15.48,88.57
Gujarat,Patan,2023,37.99,86.78,48.14,59.34,56.69,44.1,79.32
Karnataka,Bengaluru Urban,2016,18.93,73.19,62.57,58.01,68.49,59.85,99.52
Karnataka,Chikkaballapur,2020,43.8,78.25,82.64,78.37,88.98,63.82,51.4
Telangana,Mancherial,2022,83.17,89.55,39.08,96.13,65.16,29.24,62.71
Meghalaya,North Garo Hills,2015,27.21,73.84,47.59,62.51,52.41,69.32,76.23
Tamil Nadu,Pudukkottai,2018,49.92,35.06,80.06,20.69,70.68,20.38,17.62
Bihar,Gopalganj,2025,21.01,81.05,46.06,51.32,98.09,19.89,70.09
Meghalaya,East Khasi Hills,2020,98.6,31.23,85.73,15.85,36.42,23.77,11.24
Jharkhand,Chatra,2020,46.79,40.29,32.47,83.67,60.01,11.01,18.23
Haryana,Kaithal,2017,49.87,99.13,90.92,65.0,67.34,53.13,58.54
Assam,Nalbari,2016,46.2,35.96,58.26,56.31,86.1,22.74,20.15
Uttar Pradesh,Aligarh,2024,79.62,56.91,84.71,31.23,20.89,26.02,57.93
Odisha,Balasore,2023,55.27,20.27,13.98,26.52,39.37,89.21,32.48
Tamil Nadu,Theni,2025,93.28,12.33,73.82,95.23,13.27,29.31,35.96
Bihar,Gaya,2022,76.23,85.68,14.86,47.75,34.14,19.48,82.06
Uttar Pradesh,Pratapgarh,2020,43.47,32.77,10.89,21.11,54.75,51.73,22.72
Haryana,Sonipat,2017,54.47,48.91,97.34,30.23,81.22,68.83,80.38
Gujarat,Sabarkantha,2021,29.92,82.19,30.09,77.15,14.82,50.02,37.25
Karnataka,Ballari,2024,83.78,33.49,69.05,99.87,39.44,45.84,51.74
Jharkhand,Gumla,2015,49.09,16.41,87.4,74.59,14.05,54.71,33.35
Bihar,Jehanabad,2020,14.9,52.72,84.75,20.91,61.91,54.67,66.51
Odisha,Sonepur,2020,62.45,43.59,16.79,93.06,77.25,33.77,66.95
Rajasthan,Tonk,2016,66.32,19.43,58.72,66.52,73.41,56.56,14.49
Manipur,Tengnoupal,2025,93.71,67.73,65.88,90.59,43.7,98.22,36.52
Uttar Pradesh,Budaun,2021,81.28,89.82,23.08,99.41,35.02,26.36,32.13
Uttar Pradesh,Mirzapur,2018,63.25,25.1,13.28,77.48,82.47,42.92,30.38
Gujarat,Tapi,2015,47.47,61.38,19.31,20.0,37.56,59.82,64.21
Arunachal Pradesh,Lepa Rada,2020,68.05,78.23,32.29,41.27,66.09,32.3,80.79
Gujarat,Amreli,2024,20.67,12.24,42.57,88.75,60.84,82.96,56.26
Assam,Kokrajhar,2016,47.25,97.91,37.01,27.53,31.76,30.7,31.49
Chhattisgarh,Bilaspur,2022,97.78,15.3,37.91,41.84,83.03,18.17,71.92
Rajasthan,Ajmer,2022,90.2,31.87,99.5,62.6,56.65,21.5,63.47
Karnataka,Vijayanagara,2025,25.36,52.19,69.34,39.2,37.53,53.52,61.16
Bihar,Sheikhpura,2023,59.2,76.4,19.59,91.08,39.97,21.61,61.17
Tamil Nadu,Tirupathur,2015,57.53,46.05,38.61,32.62,67.04,15.3,87.26
Odisha,Ganjam,2025,49.66,25.22,90.69,11.82,67.58,33.05,67.88
Odisha,Dhenkanal,2018,80.49,78.65,70.94,70.3,78.21,79.18,46.72
Uttarakhand,Udham Singh Nagar,2022,27.45,42.16,65.31,36.82,52.64,66.02,95.28
Odisha,Kalahandi,2017,24.99,18.94,21.9,77.1,42.8,69.89,42.37
Himachal Pradesh,Kangra,2019,84.35,14.43,27.79,44.04,91.63,68.71,35.15
Telangana,Warangal,2024,76.71,37.47,17.72,87.98,19.82,48.82,61.46
Arunachal Pradesh,Leparada,2019,85.38,80.37,17.96,19.57,85.37,38.17,99.56
Uttar Pradesh,Baghpat,2021,70.16,45.43,41.52,18.73,49.35,46.19,72.38
Uttar Pradesh,Ayodhya,2025,27.24,31.62,26.26,31.32,97.43,74.85,82.65
Uttar Pradesh,Muzaffarnagar,2019,76.18,31.66,86.33,61.42,30.72,33.52,83.81
Rajasthan,Banswara,2019,43.37,85.52,43.13,75.27,33.31,18.32,25.35
Arunachal Pradesh,Pakke-Kessang,2022,40.83,22.39,20.3,30.85,24.64,36.49,36.91
Andhra Pradesh,West Godavari,2020,73.03,10.19,70.83,56.1,45.32,97.65,98.52
Karnataka,Bidar,2021,96.49,51.38,99.79,95.23,44.74,95.02,53.11
Telangana,Vikarabad,2021,48.01,17.52,42.94,85.79,38.66,19.33,81.55
Madhya Pradesh,Gwalior,2017,27.77,13.62,67.15,78.21,71.57,58.82,64.57
Gujarat,Chhota Udepur,2025,35.81,85.87,41.99,72.13,37.02,65.27,74.64
Gujarat,Morbi,2020,47.52,66.03,45.46,51.79,79.34,77.11,36.24
Chhattisgarh,Janjgir-Champa,2020,82.16,18.61,97.93,73.57,31.01,38.35,79.85
Chhattisgarh,Kabirdham,2022,99.25,91.65,99.56,29.44,85.38,29.46,96.5
Sikkim,Gangtok,2022,25.45,65.48,74.52,15.42,19.76,43.51,36.14
Meghalaya,Ri Bhoi,2023,21.12,52.82,17.77,51.47,65.46,73.32,91.63
Tripura,South Tripura,2015,48.13,40.69,94.38,16.59,42.83,53.71,76.41
Chhattisgarh,Kondagaon,2018,28.74,27.86,76.25,21.77,85.64,88.66,66.44
Arunachal Pradesh,Kurung Kumey,2023,54.13,30.98,99.12,16.59,37.67,66.98,45.91
Telangana,Hanamkonda,2023,73.6,48.55,31.61,24.21,93.55,24.36,36.51
Telangana,Komaram Bheem Asifabad,2024,49.35,64.89,80.42,37.74,17.4,27.71,97.81
Karnataka,Chikkaballapur,2024,59.22,95.72,82.5,40.78,51.68,72.98,79.31
Jharkhand,Latehar,2019,19.84,72.91,30.07,99.92,11.01,99.23,46.11
Karnataka,Bengaluru Rural,2019,73.49,27.52,98.09,17.61,91.13,32.54,84.31
Telangana,Nirmal,2021,85.3,60.75,95.97,46.98,89.31,81.42,67.63
Punjab,Rupnagar,2020,58.52,28.81,65.65,71.25,69.67,84.09,38.48
Tamil Nadu,Kallakurichi,2025,96.56,19.61,99.31,97.15,17.42,97.0,64.96
Uttar Pradesh,Etawah,2024,66.52,74.37,96.13,43.26,67.47,64.83,64.71
Nagaland,Peren,2022,49.38,84.19,16.99,20.27,96.19,62.66,61.18
Arunachal Pradesh,Papum Pare,2016,27.38,60.85,42.05,17.67,31.74,44.12,46.66
Odisha,Kendrapara,2025,60.19,46.3,99.25,34.89,47.41,13.84,93.92
Tamil Nadu,Vellore,2017,52.37,25.43,34.55,34.45,66.4,66.13,27.67
Kerala,Kottayam,2018,27.34,78.96,68.24,78.79,79.41,60.74,74.08
Uttar Pradesh,Moradabad,2025,92.77,36.19,50.51,87.61,91.21,13.61,20.49
Tripura,Sepahijala,2018,27.01,45.31,46.85,27.15,12.93,55.37,57.06
Telangana,Khammam,2022,66.57,55.67,56.09,90.68,58.76,69.79,94.04
Haryana,Karnal,2016,59.69,47.29,42.7,91.18,22.4,46.42,94.68
West Bengal,Alipurduar,2017,40.81,41.35,30.4,86.83,42.96,69.38,75.91
Tripura,Unakoti,2018,20.1,59.16,61.04,35.04,25.09,54.25,29.23
Gujarat,Bhavnagar,2020,30.39,77.22,38.08,80.9,64.23,54.98,70.31
Manipur,Pherzawl,2017,86.22,80.57,84.91,63.33,67.28,38.98,34.07
Haryana,Ambala,2023,89.31,27.16,53.16,87.83,82.1,82.67,11.36
Punjab,Pathankot,2018,93.35,57.8,88.02,28.72,23.59,73.38,25.8
Haryana,Yamunanagar,2016,41.72,72.83,72.77,64.99,41.13,93.0,77.48
Telangana,Peddapalli,2019,14.26,52.91,51.71,83.1,69.94,92.07,22.39
Chhattisgarh,Sarangarh-Bilaigarh,2025,97.58,60.3,65.97,51.6,39.91,27.25,34.4
Punjab,Shaheed Bhagat Singh Nagar (Nawanshahr),2022,25.24,50.0,37.91,65.39,15.37,39.84,67.79
Gujarat,Mahisagar,2017,12.35,74.82,62.04,69.22,97.07,44.04,61.49
Manipur,Thoubal,2020,79.15,24.41,94.15,49.71,20.18,62.39,56.83
Uttar Pradesh,Siddharthnagar,2018,35.2,23.45,21.37,55.51,79.79,65.06,98.02
Uttar Pradesh,Bahraich,2018,32.54,66.37,59.58,73.49,68.73,44.78,43.43
Arunachal Pradesh,Papum Pare,2023,34.32,74.06,24.73,24.65,29.84,94.53,92.24
Arunachal Pradesh,Upper Siang,2021,89.45,47.69,70.89,75.99,16.24,11.56,66.41
West Bengal,Jalpaiguri,2019,37.49,60.45,41.09,43.03,29.32,28.03,25.16
Uttarakhand,Udham Singh Nagar,2018,75.4,91.11,11.16,78.76,54.92,95.02,42.0
Andhra Pradesh,Eluru,2018,32.38,28.02,57.95,47.82,13.58,40.12,22.27
Odisha,Angul,2022,28.45,98.83,78.21,21.25,14.43,17.72,26.43
Madhya Pradesh,Ratlam,2020,90.68,27.74,36.66,33.15,75.71,80.27,85.2
Himachal Pradesh,Lahaul & Spiti,2020,13.04,35.73,10.29,40.41,16.28,33.37,41.01
Assam,Dibrugarh,2020,19.87,91.72,16.88,12.19,38.13,58.39,86.94
Haryana,Kurukshetra,2015,98.92,22.01,11.53,97.38,69.18,68.6,90.5
Tamil Nadu,Chengalpattu,2016,29.32,41.86,40.43,29.59,83.4,90.61,51.69
Meghalaya,South Garo Hills,2017,16.83,26.2,56.73,79.99,98.9,53.62,55.83
Arunachal Pradesh,Lower Siang,2023,38.35,74.35,11.0,99.56,85.48,51.98,56.63
Andhra Pradesh,Chittoor,2021,86.07,77.3,99.41,71.06,72.6,28.68,87.91
Uttar Pradesh,Fatehpur,2024,27.63,42.33,22.48,75.76,24.55,49.62,57.9
Madhya Pradesh,Harda,2020,42.82,18.2,93.88,18.88,73.2,39.03,69.2
Tamil Nadu,Thanjavur,2025,76.09,87.39,53.58,47.09,33.91,28.44,48.5
Maharashtra,Washim,2021,52.84,93.89,64.36,64.53,80.38,75.24,31.91
Arunachal Pradesh,Papum Pare,2019,34.15,32.14,85.99,67.01,49.99,82.55,55.47
Haryana,Jind,2015,40.22,89.29,15.08,82.82,13.3,42.59,78.62
Uttar Pradesh,Ghazipur,2017,49.27,78.56,14.37,90.88,11.7,11.35,18.29
Odisha,Kendujhar (Keonjhar),2018,39.12,19.83,58.93,78.92,99.03,34.29,11.12
Assam,Hojai,2016,77.39,38.1,50.97,61.29,78.69,93.11,43.85
Uttar Pradesh,Sonbhadra,2024,86.36,76.18,44.36,42.23,13.91,35.14,55.08
Madhya Pradesh,Vidisha,2020,62.97,81.23,69.13,41.46,59.62,46.61,50.72
Andhra Pradesh,Sri Sathya Sai,2021,27.22,90.14,65.41,77.88,47.35,64.99,78.39
Madhya Pradesh,Morena,2017,10.14,98.63,33.86,46.36,20.71,44.83,80.27
Arunachal Pradesh,Anjaw,2023,59.92,91.85,21.61,99.33,57.81,34.51,19.08
Uttar Pradesh,Banda,2024,46.93,15.69,48.93,50.61,19.01,12.42,78.78
Madhya Pradesh,Katni,2024,61.27,38.13,77.92,90.19,42.96,56.69,20.33
Kerala,Malappuram,2022,46.7,36.3,49.91,17.1,83.7,20.53,76.12
Jharkhand,Hazaribagh,2020,21.86,50.76,28.41,14.79,33.58,39.4,75.06
Chhattisgarh,Mahasamund,2022,67.8,33.2,84.06,91.91,43.1,10.66,75.71
Telangana,Mahabubabad,2017,31.54,42.15,26.5,96.53,59.4,68.39,26.41
Madhya Pradesh,Chhatarpur,2019,70.49,45.67,20.55,34.39,59.37,96.88,53.89
Maharashtra,Yavatmal,2020,57.63,53.3,36.61,86.94,70.96,51.84,41.11
Mizoram,Saiha,2017,99.15,86.79,79.43,82.08,20.25,65.73,24.87
Uttar Pradesh,Mahoba,2022,96.07,36.78,49.78,51.38,92.8,67.27,72.61
Rajasthan,Dholpur,2023,96.72,16.09,58.44,64.84,36.66,38.5,15.38
West Bengal,Darjeeling,2023,66.52,55.17,82.27,78.27,13.14,47.92,13.29
Telangana,Kamareddy,2025,10.06,25.82,40.14,27.03,39.16,29.0,53.19
