state,district,year,internet_users,broadband_users,mobile_subscribers,internet_penetration,5g_coverage,data_usage,digital_services
Rajasthan,Kotputli-Behror,2023,55.88,38.55,24.57,82.87,40.74,56.87,42.47
Madhya Pradesh,Harda,2022,11.93,48.16,77.94,23.9,24.79,64.12,13.87
Meghalaya,North Garo Hills,2024,48.62,79.85,38.23,62.77,73.73,63.53,64.38
Telangana,Jogulamba Gadwal,2023,91.38,99.26,34.89,16.85,73.16,16.39,80.82
Maharashtra,Jalgaon,2019,75.21,12.36,63.43,70.38,24.95,82.65,60.2
Madhya Pradesh,Bhopal,2016,90.28,41.07,72.54,46.05,56.45,31.78,97.19
Himachal Pradesh,Kangra,2019,88.62,58.71,10.18,56.89,59.9,91.03,42.63
Jharkhand,Seraikela-Kharsawan,2023,88.2,29.83,16.73,10.41,15.77,41.48,86.01
Madhya Pradesh,Rajgarh,2018,28.92,14.15,98.75,21.75,52.73,32.23,67.61
Maharashtra,Satara,2024,27.67,18.83,81.21,73.91,29.91,23.65,13.31
Chhattisgarh,Bilaspur,2023,57.3,86.48,37.74,76.98,83.39,70.04,44.26
Maharashtra,Gadchiroli,2025,10.63,89.29,92.94,57.27,47.67,82.6,13.68
West Bengal,Bankura,2023,97.6,95.06,67.76,92.94,55.67,87.21,37.07
Chhattisgarh,Gariaband,2025,56.42,85.9,31.05,90.02,16.96,57.24,19.03
Gujarat,Mahisagar,2017,82.91,38.05,24.1,88.84,33.55,21.76,93.61
Karnataka,Mandya,2023,39.02,25.22,74.18,39.95,31.04,72.57,78.87
Assam,Golaghat,2022,99.6,27.62,21.99,78.37,87.16,42.99,36.24
Himachal Pradesh,Chamba,2025,36.3,58.33,65.87,96.28,98.05,24.45,21.58
Rajasthan,Jaipur,2019,75.74,30.19,87.77,60.8,11.74,69.34,86.98
Uttar Pradesh,Amethi,2017,82.08,17.31,45.6,89.35,87.81,18.64,29.19
Rajasthan,Bundi,2023,15.83,83.07,55.61,73.48,82.28,58.45,85.32
Odisha,Cuttack,2022,61.34,57.04,53.47,44.44,83.92,38.27,90.7
Manipur,Kangpokpi,2019,26.28,19.73,14.25,90.01,14.43,11.73,73.31
Assam,Dhubri,2018,92.85,99.64,73.4,87.86,89.27,75.99,67.27
Maharashtra,Buldhana,2015,86.55,78.22,10.67,84.86,47.84,83.91,79.11
Odisha,Kendrapara,2022,72.43,53.93,18.84,60.28,50.21,72.28,14.77
West Bengal,North 24 Parganas,2024,14.67,10.35,98.12,23.95,43.29,75.41,18.18
Maharashtra,Jalna,2021,73.81,94.47,84.8,41.17,26.07,70.67,65.82
Telangana,Wanaparthy,2017,56.12,89.36,95.61,47.07,27.61,72.0,64.5
Madhya Pradesh,Barwani,2016,83.96,94.03,79.81,80.89,72.11,63.99,66.73
Uttar Pradesh,Kaushambi,2017,61.27,44.12,77.77,58.13,15.22,88.24,79.5
Punjab,Sahibzada Ajit Singh Nagar (Mohali),2016,54.03,37.01,12.32,84.69,91.48,44.07,85.36
Tamil Nadu,Salem,2016,77.48,15.62,77.3,28.88,28.57,69.4,64.38
Meghalaya,East Jaintia Hills,2018,98.78,28.93,93.08,12.46,42.74,31.22,18.77
Assam,Dhemaji,2025,60.07,16.7,35.07,91.4,88.58,31.9,99.71
Tamil Nadu,Tiruppur,2021,91.83,77.06,42.95,55.19,32.21,85.56,66.37
Nagaland,Wokha,2025,83.5,85.67,46.76,39.66,94.35,17.0,87.21
Karnataka,Raichur,2020,53.35,36.64,59.87,51.15,73.54,27.49,97.0
Telangana,Sangareddy,2020,56.97,23.43,11.36,70.7,89.52,31.42,98.68
Uttar Pradesh,Bahraich,2019,59.06,68.17,51.69,41.93,77.7,39.81,35.55
Telangana,Vikarabad,2023,52.11,71.35,66.56,92.62,61.9,28.94,75.31
Uttar Pradesh,Hamirpur,2018,63.19,65.38,80.27,25.66,26.37,82.66,13.32
Madhya Pradesh,Chhindwara,2019,10.89,28.27,28.95,71.74,40.55,90.47,46.09
Gujarat,Junagadh,2019,68.42,61.74,82.18,57.7,60.81,92.46,17.53
Arunachal Pradesh,Siang,2018,60.44,58.27,37.58,44.56,86.23,24.59,53.81
Arunachal Pradesh,Tawang,2024,28.99,98.99,87.53,20.45,52.86,19.19,61.86
Bihar,Nawada,2016,15.23,13.48,32.31,84.85,33.97,50.14,48.71
Uttarakhand,Champawat,2015,71.21,89.33,24.7,55.3,10.94,20.1,80.21
Punjab,Sri Muktsar Sahib,2022,67.78,75.02,66.74,87.59,92.25,36.61,55.05
Rajasthan,Neem Ka Thana,2015,46.41,32.4,98.43,20.65,85.25,96.39,65.41
Telangana,Nirmal,2019,86.12,20.84,42.22,20.17,62.89,23.64,57.29
Assam,Barpeta,2017,30.94,46.34,99.06,86.69,91.87,52.29,58.34
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2024,68.2,91.4,30.43,59.44,39.53,86.08,22.38
Telangana,Medchal-Malkajgiri,2017,40.17,52.23,34.86,86.34,98.16,57.33,11.92
Himachal Pradesh,Shimla,2017,74.65,95.78,16.85,54.24,63.57,65.28,80.14
West Bengal,Kalimpong,2020,92.2,93.53,90.99,68.35,76.01,55.51,69.77
Haryana,Kaithal,2025,60.05,41.02,14.78,94.62,35.79,49.37,22.81
Haryana,Rewari,2016,75.88,54.11,20.53,82.71,72.01,84.02,81.92
Madhya Pradesh,Jabalpur,2025,10.79,81.09,67.63,24.37,86.5,55.1,38.11
Maharashtra,Nagpur,2023,43.86,56.83,18.31,65.08,13.53,59.57,34.58
Meghalaya,West Khasi Hills,2017,86.13,62.07,17.61,85.64,87.56,46.63,10.1
Sikkim,Mangan,2017,60.38,21.32,51.84,87.36,74.56,32.37,31.1
Rajasthan,Phalodi,2025,16.1,92.7,94.65,85.42,19.44,26.04,42.81
Maharashtra,Nagpur,2025,50.34,76.31,79.61,70.4,56.91,61.29,56.03
Andhra Pradesh,NTR,2017,21.52,30.41,48.14,93.88,24.22,68.64,51.71
Uttar Pradesh,Barabanki,2020,35.3,53.01,31.47,58.46,36.73,85.98,45.66
Rajasthan,Kota,2024,99.18,38.8,64.63,94.87,64.95,54.54,72.31
Odisha,Bhadrak,2018,79.26,28.82,80.85,33.78,95.09,97.75,17.07
Andhra Pradesh,Visakhapatnam,2024,91.98,10.34,79.91,52.36,19.87,30.44,70.45
Madhya Pradesh,Maihar,2015,69.77,98.16,78.32,18.01,54.03,82.43,31.35
Karnataka,Hassan,2021,33.3,99.04,23.03,81.67,23.31,68.24,67.77
Punjab,Malerkotla,2025,66.34,26.45,37.8,63.53,35.85,67.87,95.68
Rajasthan,Karauli,2024,85.96,69.3,16.61,42.13,90.06,78.59,73.71
Arunachal Pradesh,Anjaw,2024,69.22,61.33,41.7,39.79,46.7,60.74,28.31
Uttar Pradesh,Jalaun,2017,28.86,47.89,78.31,63.58,75.34,25.36,78.28
Uttar Pradesh,Bulandshahr,2019,80.92,37.59,67.07,47.06,52.17,73.93,65.65
Uttar Pradesh,Balrampur,2021,46.17,92.8,73.04,75.49,19.3,70.87,36.07
Karnataka,Mandya,2015,46.59,91.97,73.72,35.63,48.29,26.8,95.37
Kerala,Kannur,2024,43.71,81.54,93.17,18.35,34.73,75.7,46.02
Arunachal Pradesh,West Siang,2024,18.05,20.42,29.14,60.98,29.19,21.32,36.49
Gujarat,Gandhinagar,2016,85.86,76.67,30.96,50.8,61.72,95.29,92.63
Kerala,Wayanad,2018,41.43,38.1,67.31,36.09,17.31,71.02,27.98
Bihar,Nawada,2025,26.63,73.28,93.86,30.18,54.2,18.54,72.59
Odisha,Kandhamal,2015,37.13,99.26,25.42,61.7,79.96,18.62,12.96
Himachal Pradesh,Solan,2023,23.6,40.64,71.7,30.49,63.55,34.67,43.08
Madhya Pradesh,Ratlam,2019,57.27,42.36,49.19,91.47,12.55,32.89,33.62
Uttar Pradesh,Kannauj,2021,33.5,19.76,91.89,39.63,26.79,70.86,65.33
Maharashtra,Chandrapur,2020,43.59,69.43,24.77,97.07,74.93,31.03,71.34
Bihar,Samastipur,2019,17.14,49.3,82.45,32.22,89.46,87.58,16.21
Haryana,Karnal,2018,53.29,19.42,46.77,15.95,38.36,81.48,15.01
Haryana,Hisar,2016,15.09,87.16,11.16,12.46,79.2,91.48,60.96
Tamil Nadu,Thiruvallur,2019,15.53,39.1,83.82,31.63,41.84,66.07,28.74
Uttar Pradesh,Chandauli,2018,58.13,89.66,29.31,18.38,10.0,44.87,98.67
Uttar Pradesh,Ambedkar Nagar,2020,13.48,97.64,32.79,52.78,54.35,77.26,87.77
Madhya Pradesh,Satna,2017,61.27,67.13,25.19,32.95,63.11,49.73,55.66
Uttar Pradesh,Bijnor,2016,88.98,73.01,54.46,26.69,61.01,78.68,73.7
Rajasthan,Sirohi,2017,14.55,47.46,19.28,43.89,50.7,90.33,59.55
Odisha,Dhenkanal,2024,26.19,38.12,64.17,79.24,48.78,27.4,82.49
Arunachal Pradesh,West Siang,2020,92.82,94.54,27.39,22.59,78.46,14.35,18.77
Madhya Pradesh,Rajgarh,2020,56.57,34.47,24.71,10.22,99.15,43.27,33.46
Uttar Pradesh,Shravasti,2021,16.41,74.48,93.06,21.9,94.27,48.21,39.07
Kerala,Kozhikode,2019,12.35,69.87,62.11,83.7,16.38,10.07,76.34
Arunachal Pradesh,East Kameng,2016,57.67,70.08,71.76,57.28,22.76,40.01,15.35
Assam,Sonitpur,2015,10.1,70.4,55.06,73.38,38.58,27.94,92.42
Assam,Chirang,2017,39.44,14.19,22.54,60.64,79.82,95.64,17.98
West Bengal,Paschim Bardhaman,2019,41.48,26.28,48.39,45.95,91.73,18.15,18.88
Chhattisgarh,Gariaband,2024,99.93,57.54,39.03,75.01,73.63,42.3,88.86
Himachal Pradesh,Sirmaur,2017,65.71,37.51,89.66,23.24,39.83,35.59,28.08
Maharashtra,Akola,2015,49.81,72.01,64.17,16.45,65.64,66.95,95.33
Odisha,Sundargarh,2022,90.92,51.74,33.89,17.71,34.87,20.03,37.97
Odisha,Kandhamal,2018,37.83,27.37,63.37,41.75,66.1,15.02,47.22
West Bengal,Purba Bardhaman,2019,90.92,12.38,69.09,26.4,49.62,74.47,75.58
Madhya Pradesh,Alirajpur,2018,25.59,89.73,29.57,10.28,23.52,97.86,84.11
Bihar,Saran,2025,20.16,47.22,78.51,50.46,76.6,13.22,62.15
Madhya Pradesh,Jabalpur,2025,39.0,92.66,30.31,38.45,71.68,84.13,57.35
Maharashtra,Parbhani,2025,73.19,63.49,26.23,75.64,71.17,46.54,31.18
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2015,19.11,24.32,86.74,55.8,90.45,24.03,85.22
Chhattisgarh,Kondagaon,2018,90.08,26.35,16.43,91.37,89.63,48.47,54.63
Assam,Cachar,2016,43.66,30.56,42.18,20.3,57.01,87.7,40.48
West Bengal,Jhargram,2024,95.13,41.47,89.6,70.68,66.82,73.25,74.8
Madhya Pradesh,Shajapur,2019,24.14,31.66,50.71,52.36,93.91,34.09,23.06
Telangana,Bhadradri Kothagudem,2018,47.8,11.73,11.64,59.41,14.1,33.39,89.32
Kerala,Ernakulam,2025,36.81,77.38,37.03,47.03,17.03,50.44,81.22
Odisha,Khordha,2021,41.66,85.21,86.89,95.31,82.98,94.8,15.85
Bihar,Madhubani,2025,66.29,61.3,88.1,21.57,44.58,33.67,95.87
Uttar Pradesh,Mainpuri,2016,11.85,38.89,96.68,10.65,23.91,63.18,20.6
Telangana,Jogulamba Gadwal,2018,88.89,25.42,88.72,36.71,57.74,24.18,78.35
Uttar Pradesh,Chandauli,2017,52.63,45.48,42.0,85.88,55.62,68.83,84.54
Jharkhand,Latehar,2019,81.86,80.4,77.49,17.37,73.37,28.45,10.83
Odisha,Balasore,2017,59.02,73.65,24.76,10.78,86.35,93.9,63.02
Tamil Nadu,Ariyalur,2019,13.98,35.15,72.59,77.07,41.29,19.5,94.62
Gujarat,Panchmahal,2020,56.54,68.01,18.41,45.9,68.42,53.24,82.7
Madhya Pradesh,Shajapur,2019,82.49,11.74,74.74,20.4,84.86,93.55,25.62
Madhya Pradesh,Shivpuri,2016,59.3,48.33,45.64,86.46,44.34,93.46,46.33
Rajasthan,Rajsamand,2016,70.4,89.08,42.57,30.77,77.64,38.46,95.91
Rajasthan,Udaipur,2025,47.28,86.49,86.87,71.87,22.33,91.44,37.14
Gujarat,Navsari,2025,48.63,38.52,55.65,81.11,88.97,73.85,75.55
Assam,Chirang,2018,88.18,26.92,22.1,36.13,10.44,93.06,31.96
Odisha,Jajpur,2016,34.14,12.68,30.47,88.15,50.57,75.51,75.26
Kerala,Pathanamthitta,2022,59.83,39.77,82.07,44.97,84.95,66.03,22.87
Karnataka,Kolar,2018,31.49,41.22,14.47,66.32,54.65,31.66,95.04
Madhya Pradesh,Ujjain,2021,52.79,77.09,76.22,77.73,42.4,85.2,97.03
Tamil Nadu,Theni,2019,86.82,39.05,63.14,24.41,25.72,86.7,31.82
Odisha,Kendujhar (Keonjhar),2017,42.04,75.48,82.61,39.25,61.91,79.79,88.32
Uttar Pradesh,Pilibhit,2025,68.7,38.71,22.58,86.97,61.2,59.31,38.6
Punjab,Sri Muktsar Sahib,2025,88.31,44.0,33.95,40.09,76.02,98.55,82.41
Uttar Pradesh,Bijnor,2024,35.73,84.96,48.34,80.48,63.05,61.25,24.58
Haryana,Kaithal,2016,18.28,97.77,27.33,80.09,39.86,40.37,11.94
Bihar,Munger,2023,78.52,80.4,59.15,38.96,48.31,33.99,69.49
Odisha,Bargarh,2019,36.23,17.56,81.13,43.86,74.12,27.43,98.11
Rajasthan,Pali,2021,51.75,37.67,99.8,52.23,40.72,40.2,22.97
Uttar Pradesh,Sonbhadra,2022,90.61,26.51,64.21,67.06,29.28,69.69,13.74
West Bengal,Paschim Bardhaman,2018,35.3,81.35,38.65,11.88,93.14,25.46,60.93
Madhya Pradesh,Sidhi,2024,82.44,53.03,31.41,20.5,76.75,88.39,36.81
Uttar Pradesh,Gorakhpur,2024,24.38,10.69,56.12,90.09,46.19,57.69,79.72
Chhattisgarh,Korea,2023,43.69,52.48,96.55,41.98,39.07,18.97,27.03
Nagaland,Zunheboto,2016,67.11,11.82,38.63,75.02,99.53,26.73,21.02
Madhya Pradesh,Morena,2019,56.15,65.38,13.67,44.7,17.89,84.58,27.32
Manipur,Thoubal,2024,64.61,80.65,45.01,94.69,70.04,29.0,68.39
Chhattisgarh,Surguja,2024,49.47,90.87,19.58,33.89,74.84,20.32,75.88
West Bengal,South 24 Parganas,2019,42.99,81.39,92.75,80.68,47.84,18.19,80.42
Kerala,Idukki,2024,85.5,65.86,95.04,27.29,73.78,67.6,51.07
Uttarakhand,Pithoragarh,2022,80.0,63.53,66.19,30.19,21.22,76.27,14.44
Telangana,Jogulamba Gadwal,2025,63.07,53.34,75.87,81.03,50.25,46.5,53.76
Uttar Pradesh,Prayagraj,2019,68.73,16.04,56.8,81.15,98.29,54.03,10.16
Haryana,Fatehabad,2025,41.66,65.11,15.01,64.08,22.34,98.7,20.98
Telangana,Nagarkurnool,2015,84.43,89.58,29.13,82.93,80.13,19.94,92.78
Uttar Pradesh,Baghpat,2022,45.09,93.89,77.69,72.95,55.13,28.63,48.1
Uttarakhand,Bageshwar,2022,72.66,35.04,90.79,39.24,23.43,85.17,47.32
Telangana,Nagarkurnool,2017,64.6,19.89,64.9,67.55,29.72,12.29,38.48
Assam,Nagaon,2024,32.91,27.87,82.82,84.7,96.52,44.67,17.53
Manipur,Imphal East,2017,55.75,43.15,55.19,57.98,39.64,20.76,33.28
Kerala,Palakkad,2018,64.96,84.78,65.39,42.23,77.23,80.68,35.66
Madhya Pradesh,Sidhi,2015,65.04,39.47,68.69,33.66,28.96,34.53,66.57
Telangana,Khammam,2023,42.64,37.91,82.77,28.82,27.56,67.63,74.52
Telangana,Khammam,2015,74.36,52.55,17.17,23.66,61.51,96.63,78.78
Rajasthan,Beawar,2023,12.35,24.57,93.03,51.46,45.1,28.13,94.21
Andhra Pradesh,Visakhapatnam,2015,60.08,71.24,34.77,28.14,44.45,42.7,37.17
Kerala,Alappuzha,2016,87.34,42.87,44.08,24.07,40.58,45.47,65.66
Andhra Pradesh,Bapatla,2015,39.05,72.74,94.73,21.71,89.87,86.56,97.63
Bihar,Patna,2015,93.53,36.32,62.34,54.36,71.58,78.09,10.52
Kerala,Alappuzha,2024,51.93,61.36,74.86,85.45,76.81,70.16,48.91
Jharkhand,Hazaribagh,2023,14.02,80.45,79.75,38.86,41.11,40.45,39.87
Bihar,Samastipur,2020,66.92,60.02,61.63,10.71,82.83,86.61,32.36
Karnataka,Mysuru,2021,50.03,41.43,92.3,57.35,84.6,14.43,15.28
Rajasthan,Phalodi,2023,24.9,90.75,27.62,71.22,61.71,45.78,73.31
Uttar Pradesh,Rae Bareli,2024,15.65,38.71,95.0,52.01,88.18,26.21,19.49
Uttar Pradesh,Gautam Buddha Nagar,2020,58.73,44.45,52.31,35.94,40.07,74.52,16.44
Tamil Nadu,Perambalur,2017,44.01,58.02,50.63,21.54,70.46,62.32,26.35
Chhattisgarh,Korea,2023,18.89,52.68,95.69,85.13,98.89,38.48,14.42
Uttar Pradesh,Bulandshahr,2015,19.64,92.44,16.11,33.13,92.72,38.64,22.91
Assam,Dibrugarh,2020,96.35,12.49,91.65,52.03,87.31,21.73,10.85
Haryana,Palwal,2015,43.35,14.08,81.87,15.51,56.06,49.5,58.68
Rajasthan,Sawai Madhopur,2020,52.62,82.05,40.97,19.75,93.13,49.26,85.33
Madhya Pradesh,Rajgarh,2019,64.58,75.93,97.41,93.79,85.28,57.63,45.3
Chhattisgarh,Mungeli,2019,25.59,60.68,98.05,85.82,81.41,33.96,39.87
Rajasthan,Didwana-Kuchaman,2018,66.89,84.19,65.35,77.9,22.05,20.5,76.28
Assam,Karbi Anglong,2021,77.01,28.25,79.74,42.57,90.34,11.17,39.92
Bihar,Madhubani,2022,78.85,73.24,95.57,40.38,42.25,35.12,11.0
Telangana,Siddipet,2016,17.6,26.85,62.97,79.12,48.14,50.4,68.28
Tamil Nadu,Virudhunagar,2023,28.81,98.22,31.95,11.71,88.81,43.0,38.1
Tamil Nadu,Namakkal,2016,28.07,57.91,98.33,76.17,72.48,54.19,45.79
Jharkhand,East Singhbhum,2017,60.98,87.37,27.32,94.42,24.13,25.37,32.22
Uttarakhand,Tehri Garhwal,2025,90.57,59.41,21.25,97.43,22.7,61.65,94.71
Odisha,Malkangiri,2017,79.48,95.43,71.68,17.21,77.25,56.27,10.47
Uttar Pradesh,Rampur,2019,75.77,85.59,64.64,49.07,99.74,76.98,10.65
Madhya Pradesh,Rajgarh,2020,75.88,89.84,51.99,34.35,83.72,12.71,62.95
Rajasthan,Jaisalmer,2024,23.34,11.5,97.96,74.02,58.93,81.45,51.26
Manipur,Imphal West,2022,20.62,39.09,90.44,92.67,36.5,13.32,30.31
Manipur,Jiribam,2015,73.26,29.29,96.04,92.02,81.99,96.89,25.25
Gujarat,Mahisagar,2020,75.71,91.88,17.05,34.51,46.09,93.76,22.24
Mizoram,Serchhip,2022,34.89,56.48,71.03,96.96,66.53,11.95,33.17
Uttar Pradesh,Moradabad,2018,97.77,69.48,14.56,32.11,24.23,28.73,69.96
Uttar Pradesh,Sambhal,2023,57.79,12.74,89.25,79.86,21.27,98.8,23.1
Maharashtra,Chandrapur,2023,75.81,96.72,96.88,97.42,33.48,92.91,71.33
Arunachal Pradesh,Changlang,2015,70.03,75.57,27.49,38.22,34.25,86.91,91.31
Tamil Nadu,Cuddalore,2021,34.98,32.24,91.31,35.0,73.79,99.57,60.86
Gujarat,Mahisagar,2023,27.41,90.66,76.61,90.04,35.96,49.5,10.51
Sikkim,Soreng,2024,12.15,29.05,45.66,30.21,12.75,79.48,25.59
Andhra Pradesh,YSR Kadapa,2020,40.04,40.66,17.33,76.98,91.43,28.29,43.87
Punjab,Pathankot,2024,75.28,45.92,40.23,36.24,13.72,79.95,99.22
Bihar,Khagaria,2018,63.8,84.0,68.44,46.7,69.95,13.41,54.01
Assam,Biswanath,2021,69.92,86.66,10.07,50.58,21.89,81.45,56.94
Uttarakhand,Udham Singh Nagar,2019,91.08,98.87,53.26,97.19,77.43,29.86,60.77
Madhya Pradesh,Chhatarpur,2021,96.04,77.02,43.72,50.54,88.64,92.92,19.24
Kerala,Kasaragod,2021,55.47,70.45,26.52,31.44,82.21,81.48,29.6
Assam,Jorhat,2024,26.11,99.45,39.37,33.42,79.21,64.01,38.63
Jharkhand,Hazaribagh,2015,37.77,27.85,27.65,26.18,71.11,30.56,66.82
Arunachal Pradesh,Papum Pare,2023,43.13,54.24,76.08,73.18,65.38,69.2,69.78
Mizoram,Lunglei,2023,45.92,65.3,12.05,79.66,33.86,37.28,29.44
Uttar Pradesh,Rampur,2015,12.96,54.82,83.03,58.84,89.69,74.39,95.28
Meghalaya,South West Garo Hills,2017,28.78,68.13,98.67,77.89,43.28,90.22,82.54
Tamil Nadu,Tenkasi,2018,80.95,47.99,59.67,36.79,26.46,37.65,70.69
Madhya Pradesh,Jhabua,2018,44.06,71.37,38.21,59.66,58.96,66.54,85.35
Haryana,Sirsa,2022,57.18,47.47,19.44,13.55,17.81,58.95,66.79
West Bengal,Paschim Medinipur,2021,61.62,67.56,92.72,56.45,71.26,91.15,40.12
Uttar Pradesh,Baghpat,2024,72.08,63.44,45.22,66.32,86.05,51.74,59.34
Tamil Nadu,Vellore,2019,34.74,61.37,37.72,73.46,14.34,87.62,67.49
Telangana,Jagtial,2022,73.25,25.96,31.55,80.12,38.73,37.03,26.07
Mizoram,Hnahthial,2020,57.43,83.64,15.65,54.61,87.62,29.97,51.65
Maharashtra,Amravati,2021,88.22,38.9,92.14,40.1,25.87,57.36,37.77
Andhra Pradesh,Eluru,2022,85.95,10.62,34.81,10.04,27.86,64.34,37.22
Telangana,Bhadradri Kothagudem,2017,24.89,94.49,95.94,11.96,94.86,63.22,30.5
Tamil Nadu,Cuddalore,2019,38.04,24.93,19.8,14.36,53.2,91.88,68.6
Chhattisgarh,Rajnandgaon,2025,95.25,21.09,31.78,10.91,11.01,37.45,13.52
Uttar Pradesh,Amethi,2025,77.77,89.85,42.18,53.09,75.45,65.09,28.9
Andhra Pradesh,Visakhapatnam,2021,16.37,88.94,35.5,26.47,33.45,21.2,74.94
Jharkhand,Godda,2022,51.39,79.86,83.53,84.65,95.41,69.49,45.99
Odisha,Kendujhar (Keonjhar),2019,53.47,81.4,46.18,16.93,74.49,27.79,12.45
Uttar Pradesh,Moradabad,2021,12.08,38.7,51.97,43.88,51.38,28.33,27.11
Uttar Pradesh,Lucknow,2018,51.73,99.72,15.82,30.45,48.81,81.33,82.22
Haryana,Hisar,2017,33.35,14.52,66.37,26.57,32.61,48.47,40.42
Kerala,Kasaragod,2025,50.84,11.82,33.42,90.6,44.43,68.94,36.94
Manipur,Noney,2016,13.81,30.95,44.97,40.92,72.56,53.1,62.14
Uttar Pradesh,Chandauli,2017,93.38,40.61,66.38,35.75,60.17,54.82,42.66
Gujarat,Vadodara,2018,63.0,79.05,36.36,40.1,39.66,72.78,63.42
Telangana,Siddipet,2020,59.58,55.21,34.07,72.75,75.46,22.12,66.11
Jharkhand,Sahebganj,2017,84.13,58.15,33.39,77.78,88.66,85.08,52.29
Odisha,Nabarangpur,2025,16.82,61.42,62.7,88.62,36.19,59.22,12.85
Nagaland,Kohima,2021,89.24,37.68,15.43,75.25,48.78,77.48,89.46
Karnataka,Kolar,2019,51.02,23.22,74.88,59.44,68.22,63.39,41.16
Gujarat,Kheda,2023,96.46,69.6,38.78,62.93,58.52,74.6,45.76
Odisha,Cuttack,2021,22.88,77.04,47.87,47.78,33.99,54.89,89.04
West Bengal,Kolkata,2024,80.22,93.48,59.85,90.64,18.84,63.29,33.4
Bihar,Lakhisarai,2015,22.24,45.91,85.1,40.08,77.15,15.19,51.02
Tripura,West Tripura,2025,24.43,57.27,27.44,64.31,72.79,51.86,11.93
Jharkhand,Bokaro,2019,23.83,46.46,15.11,51.28,77.82,62.87,87.54
Assam,Golaghat,2019,46.78,11.78,45.03,37.92,37.59,55.21,88.19
Jharkhand,Seraikela-Kharsawan,2018,55.31,92.53,75.01,84.15,85.68,79.23,26.55
Assam,Dhemaji,2015,72.08,61.37,96.92,86.12,71.04,29.65,86.22
Nagaland,Phek,2015,45.64,82.8,58.79,21.14,84.59,45.45,98.13
Uttar Pradesh,Sonbhadra,2017,60.56,50.44,29.65,64.21,48.15,80.06,62.9
Chhattisgarh,Dhamtari,2020,77.04,92.26,16.25,19.41,88.41,36.58,77.58
Sikkim,Namchi,2024,77.01,19.85,28.85,69.17,45.69,71.57,26.91
Mizoram,Aizawl,2020,95.82,57.66,95.47,15.69,66.83,62.22,72.6
Meghalaya,West Jaintia Hills,2024,30.14,62.47,64.39,42.62,64.06,22.43,29.89
Maharashtra,Latur,2018,24.03,76.47,76.12,14.41,62.54,10.61,98.36
Tamil Nadu,Virudhunagar,2018,89.16,28.26,98.55,31.84,69.94,21.45,93.92
Himachal Pradesh,Mandi,2022,91.17,61.42,82.31,10.4,39.06,20.72,55.27
Punjab,Sangrur,2024,86.42,79.57,94.07,99.97,88.9,42.5,63.43
Mizoram,Lunglei,2024,29.65,22.75,38.18,91.8,79.99,95.84,97.92
Assam,Majuli,2020,10.52,17.9,17.18,45.47,70.25,60.65,82.06
Uttar Pradesh,Mahoba,2020,91.87,98.49,71.04,47.01,20.6,85.12,87.26
Haryana,Charkhi Dadri,2016,36.6,69.53,81.09,61.99,50.77,51.8,77.17
Gujarat,Patan,2025,83.39,88.49,86.63,83.84,56.63,57.41,96.72
Rajasthan,Bikaner,2017,36.26,26.37,36.16,36.17,20.94,68.48,25.16
Gujarat,Navsari,2022,26.24,93.22,60.43,81.2,98.2,10.56,81.8
Odisha,Koraput,2023,68.96,44.44,36.69,86.97,29.33,85.39,89.8
Uttar Pradesh,Balrampur,2022,87.31,81.71,84.7,70.17,84.57,79.45,85.92
Uttar Pradesh,Mahoba,2023,75.03,79.03,32.53,37.34,15.6,77.47,27.91
Arunachal Pradesh,Longding,2023,92.79,72.49,77.6,95.85,77.24,96.1,46.51
Punjab,Tarn Taran,2023,81.32,81.85,51.98,72.0,19.85,33.41,16.77
Karnataka,Kodagu,2017,38.41,80.93,39.11,30.43,25.27,71.01,61.94
Tamil Nadu,Tiruchirappalli,2016,39.04,17.18,67.38,74.37,60.56,53.84,23.7
Gujarat,Jamnagar,2015,30.99,88.2,82.16,69.51,81.08,81.63,66.47
Jharkhand,Seraikela-Kharsawan,2021,73.79,42.77,80.15,20.85,60.39,72.01,40.33
Maharashtra,Raigad,2020,25.1,21.9,13.64,61.34,97.29,27.73,12.1
Chhattisgarh,Bilaspur,2019,98.61,77.74,40.98,38.18,29.35,10.42,62.16
Andhra Pradesh,Prakasam,2015,95.17,59.65,83.08,20.67,86.3,88.15,67.55
Rajasthan,Didwana-Kuchaman,2024,94.78,83.29,25.35,93.16,91.46,90.77,32.31
Tamil Nadu,Salem,2015,35.86,60.77,26.38,88.06,36.68,91.15,15.92
Uttar Pradesh,Kanpur Dehat,2022,47.65,74.5,93.17,19.94,67.19,37.42,76.58
Madhya Pradesh,Ratlam,2020,82.96,67.99,77.96,73.91,25.02,95.43,81.33
Bihar,Lakhisarai,2025,37.14,24.22,86.62,13.46,42.71,35.8,54.4
Rajasthan,Anupgarh,2025,67.45,41.07,99.79,86.34,45.66,72.22,45.78
Manipur,Bishnupur,2020,36.25,96.65,24.27,51.89,23.84,84.09,82.43
Uttar Pradesh,Pilibhit,2022,49.17,82.37,88.15,75.9,61.91,75.01,11.78
Rajasthan,Khairthal-Tijara,2024,55.16,77.21,22.87,18.13,26.57,47.86,51.73
Uttarakhand,Uttarkashi,2018,10.05,72.31,23.8,33.75,38.78,64.91,68.5
