state,district,year,poverty_rate,below_poverty_line,unemployment_rate,income_per_capita,social_welfare_spending,food_insecurity,homelessness
Manipur,Imphal East,2019,71.79,50.41,97.11,40.87,22.89,41.2,67.89
Assam,Tinsukia,2018,50.38,96.5,54.46,53.15,94.84,47.19,79.12
Uttar Pradesh,Deoria,2017,33.5,69.92,94.1,37.7,32.82,89.82,97.23
Punjab,Ludhiana,2017,42.82,97.78,95.85,79.11,61.35,24.4,81.19
Assam,Udalguri,2016,30.59,81.1,82.12,93.53,86.72,85.04,52.36
Rajasthan,Salumbar,2018,39.44,27.42,16.9,27.43,66.56,50.29,86.3
Bihar,Patna,2022,74.4,30.56,59.77,90.23,96.41,99.56,55.37
Arunachal Pradesh,Lepa Rada,2019,94.91,98.2,76.57,76.12,25.51,54.85,11.74
Uttar Pradesh,Basti,2025,96.33,59.66,49.15,17.37,44.38,86.31,20.73
Arunachal Pradesh,Kra Daadi,2023,36.4,41.57,86.14,97.13,95.99,73.01,22.9
Manipur,Imphal West,2020,15.96,34.9,55.11,37.55,96.56,11.33,89.72
Telangana,Bhadradri Kothagudem,2017,81.77,62.79,57.76,61.18,54.51,69.85,59.71
Tamil Nadu,Tiruvannamalai,2024,68.81,19.11,71.99,23.25,53.59,79.24,46.76
Himachal Pradesh,Kinnaur,2018,79.53,22.91,54.14,52.76,82.38,25.01,51.01
Jharkhand,Godda,2018,17.2,61.41,64.81,63.78,45.03,56.79,58.35
Karnataka,Uttara Kannada,2018,29.14,47.77,75.04,95.95,72.93,38.39,75.95
Manipur,Pherzawl,2020,65.89,28.87,46.22,83.07,45.88,31.81,88.5
Odisha,Angul,2025,51.37,60.74,14.2,35.94,14.37,73.3,94.85
Meghalaya,East Garo Hills,2023,18.51,22.75,99.88,52.39,99.44,46.98,72.97
Punjab,Sangrur,2018,56.74,35.42,86.7,74.24,71.03,24.67,21.35
Uttarakhand,Pauri Garhwal,2015,28.02,99.63,38.96,93.22,96.43,30.47,98.78
Punjab,Mansa,2022,34.54,11.99,32.01,66.04,53.8,56.04,88.16
Uttar Pradesh,Pratapgarh,2018,15.59,51.1,98.33,88.39,97.79,87.9,67.55
Madhya Pradesh,Bhopal,2020,79.35,70.88,64.89,57.33,96.47,98.13,28.04
Arunachal Pradesh,Lower Siang,2015,46.66,34.48,82.47,16.72,16.11,27.41,31.61
Rajasthan,Jhalawar,2023,15.97,59.9,82.98,84.78,41.41,73.01,10.17
Bihar,Jehanabad,2025,58.28,96.08,21.5,86.47,72.56,79.66,68.79
Manipur,Thoubal,2025,66.22,61.72,70.09,87.05,83.95,42.49,91.43
Gujarat,Dahod,2024,83.97,33.52,25.94,92.34,47.7,34.86,36.61
Uttar Pradesh,Rampur,2025,13.31,86.03,20.44,61.59,41.65,31.93,10.78
Kerala,Pathanamthitta,2016,75.1,59.07,62.03,54.46,81.25,46.38,29.7
Uttar Pradesh,Hapur,2025,19.44,46.38,10.64,94.8,69.53,13.68,74.17
Chhattisgarh,Kabirdham,2021,33.64,63.77,98.22,60.95,35.36,56.65,78.12
Chhattisgarh,Balrampur,2020,85.85,21.21,12.21,16.48,74.81,76.79,44.77
Gujarat,Bharuch,2018,58.43,83.05,73.26,11.27,85.58,95.72,80.92
Madhya Pradesh,Guna,2019,97.08,49.26,76.76,51.47,63.07,47.34,94.44
Jharkhand,Hazaribagh,2025,60.92,16.4,25.38,19.69,31.52,86.64,49.84
Tamil Nadu,Mayiladuthurai,2018,57.73,35.77,81.38,98.54,60.64,61.8,36.85
Nagaland,Zunheboto,2025,83.38,25.67,22.7,46.48,48.67,80.26,19.85
Chhattisgarh,Kanker,2017,71.4,26.4,83.51,18.85,56.94,42.17,91.57
Punjab,Tarn Taran,2022,21.83,20.45,68.86,53.36,13.6,83.81,71.67
Uttarakhand,Pauri Garhwal,2018,44.94,43.0,97.87,37.87,63.82,59.34,19.28
Uttar Pradesh,Banda,2019,17.53,67.49,80.85,14.1,82.71,17.9,18.01
Rajasthan,Baran,2023,46.7,51.7,67.86,55.1,65.93,56.62,19.43
Telangana,Mancherial,2020,49.15,99.66,57.47,62.89,37.57,73.01,42.03
Odisha,Kandhamal,2021,86.89,93.29,65.38,20.23,61.8,24.6,39.81
Madhya Pradesh,Indore,2017,57.9,63.18,38.62,96.69,32.4,26.14,26.18
Karnataka,Shivamogga,2020,99.4,45.04,19.49,10.25,64.84,50.16,87.55
Rajasthan,Churu,2022,48.9,67.09,66.15,98.6,28.57,23.69,97.24
Uttar Pradesh,Unnao,2017,97.66,33.26,68.26,57.18,39.36,27.13,96.08
Arunachal Pradesh,Kra Daadi,2016,27.74,51.56,86.19,24.82,66.29,80.04,90.32
Odisha,Kalahandi,2019,23.04,90.86,61.65,86.53,65.22,72.61,40.68
Chhattisgarh,Jashpur,2022,23.43,14.21,31.83,29.77,67.39,43.36,90.11
Madhya Pradesh,Indore,2019,91.86,13.48,80.39,69.85,46.08,19.3,68.21
West Bengal,Hooghly,2022,59.8,23.19,25.71,73.38,95.03,85.38,56.83
Arunachal Pradesh,Leparada,2021,36.36,63.18,10.71,70.34,23.47,76.93,56.81
Rajasthan,Bharatpur,2016,70.67,41.33,92.42,26.82,86.04,73.88,13.96
Rajasthan,Nagaur,2018,94.39,98.26,94.95,77.7,12.99,69.03,44.97
Mizoram,Aizawl,2016,26.06,89.42,72.39,93.16,65.8,19.55,76.2
Gujarat,Mahisagar,2024,15.22,33.9,87.48,34.61,81.83,72.3,83.52
Manipur,Tamenglong,2024,14.36,25.93,40.61,76.51,41.08,94.98,62.91
Rajasthan,Ajmer,2016,60.92,15.68,71.73,77.66,32.93,14.76,73.55
Bihar,Jehanabad,2017,54.11,84.05,89.43,11.19,66.03,21.15,13.31
Madhya Pradesh,Ashoknagar,2018,92.48,14.32,50.04,52.96,61.46,23.13,24.39
Madhya Pradesh,Balaghat,2022,53.75,97.1,92.31,82.66,14.89,46.85,77.05
Karnataka,Vijayapura,2019,66.72,93.56,21.01,65.98,70.25,62.75,32.98
Madhya Pradesh,Agar Malwa,2023,13.04,31.92,91.06,90.46,27.0,91.91,46.52
Haryana,Jind,2018,61.65,98.71,69.63,76.15,19.42,13.96,96.62
Haryana,Yamunanagar,2020,91.1,85.05,90.28,82.58,18.56,51.24,64.9
Himachal Pradesh,Kangra,2021,76.49,92.46,97.8,27.3,49.45,15.21,22.75
Uttar Pradesh,Lucknow,2023,22.84,32.28,38.94,30.51,73.62,99.47,41.33
Nagaland,Longleng,2023,28.46,38.39,84.91,43.69,95.68,93.27,29.12
Maharashtra,Solapur,2024,60.81,48.78,97.93,84.32,41.42,25.44,81.23
Assam,Dima Hasao,2017,88.12,95.44,51.67,48.41,84.99,67.88,49.75
Andhra Pradesh,Vizianagaram,2015,80.72,32.33,16.14,41.71,37.01,80.37,96.41
Rajasthan,Bundi,2018,31.53,42.04,54.96,18.29,96.97,66.09,14.8
Maharashtra,Gondia,2022,73.84,28.62,20.8,68.1,29.45,48.49,51.06
Chhattisgarh,Balrampur,2021,76.07,40.63,26.31,61.86,56.38,49.34,96.68
Odisha,Rayagada,2024,65.7,88.25,43.84,56.72,50.39,34.08,51.99
Uttar Pradesh,Hardoi,2020,92.83,26.37,75.67,97.95,94.81,75.62,43.49
Rajasthan,Kota,2025,80.91,57.5,75.19,47.91,49.65,12.06,27.0
Rajasthan,Anupgarh,2017,40.59,15.67,69.03,92.76,85.99,48.47,34.25
West Bengal,Hooghly,2017,58.22,83.82,30.96,39.65,95.45,99.41,42.67
Andhra Pradesh,Annamayya,2020,25.3,22.79,65.85,99.96,21.63,64.0,77.3
Andhra Pradesh,Anakapalli,2019,62.35,69.81,12.4,79.48,74.99,10.49,98.75
Himachal Pradesh,Bilaspur,2022,57.06,35.67,74.69,82.2,20.02,32.33,82.5
Uttar Pradesh,Kanpur Dehat,2020,68.19,47.27,58.06,50.48,16.29,41.72,70.97
West Bengal,Birbhum,2024,57.88,89.91,83.61,83.74,21.66,77.7,13.11
Gujarat,Mehsana,2015,49.11,99.28,63.84,76.85,48.52,70.08,30.24
Bihar,Nalanda,2016,34.79,89.8,55.71,15.09,55.93,62.23,64.86
Chhattisgarh,Kondagaon,2016,54.93,57.73,20.46,46.5,58.65,99.67,86.38
Maharashtra,Akola,2023,85.63,95.75,10.94,88.55,76.67,14.38,55.72
Andhra Pradesh,West Godavari,2018,36.63,89.82,13.56,33.94,76.6,86.19,12.16
Madhya Pradesh,Singrauli,2016,18.85,77.57,66.76,69.98,81.47,64.14,30.91
Nagaland,Zunheboto,2025,81.56,96.66,69.66,85.43,98.65,77.31,12.89
Uttar Pradesh,Muzaffarnagar,2020,55.02,74.48,77.98,91.71,11.01,68.7,60.02
Bihar,Muzaffarpur,2015,16.03,25.31,60.67,44.27,91.7,99.34,52.22
Uttar Pradesh,Ayodhya,2023,42.77,12.33,81.34,73.27,89.75,29.97,19.76
Punjab,Patiala,2016,11.97,14.12,93.88,76.76,19.22,98.08,88.75
Gujarat,Navsari,2021,75.61,35.53,21.23,69.53,19.68,39.72,71.64
Uttar Pradesh,Shravasti,2023,59.47,46.88,69.89,53.13,29.15,26.88,18.35
Punjab,Sangrur,2018,66.61,49.45,66.21,11.94,70.23,56.02,39.16
Tripura,West Tripura,2025,29.44,56.7,93.28,49.41,71.13,44.64,34.12
Karnataka,Dakshina Kannada,2023,47.42,62.21,10.45,92.91,28.3,40.35,84.11
Assam,Morigaon,2022,97.29,36.65,83.83,62.81,83.7,42.8,51.76
Uttar Pradesh,Aligarh,2020,84.87,47.32,58.97,36.45,28.48,88.14,33.2
Jharkhand,Palamu,2018,61.37,65.95,38.03,80.38,84.52,42.39,40.56
Madhya Pradesh,Gwalior,2016,57.52,87.83,22.85,71.73,72.42,61.63,65.89
Jharkhand,Palamu,2021,88.61,11.61,94.61,57.38,35.95,39.98,38.08
Tamil Nadu,Perambalur,2022,97.08,94.84,80.02,96.97,97.73,47.99,22.87
Tripura,North Tripura,2025,68.92,76.96,89.39,75.31,98.79,69.23,93.37
Uttar Pradesh,Moradabad,2018,91.92,59.33,91.41,11.02,43.82,56.1,62.17
Bihar,Begusarai,2015,55.2,52.22,100.0,79.27,31.14,44.12,49.83
Uttar Pradesh,Kaushambi,2017,78.97,55.08,66.18,91.89,94.78,76.86,52.99
Maharashtra,Dhule,2025,96.6,83.5,54.52,21.33,51.83,56.34,87.43
Tamil Nadu,Kanchipuram,2015,71.25,29.93,19.14,96.86,68.55,94.39,20.85
Madhya Pradesh,Shajapur,2025,16.18,68.03,87.25,17.33,65.41,29.14,35.59
Tamil Nadu,Vellore,2019,24.06,68.11,27.49,18.02,65.2,81.28,74.19
Odisha,Sambalpur,2025,12.58,85.24,91.83,22.58,41.82,52.97,58.56
Andhra Pradesh,West Godavari,2018,14.4,37.21,77.64,22.9,28.77,67.63,73.49
Arunachal Pradesh,Anjaw,2024,42.71,18.1,69.71,18.09,18.43,52.71,77.05
Karnataka,Belagavi,2017,30.43,70.5,32.74,54.65,73.1,13.51,21.18
Uttarakhand,Almora,2022,83.66,41.5,92.12,79.92,50.99,51.35,49.21
Rajasthan,Chittorgarh,2016,65.09,79.81,22.16,78.01,88.11,72.34,25.24
West Bengal,Alipurduar,2015,50.23,23.18,54.13,21.24,66.45,79.99,96.43
Telangana,Mahabubnagar,2017,93.27,98.64,91.66,70.76,78.19,84.47,69.89
Bihar,Darbhanga,2016,10.93,61.75,30.17,33.93,86.19,29.34,40.59
Tripura,Sepahijala,2018,39.21,72.35,28.49,80.32,66.18,17.94,56.35
Assam,Jorhat,2015,50.43,45.31,25.57,82.89,46.31,65.25,76.5
Uttar Pradesh,Bhadohi,2018,32.24,60.23,32.43,83.2,95.18,65.48,47.55
Karnataka,Bengaluru Rural,2015,85.47,90.36,33.94,56.13,63.01,77.4,12.86
Jharkhand,Dumka,2020,86.77,18.28,53.04,70.61,17.34,18.65,81.07
Nagaland,Kiphire,2021,30.69,80.15,29.01,26.18,32.27,88.77,42.68
Uttar Pradesh,Jaunpur,2024,91.4,70.21,23.97,72.77,96.6,60.33,73.51
Mizoram,Lunglei,2024,35.68,63.48,25.43,20.54,96.42,36.28,29.7
Gujarat,Mahisagar,2019,87.14,62.6,98.32,53.71,86.09,92.47,61.26
Himachal Pradesh,Kullu,2019,33.74,53.99,31.44,67.7,30.0,89.23,11.0
Bihar,Madhubani,2018,88.28,99.44,21.79,99.7,78.53,19.89,42.1
Bihar,Kishanganj,2018,47.19,54.76,96.12,86.01,33.3,20.67,63.09
Odisha,Kandhamal,2020,20.93,42.33,40.21,30.78,13.41,69.15,59.35
Uttar Pradesh,Gorakhpur,2015,67.11,84.95,70.97,99.96,30.2,31.36,76.14
Odisha,Rayagada,2024,50.7,80.85,92.5,54.2,68.12,39.14,80.26
Madhya Pradesh,Dhar,2016,97.88,80.91,40.52,92.92,24.92,71.4,25.42
Assam,Sivasagar,2015,98.36,75.26,96.49,15.23,77.69,93.04,78.0
Jharkhand,Bokaro,2020,23.4,54.23,58.76,18.47,33.7,75.29,68.48
Bihar,Kishanganj,2024,69.78,54.71,23.59,24.73,84.0,21.68,75.71
Uttar Pradesh,Baghpat,2017,59.67,44.51,55.19,90.01,81.58,30.61,26.88
Odisha,Nuapada,2017,57.07,84.18,30.97,70.43,44.34,69.33,52.45
Tamil Nadu,Dindigul,2022,94.96,91.3,18.09,93.26,76.35,65.28,97.9
Odisha,Sundargarh,2021,11.11,46.06,75.86,62.1,41.47,54.01,26.43
Tripura,Gomati,2025,16.52,79.61,73.22,71.98,15.03,71.15,24.11
Tripura,South Tripura,2024,31.79,51.78,11.4,43.93,37.69,68.32,52.94
Telangana,Hyderabad,2023,13.77,82.37,81.5,89.53,21.42,72.09,44.43
Uttarakhand,Pauri Garhwal,2017,86.94,45.17,47.25,89.21,62.56,67.0,54.59
Tamil Nadu,Pudukkottai,2020,10.85,44.54,40.25,61.44,50.93,53.13,83.4
Bihar,Khagaria,2021,54.2,84.22,46.16,99.27,53.26,18.39,56.47
Manipur,Noney,2018,11.23,64.65,35.65,27.74,56.8,95.5,81.89
Uttar Pradesh,Saharanpur,2016,22.18,52.35,34.87,60.22,92.03,99.85,11.29
Madhya Pradesh,Katni,2023,46.66,85.33,16.73,84.53,65.77,18.35,46.87
Tamil Nadu,Ramanathapuram,2023,86.37,75.19,71.49,54.02,70.89,49.67,10.94
Karnataka,Haveri,2016,89.98,10.2,17.59,91.48,54.1,48.53,29.29
Arunachal Pradesh,Lohit,2021,64.82,84.5,54.22,25.38,24.02,24.27,64.24
Gujarat,Surat,2025,25.08,86.53,13.86,88.26,49.88,12.22,26.27
Kerala,Kollam,2017,46.96,60.23,93.88,73.22,95.88,38.73,18.11
Andhra Pradesh,East Godavari,2020,90.72,28.77,60.86,15.31,49.95,83.21,78.66
Nagaland,Longleng,2018,44.43,36.62,99.59,30.54,45.26,24.76,74.94
Bihar,Madhubani,2025,43.72,27.61,56.16,30.34,57.49,68.16,83.28
Maharashtra,Jalna,2018,63.58,35.56,98.04,57.36,76.02,18.83,72.18
Chhattisgarh,Gaurela-Pendra-Marwahi,2015,71.37,33.68,61.93,82.52,85.77,32.88,55.17
Arunachal Pradesh,Longding,2021,37.07,96.05,97.76,30.08,67.6,48.92,32.07
Punjab,Patiala,2025,81.07,92.5,80.74,82.54,51.33,51.56,17.65
Manipur,Kangpokpi,2023,13.06,93.63,53.99,68.57,83.58,46.49,36.41
Karnataka,Ballari,2023,80.87,51.08,53.96,12.34,33.97,83.0,29.75
Uttarakhand,Tehri Garhwal,2017,22.42,28.57,63.47,91.82,61.49,95.32,68.3
Karnataka,Kalaburagi,2025,55.79,40.24,98.39,64.45,13.72,26.82,73.48
Punjab,Rupnagar,2015,13.03,70.65,53.63,79.42,39.05,99.71,37.78
Madhya Pradesh,Sagar,2023,66.09,33.69,45.1,89.65,67.02,88.04,79.1
Odisha,Nayagarh,2021,18.25,21.82,20.03,81.29,86.26,27.25,53.03
Uttar Pradesh,Mirzapur,2016,41.59,23.85,84.19,95.4,10.31,63.42,99.18
Chhattisgarh,Kanker,2022,22.61,20.72,89.76,65.82,37.92,53.81,79.56
Maharashtra,Osmanabad (Dharashiv),2021,97.51,54.28,19.62,54.02,97.33,52.7,43.82
Punjab,Bathinda,2023,78.83,89.3,47.65,92.47,42.02,62.01,65.39
Arunachal Pradesh,Tirap,2019,28.71,11.91,26.76,33.45,79.14,87.03,10.46
Nagaland,Dimapur,2019,62.62,55.98,11.58,34.22,20.62,90.81,28.86
Tripura,Sepahijala,2017,81.96,64.37,32.48,62.53,79.27,39.55,86.29
Uttar Pradesh,Shravasti,2017,90.52,57.03,71.44,64.21,58.24,42.77,74.54
Gujarat,Ahmedabad,2018,83.6,57.18,14.29,18.42,14.9,50.74,67.06
West Bengal,Uttar Dinajpur,2017,61.03,59.75,95.3,11.24,19.61,98.0,94.9
Rajasthan,Bharatpur,2018,60.58,60.77,93.39,15.55,33.21,66.51,51.39
Assam,Morigaon,2018,58.04,46.49,37.77,82.28,68.81,14.92,13.66
Andhra Pradesh,East Godavari,2019,25.46,73.06,53.26,86.69,20.19,94.04,64.2
Arunachal Pradesh,West Kameng,2025,92.47,21.03,12.38,33.49,95.21,25.22,91.96
Uttarakhand,Bageshwar,2021,54.52,21.95,76.04,38.92,15.92,89.9,79.35
Uttar Pradesh,Sambhal,2025,20.54,66.2,99.61,58.09,72.33,57.39,93.21
Maharashtra,Ahmednagar,2020,26.32,45.32,93.0,26.3,91.06,92.09,29.68
Uttar Pradesh,Bareilly,2023,23.95,31.19,60.47,19.8,49.99,39.92,96.01
Arunachal Pradesh,Namsai,2020,52.94,86.94,78.07,14.24,85.28,27.65,95.62
Chhattisgarh,Korba,2024,24.77,50.81,65.8,45.92,46.58,91.4,85.83
Madhya Pradesh,Vidisha,2015,44.96,88.79,18.07,11.13,48.86,27.77,29.69
Gujarat,Anand,2017,70.88,23.82,75.17,29.54,33.79,12.94,37.02
Punjab,Hoshiarpur,2016,24.75,32.46,40.51,10.86,46.02,44.4,31.73
Uttar Pradesh,Bijnor,2024,66.92,70.98,60.2,18.68,23.44,36.03,21.34
Chhattisgarh,Janjgir-Champa,2016,64.5,39.51,61.66,17.15,99.99,60.69,42.8
Uttar Pradesh,Ballia,2016,48.0,57.78,76.82,14.66,37.89,90.5,78.83
Tripura,Unakoti,2025,69.21,79.99,17.32,61.45,57.84,38.06,20.46
Telangana,Vikarabad,2016,57.34,68.22,68.83,99.4,15.61,73.51,48.24
Arunachal Pradesh,Lower Subansiri,2023,31.15,67.01,61.48,89.91,66.28,92.98,56.34
Meghalaya,East Jaintia Hills,2019,99.18,32.81,86.16,67.94,38.24,61.5,95.52
Uttar Pradesh,Lakhimpur Kheri,2022,77.69,64.41,69.02,68.33,38.58,45.38,75.68
Odisha,Rayagada,2015,55.92,60.28,76.99,14.94,17.55,14.99,41.75
Manipur,Bishnupur,2018,16.86,58.11,63.67,96.73,51.58,62.08,46.13
Sikkim,Pakyong,2021,64.16,99.71,66.27,92.51,47.79,20.81,39.53
West Bengal,Purba Bardhaman,2022,56.35,60.33,47.54,33.34,71.54,17.57,16.33
Bihar,Kishanganj,2020,84.6,41.84,71.46,10.2,63.26,54.12,95.73
Odisha,Koraput,2019,11.61,46.03,19.89,98.72,51.29,58.99,56.28
Nagaland,Noklak,2025,33.15,46.8,54.43,75.37,24.2,61.31,12.61
Manipur,Thoubal,2025,36.53,62.79,58.22,69.55,94.17,11.93,80.66
Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),2020,82.07,21.95,28.86,31.39,30.39,87.25,41.21
Andhra Pradesh,Anakapalli,2021,70.39,21.32,24.87,99.39,57.86,61.32,41.8
Haryana,Fatehabad,2017,36.94,38.64,47.5,17.51,49.77,64.49,24.26
Madhya Pradesh,Seoni,2018,17.42,32.15,29.73,76.37,82.48,74.8,23.11
Rajasthan,Sikar,2017,21.66,22.88,61.58,26.62,90.83,12.55,46.55
Assam,Cachar,2022,49.84,47.42,94.65,50.05,37.35,78.85,35.13
Chhattisgarh,Kanker,2019,70.47,17.94,50.18,80.03,18.7,67.56,26.31
West Bengal,Howrah,2025,39.81,23.95,42.2,19.03,31.62,55.82,56.64
Uttar Pradesh,Firozabad,2018,93.73,46.61,48.58,39.33,95.32,51.33,67.25
Uttar Pradesh,Lakhimpur Kheri,2018,95.83,60.93,70.14,78.22,35.12,26.17,99.65
Mizoram,Hnahthial,2021,89.16,60.28,63.26,89.28,94.06,84.55,58.59
Nagaland,Kiphire,2022,86.63,56.26,75.16,94.4,88.29,17.15,11.04
Arunachal Pradesh,Lower Dibang Valley,2018,50.73,30.8,23.68,14.62,73.53,41.43,56.47
Arunachal Pradesh,Dibang Valley,2021,15.07,45.82,24.93,46.44,35.77,71.49,53.31
Rajasthan,Balotra,2020,97.99,22.99,42.09,90.45,50.87,76.38,87.26
Odisha,Koraput,2015,57.4,71.54,30.19,81.27,35.82,37.58,41.47
Assam,Biswanath,2017,62.64,72.7,17.98,82.42,76.76,76.83,25.89
Rajasthan,Kotputli-Behror,2017,53.56,33.43,77.31,86.11,28.32,20.26,94.2
Uttar Pradesh,Shravasti,2019,58.5,60.59,11.22,97.27,48.83,36.41,52.74
Nagaland,Noklak,2016,59.68,79.16,78.08,46.33,59.48,47.51,82.09
Bihar,Buxar,2019,54.14,39.78,28.38,59.22,34.29,37.88,16.46
Madhya Pradesh,Panna,2025,15.15,49.31,32.22,55.65,60.43,15.78,19.07
Uttar Pradesh,Lucknow,2016,47.42,41.17,70.1,95.84,69.23,84.42,13.36
Madhya Pradesh,Betul,2020,55.77,66.55,69.13,94.62,99.16,45.29,37.77
Uttar Pradesh,Jaunpur,2017,33.62,96.47,51.61,74.66,44.34,91.39,96.45
Tamil Nadu,Coimbatore,2020,79.53,83.17,83.23,70.41,31.32,39.66,40.39
Andhra Pradesh,Alluri Sitharama Raju,2016,60.24,19.72,38.86,85.97,72.36,91.02,15.27
Uttar Pradesh,Prayagraj,2017,14.37,55.93,31.75,70.33,85.37,44.29,88.17
Odisha,Kendrapara,2023,66.6,12.74,53.91,86.65,20.3,43.29,91.83
Rajasthan,Bhilwara,2016,52.99,51.53,43.98,21.9,94.08,75.05,72.2
Assam,Udalguri,2022,44.41,31.3,95.32,66.53,94.65,65.99,93.22
Chhattisgarh,Dantewada,2016,23.57,18.36,79.13,43.06,85.14,12.97,61.02
Tamil Nadu,Thiruvarur,2025,76.22,90.12,66.32,97.31,18.22,92.56,51.59
Uttar Pradesh,Bhadohi,2017,32.16,95.48,48.23,94.73,53.24,89.1,65.31
Rajasthan,Jodhpur,2017,35.87,24.24,17.2,67.32,35.02,39.35,56.77
Telangana,Narayanpet,2019,90.38,73.53,36.6,29.93,58.98,11.56,89.8
Bihar,Sheohar,2018,14.15,90.25,14.23,18.37,44.05,64.05,13.88
Chhattisgarh,Kanker,2021,26.97,93.97,94.1,29.75,64.25,79.53,43.7
Arunachal Pradesh,Kamle,2016,60.81,48.78,60.39,86.13,18.63,75.55,21.08
Assam,Udalguri,2016,26.95,21.55,81.37,72.41,80.8,60.48,11.29
Chhattisgarh,Bemetara,2017,59.04,24.77,75.73,14.89,40.99,17.75,25.02
Assam,Nalbari,2018,69.01,17.61,29.68,26.41,83.13,32.87,75.28
Maharashtra,Dhule,2020,53.99,48.57,41.17,79.83,51.18,79.19,76.96
West Bengal,Dakshin Dinajpur,2017,21.17,17.64,62.87,11.06,77.02,20.89,12.8
Assam,Hojai,2021,22.05,67.58,13.68,12.22,89.77,73.1,89.1
Bihar,Darbhanga,2018,18.48,55.7,55.23,41.45,82.22,54.95,53.73
Mizoram,Hnahthial,2023,87.42,19.27,16.95,88.78,36.99,49.93,97.99
West Bengal,Jalpaiguri,2018,39.41,60.58,26.05,25.78,86.84,57.44,72.44
Uttar Pradesh,Jalaun,2018,35.5,23.72,15.08,25.25,86.73,46.42,78.0
West Bengal,Alipurduar,2019,68.23,81.68,43.97,88.31,68.2,42.89,86.0
Punjab,Sri Muktsar Sahib,2020,23.11,88.82,41.69,63.28,73.16,72.42,79.66
Jharkhand,Gumla,2018,13.96,96.02,41.7,24.83,19.87,22.68,61.89
Rajasthan,Shahpura,2020,87.68,90.32,82.35,70.71,22.76,46.84,46.77
Bihar,Kishanganj,2017,86.56,50.81,96.28,67.1,97.49,33.36,34.19
Telangana,Mulugu,2018,86.33,48.92,95.67,43.13,56.18,16.77,18.36
Nagaland,Chümoukedima,2021,94.06,61.38,34.63,79.85,24.66,61.33,66.01
Sikkim,Gyalshing,2017,60.26,35.74,98.25,40.59,34.74,99.53,93.3
Jharkhand,Palamu,2020,80.64,30.8,37.62,81.73,35.23,40.35,45.72
Arunachal Pradesh,Lower Dibang Valley,2022,45.03,96.43,51.34,92.45,46.81,81.45,73.75
Gujarat,Mehsana,2019,64.91,48.94,22.8,48.13,15.2,97.15,88.65
Madhya Pradesh,Umaria,2020,51.66,92.25,51.31,67.72,87.45,15.08,11.99
Jharkhand,Seraikela-Kharsawan,2019,14.88,32.86,62.59,24.7,68.62,15.13,80.25
Uttar Pradesh,Shahjahanpur,2017,24.99,10.45,84.49,62.16,42.73,81.41,68.77
Nagaland,Phek,2023,44.78,44.53,92.91,59.04,53.4,32.64,28.03
Uttar Pradesh,Rampur,2017,96.0,28.62,97.08,53.65,40.64,55.98,60.51
Haryana,Panchkula,2021,33.68,71.03,44.23,49.57,41.37,46.13,70.62
Chhattisgarh,Kabirdham,2024,87.05,96.9,70.71,49.81,94.57,89.39,71.61
Meghalaya,South Garo Hills,2020,70.23,62.02,39.56,89.47,66.97,26.87,91.52
Uttar Pradesh,Bahraich,2024,86.46,88.69,66.93,27.84,31.84,36.9,28.67
Tamil Nadu,Nagapattinam,2025,93.1,71.12,25.75,71.48,78.08,15.17,82.05
Telangana,Medchal-Malkajgiri,2021,85.15,12.19,71.34,92.52,59.24,59.22,57.14
Chhattisgarh,Sakti,2018,33.87,10.14,13.38,28.46,30.43,72.32,17.55
Chhattisgarh,Korba,2021,18.35,88.63,24.29,13.0,40.97,35.99,19.59
Odisha,Koraput,2023,75.14,51.34,82.53,78.0,48.71,92.97,60.49
Gujarat,Gir Somnath,2019,80.22,91.47,71.03,21.56,27.59,69.18,40.22
Rajasthan,Phalodi,2022,22.66,10.2,61.83,59.75,41.08,10.4,52.14
West Bengal,South 24 Parganas,2020,65.22,36.56,18.2,64.58,26.01,36.19,45.78
Uttar Pradesh,Gautam Buddha Nagar,2019,73.51,43.27,10.74,65.57,45.21,42.21,67.43
Rajasthan,Udaipur,2016,32.97,10.69,37.2,46.17,60.53,92.4,56.8
Karnataka,Chamarajanagar,2023,92.37,63.18,85.34,85.12,76.25,46.54,64.33
Andhra Pradesh,Anakapalli,2016,83.59,79.92,29.51,20.53,30.95,45.18,31.21
Madhya Pradesh,Shahdol,2021,38.23,83.85,28.79,29.88,25.96,34.73,89.32
Uttarakhand,Uttarkashi,2017,85.84,40.92,78.61,13.95,71.28,69.92,83.23
Haryana,Hisar,2018,43.6,28.96,91.23,56.53,12.27,96.66,24.26
Tamil Nadu,Tiruchirappalli,2025,95.2,32.77,65.38,37.81,67.85,15.12,79.02
Uttar Pradesh,Lakhimpur Kheri,2025,75.73,21.81,89.73,61.18,68.17,99.67,18.37
Telangana,Khammam,2021,90.81,43.65,54.72,36.56,79.36,13.06,19.18
Odisha,Gajapati,2019,11.31,57.03,77.76,91.8,42.96,65.92,36.42
Nagaland,Tseminyu,2025,54.76,64.23,67.77,44.09,82.04,10.1,33.47
Andhra Pradesh,Palnadu,2025,81.53,75.22,27.22,34.31,12.76,39.75,13.18
Uttar Pradesh,Ambedkar Nagar,2016,98.68,87.28,88.1,77.99,78.53,62.76,45.65
Assam,Dibrugarh,2019,63.45,36.24,19.75,36.61,24.63,56.26,28.19
