state,district,year,population,male_population,female_population,population_growth_rate,urban_population,rural_population
Maharashtra,Ahmednagar,2023,2473887,805803,731820,2.33,631434,346002
Maharashtra,Ahmednagar,2024,1246171,2324177,977055,3.15,1376987,387966
Maharashtra,Ahmednagar,2025,3055694,1113923,2188150,2.48,281859,2148132
Maharashtra,Akola,2015,1083791,2367997,309222,1.44,352078,1571241
Maharashtra,Akola,2016,2158370,2098334,1553500,1.54,387873,2741394
Maharashtra,Akola,2017,3256768,2030386,1690677,3.34,542700,2828250
Maharashtra,Akola,2018,4637239,1839304,118205,3.15,649415,1938433
Maharashtra,Akola,2019,4194471,1248043,950265,2.65,1896514,2913108
Maharashtra,Akola,2020,4457793,131407,445028,1.71,882353,536166
Maharashtra,Akola,2021,3618450,896510,160609,0.6,667991,44729
Maharashtra,Akola,2022,4656345,277950,2362253,1.94,1369999,2286279
Maharashtra,Akola,2023,1581556,2169425,1034977,1.81,1657373,752288
Maharashtra,Akola,2024,178462,1470986,2404902,1.35,531355,1806215
Maharashtra,Akola,2025,608739,540377,2126867,2.48,357221,262137
Maharashtra,Amravati,2015,1392451,155650,1693911,2.64,1553363,699694
Maharashtra,Amravati,2016,4238233,408818,1733389,0.95,1348671,2518906
Maharashtra,Amravati,2017,4945654,853514,1100553,3.46,1275757,967434
Maharashtra,Amravati,2018,143118,1659244,988243,3.43,1942551,2758267
Maharashtra,Amravati,2019,123012,33688,147025,1.08,345279,1136811
Maharashtra,Amravati,2020,4322579,107998,494807,1.89,1363935,1190931
Maharashtra,Amravati,2021,3905466,2335867,2397174,0.75,820372,927363
Maharashtra,Amravati,2022,4250676,2117159,2351813,2.04,713502,313097
Maharashtra,Amravati,2023,107110,1516720,2278961,2.43,333998,651369
Maharashtra,Amravati,2024,3892606,2171921,969902,2.31,1277172,2373393
Maharashtra,Amravati,2025,4610466,2404486,1742568,1.95,1887631,2272138
Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),2015,980279,2494884,1467760,3.24,780879,2340783
Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),2016,4521723,635144,2026128,1.73,1506401,2960481
Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),2017,3044241,2192290,1611648,3.12,577537,1530361
Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),2018,2439203,898903,1584247,0.86,1940079,1335473
Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),2019,2716450,1641531,2179690,1.54,681136,1523576
Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),2020,1549667,155836,422878,3.05,966081,1177624
Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),2021,1034488,1929601,1756054,2.82,1228681,2817521
Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),2022,2610292,78823,665936,0.75,703300,1767536
Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),2023,2008674,1314667,179088,1.69,1095007,2642255
Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),2024,4282987,756696,1811884,1.6,478011,675688
Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),2025,1755812,988456,789189,0.73,1441327,1388699
Maharashtra,Beed,2015,4693621,1426340,1934666,1.88,783481,208731
Maharashtra,Beed,2016,2634716,721400,2356203,2.01,630849,2180655
Maharashtra,Beed,2017,2473024,340326,886485,1.77,1680080,317107
Maharashtra,Beed,2018,2850560,1264541,844167,2.26,1088293,2668995
Maharashtra,Beed,2019,2784522,1186409,1827254,1.74,664781,2715518
Maharashtra,Beed,2020,697751,479797,1935479,3.3,1289625,2243696
Maharashtra,Beed,2021,4815667,2185009,796280,2.27,450783,841338
Maharashtra,Beed,2022,1928121,993182,1257690,0.64,1130366,1646197
Maharashtra,Beed,2023,2698201,230337,805758,1.88,950527,1784457
Maharashtra,Beed,2024,2415093,998976,2071847,3.03,796675,797152
Maharashtra,Beed,2025,1171670,1292282,544134,2.55,1090872,142277
Maharashtra,Bhandara,2015,2399270,1581669,1422696,2.84,1743229,100240
Maharashtra,Bhandara,2016,1652284,1205634,2224567,1.26,1480222,2775505
Maharashtra,Bhandara,2017,2344158,450289,2041407,3.21,736278,708632
Maharashtra,Bhandara,2018,4929617,1306472,2152560,1.36,318131,854391
Maharashtra,Bhandara,2019,3888920,579636,2118456,1.92,1493346,2606455
Maharashtra,Bhandara,2020,1209240,253476,2201020,2.53,266611,46532
Maharashtra,Bhandara,2021,4642617,2372973,266655,0.86,917975,1210847
Maharashtra,Bhandara,2022,1310606,443253,1522171,3.47,57506,2556109
Maharashtra,Bhandara,2023,4706738,216844,1280155,0.77,1257428,808899
Maharashtra,Bhandara,2024,4093941,1314021,788196,1.53,837384,2362405
Maharashtra,Bhandara,2025,734310,357475,1193133,3.5,1135870,585562
Maharashtra,Buldhana,2015,463047,896418,1400687,1.14,1124105,1569214
Maharashtra,Buldhana,2016,2508031,1512690,1411743,2.23,652417,1399904
Maharashtra,Buldhana,2017,4041805,970734,2425954,0.85,956782,892000
Maharashtra,Buldhana,2018,2187088,1386731,1432432,2.67,242931,852552
Maharashtra,Buldhana,2019,1073731,1592884,627826,2.33,987450,2633944
Maharashtra,Buldhana,2020,511445,183264,810033,3.44,538399,1572349
Maharashtra,Buldhana,2021,3421682,572777,2008691,1.15,1504183,901687
Maharashtra,Buldhana,2022,1883400,518064,2476257,2.07,1579479,325301
Maharashtra,Buldhana,2023,4152397,115307,2488830,2.47,265647,367924
Maharashtra,Buldhana,2024,960308,212241,2241858,1.61,1993600,1509938
Maharashtra,Buldhana,2025,302798,1888856,1747399,1.68,1992480,325223
Maharashtra,Chandrapur,2015,1439829,2105206,2080526,3.41,375169,192152
Maharashtra,Chandrapur,2016,2613330,344804,1320474,1.49,1106148,2434791
Maharashtra,Chandrapur,2017,3280833,1523879,957128,1.47,242376,1764620
Maharashtra,Chandrapur,2018,4413139,1980140,2292225,1.64,1158958,569292
Maharashtra,Chandrapur,2019,3215806,167895,1175698,3.2,514698,396173
Maharashtra,Chandrapur,2020,1871836,1559747,736603,1.45,818797,2548445
Maharashtra,Chandrapur,2021,513288,1126298,2395477,2.43,1713341,443921
Maharashtra,Chandrapur,2022,3440174,129841,2164252,1.17,1673602,933748
Maharashtra,Chandrapur,2023,773975,2251648,1496304,3.4,789364,756019
Maharashtra,Chandrapur,2024,1381273,1925577,68584,0.74,1272878,1516132
Maharashtra,Chandrapur,2025,1023951,2345043,219863,2.8,384322,1909794
Maharashtra,Dhule,2015,285197,740229,482764,1.19,258890,781068
Maharashtra,Dhule,2016,819282,2413359,1545484,1.27,422587,1813251
Maharashtra,Dhule,2017,3000323,154864,2168245,1.03,162696,500640
Maharashtra,Dhule,2018,1706022,1644650,343739,1.61,877414,2334803
Maharashtra,Dhule,2019,4086545,231754,1764350,1.92,470840,2333490
Maharashtra,Dhule,2020,2981721,1943936,81400,2.69,257138,376584
Maharashtra,Dhule,2021,4296954,1692830,82935,1.84,135333,2483759
Maharashtra,Dhule,2022,1655725,1022824,914677,1.05,612576,136298
Maharashtra,Dhule,2023,4176964,375602,1857558,0.8,1081785,2712063
Maharashtra,Dhule,2024,4897798,1719996,902608,0.52,1898711,1919011
Maharashtra,Dhule,2025,2892169,1891804,345332,1.21,1242756,1567271
Maharashtra,Gadchiroli,2015,597168,250616,1637330,1.57,1055760,176140
Maharashtra,Gadchiroli,2016,2418280,1715608,235754,1.64,453155,1280438
Maharashtra,Gadchiroli,2017,358744,2280106,66560,1.67,925893,339611
Maharashtra,Gadchiroli,2018,2060040,2108311,1022591,2.88,1939678,826733
Maharashtra,Gadchiroli,2019,2508644,336367,92626,1.21,108654,1700633
Maharashtra,Gadchiroli,2020,3699273,1870252,2019793,2.51,525528,2286052
Maharashtra,Gadchiroli,2021,4748693,319099,1222674,2.53,546821,638579
Maharashtra,Gadchiroli,2022,3800858,219305,2120036,1.88,411303,2680738
Maharashtra,Gadchiroli,2023,3289172,1404732,139591,2.69,534778,2797116
Maharashtra,Gadchiroli,2024,2359577,880566,239060,0.66,1650442,223862
Maharashtra,Gadchiroli,2025,1529740,531695,1343286,3.14,548834,1942625
Maharashtra,Gondia,2015,499246,1013901,556618,2.27,574821,1246356
Maharashtra,Gondia,2016,2055559,939218,2225089,1.92,560993,1462457
Maharashtra,Gondia,2017,1534404,2230862,682877,1.62,1992379,2845795
Maharashtra,Gondia,2018,1988923,1058525,949810,2.69,663543,300088
Maharashtra,Gondia,2019,1049230,84958,2171787,1.23,1721651,2127097
Maharashtra,Gondia,2020,2676225,1267367,1410798,1.02,798081,774558
Maharashtra,Gondia,2021,1310704,818247,2200038,2.15,438354,146821
Maharashtra,Gondia,2022,4748392,1197505,2147134,3.4,122127,1509310
Maharashtra,Gondia,2023,3928218,472937,1311940,3.42,898404,1130566
Maharashtra,Gondia,2024,4673288,538753,2112399,2.43,541199,1807952
Maharashtra,Gondia,2025,2003880,1828719,370841,2.29,512568,780571
Maharashtra,Hingoli,2015,1812206,1009029,2338947,3.04,1970123,1255683
Maharashtra,Hingoli,2016,4797531,255163,1913345,3.44,1179686,2999982
Maharashtra,Hingoli,2017,3839773,342871,425284,1.67,629926,1706680
Maharashtra,Hingoli,2018,3636951,1762715,735206,2.94,64838,1629210
Maharashtra,Hingoli,2019,1232194,258815,85436,1.59,1103771,1975653
Maharashtra,Hingoli,2020,2744555,356962,310547,1.24,589976,519540
Maharashtra,Hingoli,2021,2370630,1618462,2248845,2.27,987138,1696721
Maharashtra,Hingoli,2022,2527696,2349784,149055,1.65,60195,390778
Maharashtra,Hingoli,2023,3946316,1793521,640195,2.28,1221945,2738823
Maharashtra,Hingoli,2024,177081,2319900,674473,1.96,1782461,650163
Maharashtra,Hingoli,2025,3038698,2180017,1445343,0.67,1484013,775148
Maharashtra,Jalgaon,2015,2292484,1850726,2235804,2.33,1925665,2392975
Maharashtra,Jalgaon,2016,1760038,2452006,664941,3.02,1322635,422244
Maharashtra,Jalgaon,2017,4335261,52754,2338398,1.32,751154,1319373
Maharashtra,Jalgaon,2018,2322129,2042738,2404292,0.79,698451,616407
Maharashtra,Jalgaon,2019,4138290,1898765,1243446,1.19,434481,2841951
Maharashtra,Jalgaon,2020,2784653,1724878,2092616,2.88,1614985,1912844
Maharashtra,Jalgaon,2021,2295747,1659909,1635723,2.01,1067570,1455198
Maharashtra,Jalgaon,2022,2292173,2468136,1754694,2.44,251304,697447
Maharashtra,Jalgaon,2023,1630402,2077645,2023069,1.34,1200177,2282988
Maharashtra,Jalgaon,2024,2941526,891850,431615,3.23,1382850,2216785
Maharashtra,Jalgaon,2025,1160155,2221600,477913,1.28,758743,2604956
Maharashtra,Jalna,2015,2100560,2029672,2098987,1.43,1484119,2947975
Maharashtra,Jalna,2016,3332596,760489,499888,3.29,1842983,2898121
Maharashtra,Jalna,2017,2502779,1438710,1469925,0.94,362203,1137495
Maharashtra,Jalna,2018,3701774,2303593,115884,1.09,1766263,723979
Maharashtra,Jalna,2019,1441460,1380063,1248591,3.42,1832964,577597
Maharashtra,Jalna,2020,1513345,1374044,2324193,2.87,755033,468475
Maharashtra,Jalna,2021,650637,147841,1262870,1.12,1526510,2116693
Maharashtra,Jalna,2022,2329298,1819159,2368789,2.27,1234687,2589866
Maharashtra,Jalna,2023,4451352,42185,2409297,2.99,1613387,2543865
Maharashtra,Jalna,2024,191420,946614,1558784,3.2,1963385,117026
Maharashtra,Jalna,2025,1959947,2302186,235591,2.96,1510759,498616
Maharashtra,Kolhapur,2015,800454,486935,2487206,2.2,1085247,1412957
Maharashtra,Kolhapur,2016,4423085,1459461,1308706,1.62,1737882,873974
Maharashtra,Kolhapur,2017,3629341,1451001,1070441,2.04,571051,2611923
Maharashtra,Kolhapur,2018,4979818,609918,26501,2.16,1104612,2775555
Maharashtra,Kolhapur,2019,235353,1677083,1274928,3.0,1681037,1874425
Maharashtra,Kolhapur,2020,464508,2116462,729539,3.03,513761,1752618
Maharashtra,Kolhapur,2021,618232,2328689,1922023,2.09,1833728,1825091
Maharashtra,Kolhapur,2022,664324,1776062,2484998,0.65,1506095,344738
Maharashtra,Kolhapur,2023,3346396,932356,1579924,2.73,1555080,1200352
Maharashtra,Kolhapur,2024,3891001,422000,756336,3.27,400834,2007364
Maharashtra,Kolhapur,2025,4496501,1686792,1501101,3.14,61228,1044738
Maharashtra,Latur,2015,3963278,406272,147133,3.3,1754957,2246980
Maharashtra,Latur,2016,1486024,1277425,26103,2.24,1781512,229347
Maharashtra,Latur,2017,4648764,473098,799462,3.21,868983,1117701
Maharashtra,Latur,2018,913379,248117,611648,2.41,374904,2775753
Maharashtra,Latur,2019,4621234,545686,1198729,1.14,668670,504313
Maharashtra,Latur,2020,4107103,2393159,1877011,3.08,297731,1810942
Maharashtra,Latur,2021,506440,1883197,352644,3.48,356896,239910
Maharashtra,Latur,2022,4823610,134070,1875066,1.84,1579040,2248882
Maharashtra,Latur,2023,2259062,834125,1348023,1.15,1892056,1656311
Maharashtra,Latur,2024,654902,552150,425231,3.49,30775,1395171
Maharashtra,Latur,2025,1629188,1024201,625758,2.15,1212849,2826102
Maharashtra,Mumbai City,2015,1670388,145954,134075,1.81,1215992,2193933
Maharashtra,Mumbai City,2016,813356,2390490,2348891,2.24,524743,441766
Maharashtra,Mumbai City,2017,1066737,1231258,1135776,3.18,361676,2057528
Maharashtra,Mumbai City,2018,1639035,489218,370975,1.33,879544,531823
Maharashtra,Mumbai City,2019,2782599,1169368,240330,0.71,1876071,2116872
Maharashtra,Mumbai City,2020,3891363,1176874,324744,0.94,494604,1406091
Maharashtra,Mumbai City,2021,3392064,1952826,1144900,1.85,770064,1361034
Maharashtra,Mumbai City,2022,2068527,1053529,235286,2.92,1818819,771448
Maharashtra,Mumbai City,2023,3347813,2181232,1005954,1.6,1361046,897732
Maharashtra,Mumbai City,2024,1953936,1961983,1218460,3.23,1669965,1415530
Maharashtra,Mumbai City,2025,4942209,943565,166770,1.2,433072,2099331
Maharashtra,Mumbai Suburban,2015,3143439,463419,684139,2.02,1452610,43054
Maharashtra,Mumbai Suburban,2016,3473787,58235,2336479,3.41,989346,1252053
Maharashtra,Mumbai Suburban,2017,195264,1119576,1706936,1.96,453875,2009254
Maharashtra,Mumbai Suburban,2018,3166311,395771,2197609,2.62,368224,2249677
Maharashtra,Mumbai Suburban,2019,1373791,902115,2053580,1.99,1981313,46444
Maharashtra,Mumbai Suburban,2020,2089287,1825145,1017885,1.9,1471682,55302
Maharashtra,Mumbai Suburban,2021,2683348,2072449,2001967,3.15,1990651,1688751
Maharashtra,Mumbai Suburban,2022,3005622,2491347,250931,1.82,1009801,1014351
Maharashtra,Mumbai Suburban,2023,4359515,2356613,2027354,1.53,1548591,2051560
Maharashtra,Mumbai Suburban,2024,391553,1885915,188820,3.42,1630736,676845
Maharashtra,Mumbai Suburban,2025,1148557,212395,1201410,0.68,1026659,1656673
Maharashtra,Nagpur,2015,4594696,2224555,682170,2.91,677778,1369028
Maharashtra,Nagpur,2016,3531985,2436256,51000,2.36,836284,1512443
Maharashtra,Nagpur,2017,4552631,2167622,1812729,2.79,670374,1556925
Maharashtra,Nagpur,2018,3669568,2220266,1839471,1.12,710892,2771628
Maharashtra,Nagpur,2019,2800984,1544332,558628,2.85,1171363,211752
Maharashtra,Nagpur,2020,3040636,2362911,1280163,2.19,1886252,1112202
Maharashtra,Nagpur,2021,2850397,275022,534678,3.03,1254365,1901358
Maharashtra,Nagpur,2022,4410756,928404,859263,0.94,78430,2777315
Maharashtra,Nagpur,2023,1414663,746832,184522,1.75,1169047,1583814
Maharashtra,Nagpur,2024,2599948,1335568,1974583,0.97,1501768,2140244
Maharashtra,Nagpur,2025,4267697,1265340,2285831,2.13,701819,1352918
Maharashtra,Nanded,2015,4276052,1094379,1996618,2.43,992557,64169
Maharashtra,Nanded,2016,4667799,1421778,2146225,3.12,1781177,2795628
Maharashtra,Nanded,2017,3432492,2480317,874525,1.65,1534937,1898634
Maharashtra,Nanded,2018,1034725,2219160,147074,1.83,157364,22984
Maharashtra,Nanded,2019,1610259,2344896,2119362,2.58,582291,2229716
Maharashtra,Nanded,2020,1991523,1869365,25167,0.65,495090,608215
Maharashtra,Nanded,2021,3499943,1694735,1678761,2.35,763525,1881400
Maharashtra,Nanded,2022,1153678,2357059,2008087,2.62,1505055,1106031
Maharashtra,Nanded,2023,147871,484452,1024993,2.46,1463995,957568
Maharashtra,Nanded,2024,3542271,1876553,1838628,1.7,841925,217477
Maharashtra,Nanded,2025,683928,2264084,1217099,2.79,551823,2940689
Maharashtra,Nandurbar,2015,2623489,508716,1997572,1.56,625184,1215128
Maharashtra,Nandurbar,2016,3760363,610447,154041,3.5,996481,1010121
Maharashtra,Nandurbar,2017,3569407,2442574,848471,2.04,1057391,2478290
Maharashtra,Nandurbar,2018,4637491,1040072,493215,0.75,1906481,1470077
Maharashtra,Nandurbar,2019,1967061,1338781,172057,1.31,1493321,653859
Maharashtra,Nandurbar,2020,765776,1976606,1142582,3.07,1497173,712135
Maharashtra,Nandurbar,2021,250814,1841089,1948417,1.01,544073,362359
Maharashtra,Nandurbar,2022,1837367,2443252,282743,2.44,705043,582493
Maharashtra,Nandurbar,2023,3247000,2419762,1995218,2.17,1545092,38599
Maharashtra,Nandurbar,2024,3193573,1986218,230343,1.98,1350963,119762
Maharashtra,Nandurbar,2025,1567616,922177,1596257,1.13,894147,2622026
Maharashtra,Nashik,2015,3936093,950019,1703309,2.5,454604,290716
Maharashtra,Nashik,2016,2712914,575452,1262328,3.18,1612105,760522
Maharashtra,Nashik,2017,461810,623199,582929,3.14,244145,1319860
Maharashtra,Nashik,2018,1731943,1017604,2411415,1.18,1588105,635512
Maharashtra,Nashik,2019,1930118,1339881,1724252,1.14,1213610,1793304
Maharashtra,Nashik,2020,2543680,342420,935941,2.86,1603764,1047539
Maharashtra,Nashik,2021,1238928,2351528,1815047,2.13,1569091,1244612
Maharashtra,Nashik,2022,4321275,1324183,1062382,2.07,614681,2755042
Maharashtra,Nashik,2023,1581510,2221759,901575,3.13,462394,2721958
Maharashtra,Nashik,2024,4870471,1873258,2018285,1.8,1064349,1067425
Maharashtra,Nashik,2025,720811,1640787,1729823,1.18,783301,1358762
Maharashtra,Osmanabad (Dharashiv),2015,4086620,2231970,2397660,0.82,1690475,329256
Maharashtra,Osmanabad (Dharashiv),2016,344524,846316,700409,2.83,392284,1947790
Maharashtra,Osmanabad (Dharashiv),2017,2448381,785233,551344,1.57,384636,2963769
Maharashtra,Osmanabad (Dharashiv),2018,183505,1379901,2006852,2.42,1531827,2084948
Maharashtra,Osmanabad (Dharashiv),2019,4841393,767615,367481,0.98,1773409,2022201
Maharashtra,Osmanabad (Dharashiv),2020,1719473,553816,44657,0.64,1367637,469334
Maharashtra,Osmanabad (Dharashiv),2021,2802910,870680,1092274,2.39,1615408,2528556
Maharashtra,Osmanabad (Dharashiv),2022,781518,1334573,1999530,1.39,253542,2758497
Maharashtra,Osmanabad (Dharashiv),2023,4641783,1774248,1055979,2.37,1191318,1522078
Maharashtra,Osmanabad (Dharashiv),2024,2730587,1848293,73840,0.9,1748611,1053224
Maharashtra,Osmanabad (Dharashiv),2025,2436379,840540,1263618,2.65,497087,683254
Maharashtra,Palghar,2015,4102230,1171902,2068892,3.03,1206614,1203476
Maharashtra,Palghar,2016,2855298,1948131,2139135,3.28,467720,1168409
Maharashtra,Palghar,2017,749596,2453358,951477,1.75,573920,2036115
Maharashtra,Palghar,2018,4477814,2176335,606606,2.2,892096,2349455
Maharashtra,Palghar,2019,4081977,1722144,1602912,1.26,1385666,2166399
Maharashtra,Palghar,2020,2349306,283371,2219311,1.58,1282635,2731023
Maharashtra,Palghar,2021,4038098,1213255,475775,1.2,1118273,1180197
Maharashtra,Palghar,2022,1142104,258325,2091416,2.3,1313974,2494078
Maharashtra,Palghar,2023,1013695,1049213,754506,1.84,1930994,2305982
Maharashtra,Palghar,2024,3634881,1338188,363769,2.25,1361871,2593018
Maharashtra,Palghar,2025,1403966,2303508,595975,3.19,379951,2396317
Maharashtra,Parbhani,2015,4524966,1361401,1502216,2.28,1641074,2507026
Maharashtra,Parbhani,2016,2780955,832890,1881255,3.16,956188,2166451
Maharashtra,Parbhani,2017,788504,2342271,1647021,2.24,558651,2050820
Maharashtra,Parbhani,2018,3781507,2360150,260325,3.14,588754,2081002
Maharashtra,Parbhani,2019,825438,1200594,1285113,1.26,1099094,1959585
Maharashtra,Parbhani,2020,1416234,1084410,2028601,2.92,960259,2627694
Maharashtra,Parbhani,2021,2633504,1492088,437780,2.22,986801,1219534
Maharashtra,Parbhani,2022,2861248,293582,527551,2.9,1969981,2414941
Maharashtra,Parbhani,2023,4369697,310708,1987988,2.65,1087139,1466267
Maharashtra,Parbhani,2024,2250281,856831,1287305,1.88,894418,1376470
Maharashtra,Parbhani,2025,106417,758621,40739,0.93,552845,1185121
Maharashtra,Pune,2015,3810528,350165,1996662,1.52,456602,1670447
Maharashtra,Pune,2016,2598015,667425,1389988,0.67,1460944,1969829
Maharashtra,Pune,2017,1416174,1652035,282976,2.43,545535,748706
Maharashtra,Pune,2018,2776110,2477490,1209854,2.1,1254854,60079
Maharashtra,Pune,2019,3553014,641847,1304021,2.61,1744399,961706
Maharashtra,Pune,2020,3033315,55598,2010453,0.67,745354,1608448
Maharashtra,Pune,2021,1042037,76123,2252685,3.17,1549839,2581853
Maharashtra,Pune,2022,799701,88460,1118654,1.66,760613,2586942
Maharashtra,Pune,2023,1940797,1516749,183653,1.4,324823,2875241
Maharashtra,Pune,2024,3548322,420360,272219,0.62,1972847,2755365
Maharashtra,Pune,2025,1224085,2325276,888727,2.56,841856,2756273
Maharashtra,Raigad,2015,1345701,376869,861480,2.65,797940,2398468
Maharashtra,Raigad,2016,1428561,2426185,332165,1.02,1119881,162316
Maharashtra,Raigad,2017,4051459,1862315,1085851,3.3,1654837,1225551
Maharashtra,Raigad,2018,4117713,1947176,1317336,2.87,315766,606554
Maharashtra,Raigad,2019,4985265,2275890,2249388,1.92,694805,2790765
Maharashtra,Raigad,2020,3311393,1825447,2258920,2.63,358708,2426515
Maharashtra,Raigad,2021,824511,2490892,965114,0.56,1242813,1923221
Maharashtra,Raigad,2022,1569900,78531,1070783,1.39,461740,1839490
Maharashtra,Raigad,2023,4052975,1494634,2014908,2.42,414533,1716154
Maharashtra,Raigad,2024,1816203,2036282,1629665,3.24,1817067,2772132
Maharashtra,Raigad,2025,1348604,51570,2448517,1.16,1899714,1584554
Maharashtra,Ratnagiri,2015,4909279,1849977,301675,2.87,1506731,2291709
Maharashtra,Ratnagiri,2016,2135006,1612209,844934,2.84,1692748,1813261
Maharashtra,Ratnagiri,2017,298971,1710267,254082,2.05,650502,495434
Maharashtra,Ratnagiri,2018,202926,1032490,1421636,3.22,1246987,2796016
Maharashtra,Ratnagiri,2019,2960240,1647738,1666419,3.49,1560399,2351359
Maharashtra,Ratnagiri,2020,4065368,2151254,2399480,0.93,1074590,614694
Maharashtra,Ratnagiri,2021,1918414,1552445,2434352,3.42,196619,2211150
Maharashtra,Ratnagiri,2022,4485202,636048,769928,2.67,1833938,535266
Maharashtra,Ratnagiri,2023,3107377,2372323,1302109,2.02,297795,2304015
Maharashtra,Ratnagiri,2024,4179022,1241384,121942,3.22,1263840,252443
Maharashtra,Ratnagiri,2025,4111088,1189646,939319,2.8,1958038,1109018
Maharashtra,Sangli,2015,2835113,1796002,1347166,1.07,1492533,1349209
Maharashtra,Sangli,2016,3520383,1656550,957557,1.6,1165409,536346
Maharashtra,Sangli,2017,2646830,1572535,435651,1.49,1231169,1274431
Maharashtra,Sangli,2018,3701732,2162048,1129526,3.34,379384,1554571
Maharashtra,Sangli,2019,2205901,372257,1973034,0.85,499391,2042515
Maharashtra,Sangli,2020,1334495,147398,891894,2.33,1482672,141249
Maharashtra,Sangli,2021,2080527,1985389,2039565,2.81,749375,1879815
Maharashtra,Sangli,2022,4289903,850584,1777514,1.25,1405569,1950071
Maharashtra,Sangli,2023,4203005,2123095,475086,2.67,1170727,606935
Maharashtra,Sangli,2024,66086,351987,1937988,0.74,407825,38446
Maharashtra,Sangli,2025,2583699,2457405,790565,3.14,740774,1120989
Maharashtra,Satara,2015,4389197,1057071,2022572,3.28,236530,780901
Maharashtra,Satara,2016,3066673,2366000,1858229,1.01,432482,1564006
Maharashtra,Satara,2017,3810548,630022,501595,0.59,1820117,2311133
Maharashtra,Satara,2018,4688817,1763957,488490,2.09,1089383,372646
Maharashtra,Satara,2019,1832799,1699763,407770,3.33,471538,2206393
Maharashtra,Satara,2020,1091806,1548312,1873862,1.61,1927280,433927
Maharashtra,Satara,2021,1754854,959875,1510660,3.21,234758,2174100
Maharashtra,Satara,2022,4798090,2175987,2186999,2.94,176004,1649495
Maharashtra,Satara,2023,2432590,2173742,1184087,1.41,701176,641917
Maharashtra,Satara,2024,244420,315106,1627699,3.23,574445,2460509
Maharashtra,Satara,2025,2943453,2219643,2457853,1.11,1021201,1606112
Maharashtra,Sindhudurg,2015,1901872,746092,1879958,3.41,58363,48384
Maharashtra,Sindhudurg,2016,2880666,1760441,697437,3.47,746663,2923582
Maharashtra,Sindhudurg,2017,2621750,712369,2108786,2.78,829436,348812
Maharashtra,Sindhudurg,2018,2865799,1256014,697589,1.78,1875391,1662232
Maharashtra,Sindhudurg,2019,3135235,2062306,270671,2.09,1737314,440695
Maharashtra,Sindhudurg,2020,2330536,841852,928349,2.53,1543289,2651066
Maharashtra,Sindhudurg,2021,196206,1338503,746785,2.58,1460443,1132476
Maharashtra,Sindhudurg,2022,1115392,1600314,2093226,0.53,239884,838940
Maharashtra,Sindhudurg,2023,3585116,1883679,1965311,0.97,256720,371943
Maharashtra,Sindhudurg,2024,2779053,1004791,2365079,1.55,1503950,885229
Maharashtra,Sindhudurg,2025,1235205,831876,1899890,2.12,1092702,1162117
Maharashtra,Solapur,2015,1796952,1505031,561254,0.92,1966904,1827037
Maharashtra,Solapur,2016,2321493,1663047,2298783,3.07,250626,2114710
Maharashtra,Solapur,2017,4596885,1898289,1482784,1.54,1883212,101514
Maharashtra,Solapur,2018,861356,1543772,2042823,2.91,500219,1277709
Maharashtra,Solapur,2019,1563516,988638,1420203,0.82,382024,101428
Maharashtra,Solapur,2020,3232940,1911271,938777,2.8,728526,1115001
Maharashtra,Solapur,2021,1866111,1251603,157868,0.88,1267622,2621211
Maharashtra,Solapur,2022,2290431,1239989,421500,2.39,733749,135833
Maharashtra,Solapur,2023,3381972,1705799,1842628,2.92,360235,195343
Maharashtra,Solapur,2024,2950658,2479898,870707,2.34,108990,1030065
Maharashtra,Solapur,2025,2696219,2180178,1360176,0.84,461440,236549
Maharashtra,Thane,2015,3220388,2253138,1295731,3.18,614481,895391
Maharashtra,Thane,2016,668182,765831,482989,0.99,325501,602551
Maharashtra,Thane,2017,1419252,749482,1787728,2.09,1899438,973526
Maharashtra,Thane,2018,2694368,2327470,1480180,0.66,1506096,1770580
Maharashtra,Thane,2019,3450536,637425,847447,2.2,1740977,988043
Maharashtra,Thane,2020,4438685,1447958,753729,1.66,276021,2993283
Maharashtra,Thane,2021,1803591,823567,1107031,1.83,1152934,1668204
Maharashtra,Thane,2022,531045,1836307,62722,1.53,774757,1166816
Maharashtra,Thane,2023,2617503,1862359,347661,0.76,536875,755844
Maharashtra,Thane,2024,4879900,2018663,2406805,2.94,1602491,593725
Maharashtra,Thane,2025,289430,2025656,287187,1.34,1588674,1067047
Maharashtra,Wardha,2015,4225596,2131595,1692261,2.93,1499113,1708663
Maharashtra,Wardha,2016,3288157,88609,363995,0.8,602047,721819
Maharashtra,Wardha,2017,1276025,44229,2026562,0.64,888126,214644
Maharashtra,Wardha,2018,456921,602859,1055117,1.12,210326,1947569
Maharashtra,Wardha,2019,3872439,287922,489532,0.58,1167849,2707524
