state,district,year,factories,industrial_output,manufacturing_index,employment_rate,electricity_usage,export_value,industrial_growth
Uttar Pradesh,Kanpur Nagar,2015,12.95,37.09,64.41,23.06,55.04,43.21,24.13
Assam,Dibrugarh,2020,83.61,36.21,86.79,30.35,28.04,65.62,47.66
Assam,Kamrup Metropolitan,2024,41.37,89.0,11.13,26.84,83.16,94.27,82.38
Telangana,Ranga Reddy,2022,23.82,74.36,77.43,39.85,21.67,83.26,25.83
Assam,Darrang,2023,14.47,53.23,43.12,83.37,45.28,37.02,23.72
Andhra Pradesh,Visakhapatnam,2022,47.13,66.71,36.71,77.55,85.36,64.18,93.84
Karnataka,Vijayapura,2023,56.77,34.91,45.61,25.99,65.79,80.63,96.84
Gujarat,Bharuch,2018,67.6,35.84,79.33,61.34,21.63,89.59,65.22
Uttar Pradesh,Chandauli,2021,56.82,19.21,76.32,27.5,31.23,16.15,18.33
Punjab,Pathankot,2020,84.35,43.42,41.82,10.09,70.99,75.98,64.55
Madhya Pradesh,Guna,2019,80.28,15.99,55.15,79.38,50.49,37.76,15.0
Punjab,Sahibzada Ajit Singh Nagar (Mohali),2025,22.18,20.56,14.93,80.03,56.34,45.14,46.4
Karnataka,Yadgir,2016,60.81,72.86,52.17,50.73,97.64,54.02,20.65
Madhya Pradesh,Betul,2018,29.1,93.56,97.19,39.44,49.95,73.18,86.87
Telangana,Jayashankar Bhupalpally,2020,20.09,60.73,85.91,42.56,45.02,57.46,15.55
Gujarat,Ahmedabad,2018,20.16,66.69,71.5,36.58,10.68,22.59,58.09
Telangana,Siddipet,2024,81.84,91.89,49.24,10.56,28.06,50.57,91.87
West Bengal,Howrah,2018,16.8,36.32,33.78,43.69,34.36,43.62,31.46
Bihar,Banka,2018,17.46,48.46,38.34,45.82,85.14,31.23,95.74
Madhya Pradesh,Bhind,2020,25.2,76.25,15.98,17.08,81.46,79.05,70.86
Bihar,Bhagalpur,2021,79.56,93.08,71.15,80.09,53.27,43.58,15.42
Punjab,Mansa,2015,91.95,31.39,91.54,76.69,32.73,43.7,46.78
Telangana,Warangal,2015,83.77,77.44,12.77,36.06,47.9,60.37,96.3
Uttarakhand,Udham Singh Nagar,2018,74.96,57.06,62.26,34.6,40.74,46.65,43.97
Uttarakhand,Dehradun,2019,96.14,17.61,48.73,95.39,35.45,40.07,74.17
Arunachal Pradesh,Lower Subansiri,2016,50.17,39.14,73.41,74.19,91.3,90.91,78.78
Rajasthan,Kotputli-Behror,2021,78.58,25.89,66.56,40.37,38.43,86.96,45.21
Tamil Nadu,Pudukkottai,2020,54.03,40.83,27.53,53.97,32.55,39.64,95.16
Meghalaya,West Khasi Hills,2021,63.96,18.91,82.86,32.01,77.54,18.36,81.66
Odisha,Khordha,2022,50.53,71.56,87.94,53.68,81.85,24.78,18.06
Haryana,Panipat,2018,47.94,38.9,89.58,86.97,21.71,22.15,69.65
Uttar Pradesh,Kasganj,2018,55.04,28.95,44.97,73.96,21.56,81.18,13.32
Andhra Pradesh,Prakasam,2025,12.78,29.1,78.6,99.66,72.35,41.1,43.08
Assam,Dima Hasao,2022,15.23,72.08,79.01,90.24,19.13,81.82,99.36
Andhra Pradesh,Tirupati,2018,15.99,10.12,26.77,76.54,44.03,16.38,86.74
Chhattisgarh,Janjgir-Champa,2021,97.75,67.05,23.9,22.6,75.36,99.14,98.85
Madhya Pradesh,Khargone,2025,19.73,82.55,30.79,49.55,95.83,75.87,82.01
Maharashtra,Nandurbar,2019,98.64,35.19,59.87,33.83,18.78,65.68,60.11
Rajasthan,Pratapgarh,2025,34.28,13.23,89.52,96.82,86.0,70.57,77.67
Maharashtra,Pune,2020,84.79,45.41,27.41,31.23,98.8,19.97,75.04
Arunachal Pradesh,Tirap,2015,96.84,92.9,73.53,11.73,53.87,61.6,12.65
Arunachal Pradesh,Kamle,2023,89.05,68.95,26.8,11.24,67.67,30.37,80.37
Punjab,Barnala,2023,44.42,71.81,42.43,85.51,10.04,68.54,59.25
Nagaland,Mon,2016,59.86,33.44,98.86,49.38,93.33,26.65,70.43
Madhya Pradesh,Anuppur,2024,31.15,81.49,48.49,13.08,78.48,16.84,71.09
Tripura,Unakoti,2020,74.31,91.89,45.25,62.97,65.58,60.23,22.45
Madhya Pradesh,Sidhi,2019,67.29,88.2,59.32,81.47,36.16,59.06,10.34
Nagaland,Mokokchung,2017,94.95,73.35,52.18,50.24,72.31,77.17,33.92
Maharashtra,Chandrapur,2024,35.14,76.72,56.08,29.21,10.23,11.95,76.75
Rajasthan,Pratapgarh,2020,38.27,27.25,99.17,12.88,49.93,48.71,59.56
West Bengal,Alipurduar,2021,54.12,69.92,83.37,40.37,28.38,85.56,63.55
Rajasthan,Churu,2020,54.26,31.9,62.12,86.19,59.13,11.08,39.23
Punjab,Hoshiarpur,2017,38.34,29.82,74.0,39.98,38.58,77.4,43.34
Assam,Dibrugarh,2019,51.55,33.78,80.38,68.73,95.93,48.97,17.5
Bihar,Madhepura,2023,53.21,76.1,26.6,38.98,89.52,59.42,20.68
Telangana,Hanamkonda,2015,10.5,27.51,53.95,36.57,15.02,34.86,64.18
Arunachal Pradesh,Kurung Kumey,2015,24.83,10.57,80.36,76.44,61.99,68.88,85.03
Nagaland,Tuensang,2015,18.26,95.96,61.11,72.65,19.93,19.97,96.99
Jharkhand,Simdega,2025,83.77,94.54,35.45,25.56,28.75,87.66,92.15
Punjab,Amritsar,2017,79.8,75.25,99.59,40.85,23.86,64.95,17.63
Mizoram,Aizawl,2022,84.09,17.64,46.97,38.3,58.76,65.81,45.58
Rajasthan,Hanumangarh,2015,83.78,61.78,38.26,67.49,19.53,13.45,91.44
Uttar Pradesh,Jalaun,2022,68.09,83.8,38.95,82.77,44.7,89.94,55.04
Arunachal Pradesh,Tirap,2016,52.95,67.57,45.67,86.08,85.44,71.14,92.18
Nagaland,Chümoukedima,2015,67.33,78.94,41.06,65.01,55.25,69.16,11.79
Odisha,Angul,2020,18.74,69.13,35.89,15.5,52.93,50.55,70.59
Haryana,Fatehabad,2019,76.1,75.16,47.06,24.76,84.98,99.58,95.3
Nagaland,Dimapur,2015,16.48,73.78,22.37,71.33,70.43,61.84,26.36
Arunachal Pradesh,Lohit,2019,95.25,50.24,20.61,86.54,17.39,51.12,89.9
Maharashtra,Washim,2015,71.97,61.63,42.01,54.5,84.61,88.54,53.95
Odisha,Sonepur,2017,32.47,31.05,31.72,22.91,17.71,53.49,91.51
Gujarat,Junagadh,2016,55.26,24.72,63.52,83.76,68.13,44.42,75.49
Assam,Udalguri,2023,33.05,69.82,77.69,69.58,81.84,39.98,73.01
Odisha,Kalahandi,2018,29.04,79.25,87.66,85.77,41.16,66.78,71.61
Rajasthan,Salumbar,2023,62.13,59.73,50.15,81.31,73.55,18.38,47.03
Assam,Darrang,2019,80.55,33.34,16.38,13.51,72.64,68.09,26.57
Maharashtra,Sindhudurg,2016,82.52,46.61,76.12,17.35,33.67,93.04,97.03
Madhya Pradesh,Khandwa,2015,29.63,43.69,24.89,15.34,74.81,79.39,57.65
Rajasthan,Bundi,2015,16.38,70.45,76.99,62.07,92.62,29.0,43.21
Uttar Pradesh,Rae Bareli,2020,49.22,74.54,78.56,26.83,50.5,67.75,98.13
Uttar Pradesh,Bahraich,2023,45.83,97.89,38.03,53.18,89.48,98.19,92.49
Chhattisgarh,Balrampur,2018,25.75,85.43,84.42,55.04,43.19,45.69,75.13
West Bengal,Dakshin Dinajpur,2023,54.32,42.87,79.58,44.93,52.58,97.07,45.6
Chhattisgarh,Kanker,2018,88.61,56.96,57.55,38.87,37.17,33.65,52.66
Odisha,Khordha,2018,32.5,54.43,93.0,30.87,57.93,83.16,28.28
Tripura,Unakoti,2024,60.11,79.68,52.09,14.55,96.77,28.76,74.72
Madhya Pradesh,Umaria,2021,36.93,11.79,31.31,82.02,67.84,87.8,96.94
Karnataka,Vijayanagara,2017,56.76,28.48,91.53,20.99,24.85,14.19,42.47
Madhya Pradesh,Panna,2017,56.25,29.93,58.45,71.29,16.5,33.68,58.06
Rajasthan,Anupgarh,2017,95.26,64.62,70.65,44.66,26.94,35.93,72.72
Nagaland,Zunheboto,2022,69.64,63.36,20.52,27.16,46.43,98.5,74.28
Andhra Pradesh,Sri Sathya Sai,2025,98.87,35.35,94.23,16.5,59.28,23.05,68.79
Odisha,Kendrapara,2022,83.77,59.5,40.52,84.91,44.25,64.03,35.01
Karnataka,Kolar,2018,65.32,91.95,35.83,51.64,94.8,83.85,95.48
Tamil Nadu,Namakkal,2022,10.87,41.6,83.07,13.99,73.73,85.23,89.08
Himachal Pradesh,Kangra,2020,83.0,23.18,25.21,86.75,59.99,94.23,62.59
Kerala,Idukki,2025,97.15,41.69,86.94,49.26,97.44,77.28,18.79
Telangana,Nizamabad,2015,49.56,83.54,76.18,93.45,81.96,15.98,52.26
Nagaland,Noklak,2025,69.08,40.81,95.64,69.17,47.67,99.11,72.57
Uttar Pradesh,Auraiya,2023,62.82,72.92,20.5,64.1,86.4,12.53,16.6
Maharashtra,Dhule,2020,47.64,85.79,74.87,59.99,40.32,54.09,49.12
Uttar Pradesh,Mirzapur,2025,90.17,53.72,65.1,48.86,19.93,46.18,37.13
Maharashtra,Kolhapur,2022,26.48,20.36,16.95,81.2,16.96,71.14,24.52
Bihar,Siwan,2022,65.2,49.41,98.68,45.11,15.02,62.45,42.6
Assam,Chirang,2022,96.19,65.17,95.58,11.74,64.81,38.35,78.44
Bihar,Nawada,2022,88.02,61.04,62.26,58.06,36.69,39.97,98.34
Telangana,Sangareddy,2024,52.25,89.23,46.98,92.31,46.0,32.49,75.57
Kerala,Malappuram,2022,70.9,82.64,61.34,20.53,32.49,30.46,46.5
Andhra Pradesh,Nandyal,2019,87.69,91.49,79.16,43.0,99.79,81.28,59.95
Uttar Pradesh,Barabanki,2023,65.54,17.66,68.25,64.38,58.17,72.35,63.91
Chhattisgarh,Bemetara,2020,20.6,15.6,35.75,76.48,84.28,21.01,89.5
Arunachal Pradesh,Kamle,2016,52.64,26.21,66.93,18.23,92.71,14.2,64.33
Manipur,Kangpokpi,2016,82.17,55.06,49.63,63.67,97.43,95.6,54.85
Assam,South Salmara-Mankachar,2018,90.93,35.44,35.37,30.82,85.09,21.82,74.74
Karnataka,Dharwad,2015,22.67,48.83,10.06,38.59,35.09,65.62,74.5
Haryana,Gurugram,2015,99.01,41.23,77.96,37.92,57.88,56.63,70.64
Uttar Pradesh,Deoria,2019,51.01,79.83,26.72,97.76,51.88,33.58,72.68
Haryana,Hisar,2017,18.54,71.18,97.51,11.46,88.83,74.99,56.54
Haryana,Jind,2023,50.62,64.35,39.76,40.57,46.82,21.42,28.49
Madhya Pradesh,Khargone,2019,74.77,29.67,29.54,10.72,66.17,99.14,37.87
Assam,Sivasagar,2017,23.19,23.7,44.83,57.28,59.85,66.39,71.43
Manipur,Bishnupur,2024,12.18,47.08,39.18,36.28,88.24,23.46,78.36
Maharashtra,Jalna,2017,67.13,57.69,97.31,11.68,31.73,81.13,10.09
Rajasthan,Sri Ganganagar,2015,91.85,89.57,67.28,12.53,77.36,71.56,54.85
Haryana,Panchkula,2022,51.28,79.58,24.61,43.14,70.63,45.08,98.13
Tamil Nadu,Chengalpattu,2016,20.97,34.93,18.01,97.2,18.63,66.07,86.04
Madhya Pradesh,Betul,2016,18.45,79.44,46.02,15.44,49.79,42.91,62.09
West Bengal,Darjeeling,2024,85.45,62.56,82.58,46.9,79.64,12.52,87.21
Odisha,Balangir,2019,31.54,21.33,79.77,67.97,86.62,84.34,45.66
Maharashtra,Hingoli,2015,33.98,74.56,36.18,54.05,61.46,75.1,96.08
Meghalaya,West Garo Hills,2021,29.69,48.54,11.62,21.14,72.39,48.09,11.34
Assam,Dima Hasao,2015,30.13,91.69,73.08,68.08,57.45,26.36,52.23
Bihar,Munger,2016,77.01,41.2,63.19,80.8,71.57,31.15,57.92
Karnataka,Raichur,2016,43.01,30.48,54.1,34.0,99.11,89.97,61.68
Tamil Nadu,Chennai,2024,98.23,23.48,58.94,42.45,94.32,49.09,63.84
Rajasthan,Shahpura,2018,99.74,66.53,97.02,19.04,68.65,80.71,95.02
Uttar Pradesh,Shamli,2020,32.93,50.44,75.56,80.54,74.51,90.68,66.67
Madhya Pradesh,Umaria,2024,78.97,18.79,63.6,59.72,85.85,11.37,78.14
Uttar Pradesh,Bijnor,2021,18.79,19.27,96.42,44.78,19.37,44.27,92.93
Tripura,North Tripura,2025,55.22,62.43,51.43,75.75,59.16,37.94,82.79
Kerala,Kasaragod,2016,50.53,48.92,40.83,45.49,46.63,14.01,27.24
Gujarat,Kheda,2024,52.47,93.38,66.03,74.79,72.57,51.96,67.66
Telangana,Warangal,2024,50.58,13.97,44.89,94.63,15.62,28.41,50.97
Himachal Pradesh,Hamirpur,2023,94.84,61.11,84.66,61.28,13.29,91.63,95.15
Odisha,Sundargarh,2016,21.97,15.02,44.16,24.32,53.02,49.45,30.62
Madhya Pradesh,Damoh,2020,90.36,55.65,40.66,84.33,43.78,30.56,89.48
Himachal Pradesh,Kangra,2015,73.26,72.69,30.01,85.33,66.15,55.21,80.47
Bihar,Madhubani,2023,68.76,76.67,28.71,87.81,94.01,96.73,23.84
Mizoram,Saitual,2015,17.79,91.41,32.85,29.31,20.24,71.0,96.0
Madhya Pradesh,Ashoknagar,2024,16.16,37.42,84.01,75.59,24.95,75.35,14.74
Madhya Pradesh,Sheopur,2023,66.14,29.01,36.57,51.39,71.36,45.43,93.94
Chhattisgarh,Narayanpur,2022,72.93,67.82,78.55,99.43,64.76,42.53,41.57
Tamil Nadu,Ranipet,2018,48.94,58.73,75.35,87.53,17.62,94.11,59.95
Jharkhand,Ranchi,2015,71.25,56.76,62.17,29.31,84.35,73.32,34.69
Uttar Pradesh,Hapur,2016,41.77,86.03,55.09,50.06,49.27,85.52,84.14
Assam,Dhemaji,2023,58.8,44.03,76.24,18.43,65.64,46.1,33.93
Maharashtra,Nandurbar,2018,48.54,11.28,87.19,13.49,52.02,19.19,39.89
West Bengal,North 24 Parganas,2016,44.12,29.36,16.08,39.81,32.6,56.4,45.69
Gujarat,Surat,2022,27.46,23.52,58.58,11.88,78.48,23.63,46.41
Nagaland,Peren,2021,85.98,42.12,85.06,68.5,98.63,95.4,64.36
Rajasthan,Dausa,2021,82.16,58.45,98.17,69.68,52.28,34.73,49.76
Maharashtra,Hingoli,2021,43.23,47.29,40.8,43.73,41.28,84.44,62.8
Punjab,Fazilka,2019,95.68,62.67,67.31,98.49,92.15,52.07,42.05
Gujarat,Dahod,2020,48.14,93.2,11.43,37.11,29.03,62.88,33.6
Assam,Cachar,2016,18.51,56.91,56.79,76.39,34.52,55.04,18.98
Chhattisgarh,Gariaband,2023,46.17,33.31,56.69,10.77,36.92,89.34,16.49
Maharashtra,Wardha,2024,64.8,54.89,86.28,54.59,10.04,91.39,22.39
Bihar,Jehanabad,2017,54.77,16.54,53.17,28.02,58.21,42.52,21.39
Tamil Nadu,Salem,2023,12.09,25.48,21.89,47.15,40.58,40.8,60.97
Mizoram,Aizawl,2021,22.24,19.12,98.63,77.47,17.05,68.35,45.31
Arunachal Pradesh,West Siang,2018,17.85,60.95,20.03,42.17,98.66,17.33,11.63
Telangana,Kamareddy,2018,19.26,40.09,65.52,24.71,37.68,26.73,68.34
Haryana,Rohtak,2022,53.57,72.04,42.93,88.05,56.78,30.77,77.02
Madhya Pradesh,Shahdol,2020,84.63,73.7,84.58,97.09,59.79,75.99,35.09
Uttar Pradesh,Prayagraj,2017,27.39,34.27,60.63,37.34,34.36,96.8,82.4
Manipur,Imphal West,2020,99.06,26.68,20.21,79.49,82.51,39.81,26.95
Karnataka,Chitradurga,2018,36.41,83.0,94.91,67.94,42.35,71.04,47.24
Rajasthan,Nagaur,2025,63.44,91.04,30.3,48.05,13.5,77.06,62.38
Tamil Nadu,Tirupathur,2021,13.42,21.57,95.32,21.23,59.08,59.91,46.62
Karnataka,Belagavi,2019,79.03,90.01,36.09,21.55,26.58,36.76,90.92
Rajasthan,Baran,2025,18.42,54.98,41.13,39.59,12.83,86.65,30.8
Uttar Pradesh,Bahraich,2020,91.08,45.69,33.67,55.42,58.05,49.63,25.34
Gujarat,Botad,2019,40.65,10.39,46.18,68.69,31.27,18.21,72.88
Assam,Darrang,2015,72.44,75.31,21.72,16.18,28.06,85.0,86.58
Nagaland,Tseminyu,2019,99.38,29.3,33.55,26.67,27.73,43.35,70.09
Rajasthan,Jhalawar,2017,43.58,44.21,47.62,41.85,19.9,10.22,54.2
Karnataka,Uttara Kannada,2025,99.58,16.65,92.01,80.65,70.49,12.23,87.13
Gujarat,Gir Somnath,2019,52.15,65.46,30.26,48.62,74.77,29.76,55.74
Punjab,Mansa,2023,94.7,43.67,85.16,80.82,51.32,22.47,42.1
Uttar Pradesh,Shravasti,2023,93.03,29.33,54.83,16.67,93.23,12.98,75.32
Uttar Pradesh,Bulandshahr,2025,16.31,56.84,47.9,80.43,23.51,25.91,78.02
Assam,Majuli,2021,43.21,20.76,10.51,61.7,14.06,87.35,10.55
Uttar Pradesh,Gonda,2016,55.95,70.48,22.1,35.32,36.59,16.14,15.84
Maharashtra,Akola,2019,75.72,47.46,32.36,37.72,92.83,55.33,94.24
Telangana,Jayashankar Bhupalpally,2023,28.93,17.91,72.65,26.16,17.7,45.02,52.25
Tripura,Gomati,2018,68.32,88.05,28.27,11.07,25.6,91.52,41.97
Chhattisgarh,Gariaband,2020,93.2,79.48,64.52,51.42,67.31,25.37,41.86
Assam,West Karbi Anglong,2019,29.67,81.07,76.16,96.63,46.02,41.29,34.93
Rajasthan,Tonk,2015,45.42,29.42,76.64,75.47,18.99,50.88,42.31
Uttar Pradesh,Pilibhit,2015,62.22,20.8,66.38,89.83,21.95,43.31,86.05
Gujarat,Gandhinagar,2022,76.09,61.62,77.45,84.55,91.76,70.23,60.27
Rajasthan,Bharatpur,2022,23.91,44.56,53.42,34.55,17.73,80.52,57.01
Karnataka,Hassan,2023,20.31,86.77,80.46,82.45,67.34,30.81,56.21
Jharkhand,Garhwa,2016,20.51,99.84,97.62,49.37,54.26,41.09,29.27
West Bengal,Nadia,2019,43.9,46.08,76.05,18.74,29.81,12.71,64.23
Uttar Pradesh,Banda,2024,85.38,64.26,11.46,26.12,42.94,40.27,99.1
Odisha,Boudh,2024,73.53,56.42,88.88,88.88,96.23,21.54,75.41
Maharashtra,Latur,2021,27.44,53.69,40.36,76.69,36.8,15.69,34.52
Nagaland,Tseminyu,2019,22.93,72.95,66.48,39.06,39.31,72.23,35.61
Assam,Majuli,2018,58.95,66.14,64.16,89.22,86.82,53.61,11.92
Gujarat,Panchmahal,2022,37.61,39.31,72.8,49.3,74.87,19.48,85.96
Madhya Pradesh,Katni,2020,75.35,40.58,90.91,83.08,48.73,56.16,86.59
Uttar Pradesh,Sant Kabir Nagar,2018,95.97,25.04,54.11,52.99,77.96,48.07,39.45
Haryana,Karnal,2018,95.07,88.12,37.74,37.89,98.17,22.08,56.2
Uttar Pradesh,Sonbhadra,2017,35.67,50.56,93.57,72.8,91.68,81.77,41.35
Gujarat,Navsari,2022,16.77,28.84,35.43,99.23,26.14,50.0,55.08
Arunachal Pradesh,Siang,2023,94.08,90.7,52.57,98.65,13.67,12.76,15.68
Karnataka,Shivamogga,2018,83.6,70.4,26.99,61.32,62.89,52.08,23.94
Punjab,Patiala,2021,17.59,23.44,47.63,26.57,41.42,67.18,17.44
Bihar,Madhepura,2024,66.69,28.5,50.1,97.68,91.17,23.71,45.53
Uttar Pradesh,Prayagraj,2016,76.41,26.69,18.44,41.49,10.98,40.13,73.93
Assam,Kamrup Metropolitan,2019,29.99,28.88,78.39,22.18,52.04,98.3,64.19
Uttar Pradesh,Etawah,2025,66.58,62.34,53.83,73.64,32.37,35.48,17.42
Tamil Nadu,Dharmapuri,2019,17.44,56.24,92.77,82.95,88.1,92.8,96.95
Nagaland,Dimapur,2022,72.01,49.92,74.73,45.59,42.23,52.11,77.38
Haryana,Kurukshetra,2023,39.96,62.38,29.19,77.16,68.8,54.5,10.83
Telangana,Komaram Bheem Asifabad,2015,10.88,10.14,11.2,41.2,92.81,18.56,28.02
Rajasthan,Gangapur City,2016,14.45,99.01,90.63,41.17,77.37,49.99,18.56
Uttar Pradesh,Kasganj,2025,36.23,86.92,78.73,69.55,44.84,69.88,98.86
Telangana,Bhadradri Kothagudem,2017,41.53,60.09,19.6,30.98,58.06,82.21,11.95
Madhya Pradesh,Bhind,2017,22.24,22.73,74.13,17.01,21.08,76.26,41.3
Madhya Pradesh,Sagar,2021,25.56,27.59,38.21,85.15,82.29,68.76,63.13
Karnataka,Ballari,2025,85.3,21.03,61.0,73.93,97.78,20.13,34.25
West Bengal,Malda,2021,43.42,23.75,71.64,97.67,55.74,32.59,88.6
Bihar,Sheikhpura,2017,39.88,21.19,36.05,33.95,97.02,19.34,58.1
Karnataka,Kolar,2025,64.82,83.26,18.07,81.85,23.14,68.97,63.16
Tripura,South Tripura,2021,88.89,23.55,17.75,27.84,60.6,82.41,97.33
Tamil Nadu,Chengalpattu,2017,94.13,42.35,75.64,15.75,70.5,14.92,13.34
Uttar Pradesh,Sambhal,2016,29.74,55.46,35.43,25.87,43.88,68.57,59.4
Odisha,Khordha,2019,35.89,18.46,32.58,48.17,66.44,60.53,20.22
Meghalaya,East Jaintia Hills,2017,87.25,94.05,70.12,24.63,21.95,90.06,22.51
Madhya Pradesh,Maihar,2015,21.79,51.67,85.52,38.59,85.48,19.2,28.17
Maharashtra,Osmanabad (Dharashiv),2025,60.8,30.35,64.49,34.28,69.77,83.71,56.53
Mizoram,Aizawl,2025,17.32,64.76,24.08,48.73,48.32,83.69,67.7
Meghalaya,North Garo Hills,2019,12.12,82.71,56.05,74.98,58.31,19.01,16.14
Uttar Pradesh,Rae Bareli,2019,96.58,61.09,71.51,54.81,39.49,56.12,67.98
Maharashtra,Dhule,2020,26.1,30.83,42.4,52.25,85.0,66.54,25.33
Karnataka,Udupi,2017,19.42,54.64,98.11,46.66,79.63,64.39,41.35
Assam,Barpeta,2020,21.6,55.62,73.31,17.52,73.22,70.1,71.75
Rajasthan,Barmer,2017,58.21,91.1,29.29,83.8,17.17,50.54,46.24
Punjab,Bathinda,2023,98.55,30.88,56.8,80.93,55.16,13.46,45.52
Uttar Pradesh,Kaushambi,2017,28.66,31.84,35.89,70.95,88.64,67.18,43.25
Uttar Pradesh,Etawah,2018,22.88,28.61,37.69,18.32,80.97,40.72,47.0
Telangana,Komaram Bheem Asifabad,2019,47.77,58.83,15.96,34.08,91.37,86.27,31.92
Uttar Pradesh,Bahraich,2018,11.37,34.08,43.41,63.87,52.62,31.54,77.25
Madhya Pradesh,Ujjain,2021,86.04,67.9,45.66,69.23,54.92,19.06,13.24
Telangana,Rajanna Sircilla,2020,31.93,10.17,22.15,29.35,37.41,66.36,19.57
Uttar Pradesh,Sonbhadra,2015,78.1,88.28,69.43,43.76,16.89,82.96,43.68
Punjab,Fatehgarh Sahib,2017,36.75,17.89,23.59,86.49,75.48,72.26,77.22
Odisha,Angul,2025,27.7,46.87,52.22,12.57,16.27,28.36,62.92
Jharkhand,Chatra,2019,93.94,45.25,68.42,49.78,46.65,62.18,13.05
Telangana,Hanamkonda,2021,54.94,40.33,60.62,71.41,18.95,41.54,31.2
Assam,Karimganj,2018,76.91,16.82,63.69,18.01,51.76,33.88,88.01
Uttar Pradesh,Prayagraj,2019,82.22,66.89,19.48,67.33,51.32,89.92,54.33
Punjab,Patiala,2018,41.31,32.42,39.83,31.73,36.81,37.32,46.03
Chhattisgarh,Baloda Bazar,2023,93.03,68.24,72.29,46.42,19.47,28.45,43.86
Tripura,Dhalai,2017,20.93,31.8,44.3,84.12,29.07,76.91,67.07
Kerala,Thiruvananthapuram,2025,91.89,38.21,12.05,34.42,81.67,53.34,13.92
Madhya Pradesh,Narsinghpur,2018,82.24,75.02,56.87,10.88,86.43,27.38,39.82
Kerala,Kozhikode,2019,19.62,36.48,94.58,26.17,31.26,47.84,90.83
Karnataka,Koppal,2021,65.41,42.8,41.91,17.46,81.32,40.47,17.59
Maharashtra,Latur,2018,29.76,89.64,39.53,71.74,36.73,55.6,70.15
Telangana,Mancherial,2016,16.55,98.34,40.02,38.93,24.13,56.08,86.65
Andhra Pradesh,Eluru,2019,51.82,40.77,13.01,94.6,14.62,85.91,77.54
Karnataka,Koppal,2017,74.79,99.28,27.69,68.68,51.82,42.97,97.78
Mizoram,Aizawl,2022,31.68,70.59,83.14,77.83,41.27,22.38,67.98
Assam,Cachar,2022,86.92,71.05,86.24,62.12,79.81,11.71,51.84
Assam,Karbi Anglong,2015,26.82,29.94,71.19,46.84,64.66,76.24,48.35
West Bengal,Nadia,2017,63.62,84.21,27.68,10.74,51.68,75.37,45.1
Haryana,Jhajjar,2016,41.44,53.05,91.98,67.14,38.99,87.3,97.1
Punjab,Sahibzada Ajit Singh Nagar (Mohali),2021,35.17,52.74,58.62,63.01,87.73,75.31,23.76
Tripura,Unakoti,2024,19.62,71.8,86.75,74.26,91.45,94.35,67.54
Chhattisgarh,Korea,2016,92.6,46.8,75.24,93.03,67.21,22.6,19.8
Telangana,Siddipet,2021,87.31,64.16,19.56,82.85,45.26,18.54,94.83
Odisha,Mayurbhanj,2022,36.53,25.31,42.06,62.52,17.67,79.91,54.95
Rajasthan,Jhunjhunu,2022,82.27,36.01,50.81,17.97,20.67,28.43,81.15
Haryana,Faridabad,2015,43.92,63.23,63.91,63.41,35.03,40.3,97.61
Goa,North Goa,2016,72.67,72.74,48.96,20.58,97.33,52.55,98.32
Bihar,Gaya,2024,26.29,67.77,31.62,77.67,97.71,27.67,40.39
Uttar Pradesh,Lalitpur,2024,90.58,65.49,46.62,32.35,69.04,64.17,54.69
Andhra Pradesh,Visakhapatnam,2017,62.94,13.03,32.91,79.24,96.98,12.93,37.38
Nagaland,Noklak,2023,44.9,19.06,36.2,88.33,75.51,92.99,23.69
Jharkhand,Koderma,2023,94.66,48.91,15.82,23.18,94.96,98.87,50.18
Uttar Pradesh,Agra,2015,28.29,10.41,65.61,69.24,96.19,49.59,85.63
Madhya Pradesh,Narsinghpur,2023,53.12,77.72,19.93,75.35,91.11,82.63,67.54
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2025,13.99,69.68,77.96,53.45,23.64,92.59,64.96
Chhattisgarh,Narayanpur,2016,26.56,25.73,31.2,11.57,34.12,15.51,92.23
Madhya Pradesh,Umaria,2025,71.54,70.51,93.98,95.09,76.08,47.85,67.28
Arunachal Pradesh,Changlang,2016,58.17,60.18,75.93,73.82,45.6,60.96,95.96
Uttar Pradesh,Maharajganj,2020,36.48,91.8,34.19,44.72,71.22,18.32,35.7
Uttar Pradesh,Barabanki,2016,64.67,57.72,42.96,90.88,26.25,30.28,12.43
Rajasthan,Dausa,2025,33.57,63.86,30.19,98.77,65.71,58.44,86.84
Gujarat,Kheda,2020,37.65,84.43,80.36,16.46,80.66,13.07,79.28
Assam,Dhemaji,2017,58.04,75.08,86.23,98.33,67.54,63.12,41.82
Telangana,Jogulamba Gadwal,2025,30.12,95.63,37.28,35.34,10.12,15.11,27.55
Chhattisgarh,Kondagaon,2016,42.25,55.88,61.45,46.28,77.89,48.92,96.25
Tamil Nadu,Erode,2022,28.03,69.78,23.1,76.71,12.69,88.6,17.63
Jharkhand,Latehar,2023,88.97,34.26,41.78,83.5,45.53,16.62,98.97
Kerala,Kozhikode,2025,15.41,76.2,93.1,54.41,23.63,82.77,84.29
Meghalaya,North Garo Hills,2017,83.86,92.4,26.44,99.11,75.89,88.64,94.28
Maharashtra,Beed,2017,29.84,44.47,81.99,70.75,43.35,42.15,20.73
Telangana,Siddipet,2023,24.7,74.19,92.05,25.15,11.36,74.48,38.22
